13P_ph2
Post-Project, Mile 7.22 to Mile 7.34
13P_PH2.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-995.00    0.011    0.004    0.012    0.011    0.000    0.000    0.000    0.000
-990.00    0.011    0.004    0.012    0.011    0.000    0.000    0.000    0.000
-985.00    0.011    0.004    0.012    0.011    0.000    0.000    0.000    0.000
-980.00    0.011    0.004    0.012    0.012    0.000    0.000    0.000    0.000
-975.00    0.011    0.004    0.012    0.012    0.000    0.000    0.000    0.000
-970.00    0.012    0.004    0.012    0.012    0.000    0.000    0.000    0.000
-965.00    0.012    0.004    0.013    0.012    0.000    0.000    0.000    0.000
-960.00    0.012    0.004    0.013    0.012    0.000    0.000    0.000    0.000
-955.00    0.012    0.004    0.013    0.012    0.000    0.000    0.000    0.000
-950.00    0.012    0.004    0.013    0.013    0.000    0.000    0.000    0.000
-945.00    0.013    0.005    0.013    0.013    0.000    0.000    0.000    0.000
-940.00    0.013    0.005    0.014    0.013    0.000    0.000    0.000    0.000
-935.00    0.013    0.005    0.014    0.013    0.000    0.000    0.000    0.000
-930.00    0.013    0.005    0.014    0.014    0.000    0.000    0.000    0.000
-925.00    0.014    0.005    0.014    0.014    0.000    0.000    0.000    0.000
-920.00    0.014    0.005    0.015    0.014    0.000    0.000    0.000    0.000
-915.00    0.014    0.005    0.015    0.014    0.000    0.000    0.000    0.000
-910.00    0.014    0.005    0.015    0.014    0.000    0.000    0.000    0.000
-905.00    0.014    0.005    0.015    0.015    0.000    0.000    0.000    0.000
-900.00    0.015    0.005    0.016    0.015    0.000    0.000    0.000    0.000
-895.00    0.015    0.005    0.016    0.015    0.000    0.000    0.000    0.000
-890.00    0.015    0.005    0.016    0.015    0.000    0.000    0.000    0.000
-885.00    0.015    0.005    0.016    0.016    0.000    0.000    0.000    0.000
-880.00    0.016    0.005    0.017    0.016    0.000    0.000    0.000    0.000
-875.00    0.016    0.006    0.017    0.016    0.000    0.000    0.000    0.000
-870.00    0.016    0.006    0.017    0.017    0.000    0.000    0.000    0.000
-865.00    0.017    0.006    0.018    0.017    0.000    0.000    0.000    0.000
-860.00    0.017    0.006    0.018    0.017    0.000    0.000    0.000    0.000
-855.00    0.017    0.006    0.018    0.017    0.000    0.000    0.000    0.000
-850.00    0.018    0.006    0.019    0.018    0.000    0.000    0.000    0.000
-845.00    0.018    0.006    0.019    0.018    0.000    0.000    0.000    0.000
-840.00    0.018    0.006    0.019    0.018    0.000    0.000    0.000    0.000
-835.00    0.018    0.006    0.020    0.019    0.000    0.000    0.000    0.000
-830.00    0.019    0.006    0.020    0.019    0.000    0.000    0.000    0.000
-825.00    0.019    0.007    0.020    0.019    0.000    0.000    0.000    0.000
-820.00    0.020    0.007    0.021    0.020    0.000    0.000    0.000    0.000
-815.00    0.020    0.007    0.021    0.020    0.000    0.000    0.000    0.000
-810.00    0.020    0.007    0.021    0.020    0.000    0.000    0.000    0.000
-805.00    0.021    0.007    0.022    0.021    0.000    0.000    0.000    0.000
-800.00    0.021    0.007    0.022    0.021    0.000    0.000    0.000    0.000
-795.00    0.022    0.007    0.023    0.022    0.000    0.000    0.000    0.000
-790.00    0.022    0.007    0.023    0.022    0.000    0.000    0.000    0.000
-785.00    0.022    0.007    0.024    0.023    0.000    0.000    0.000    0.000
-780.00    0.023    0.008    0.024    0.023    0.000    0.000    0.000    0.000
-775.00    0.023    0.008    0.025    0.023    0.000    0.000    0.000    0.000
-770.00    0.024    0.008    0.025    0.024    0.000    0.000    0.000    0.000
-765.00    0.024    0.008    0.026    0.024    0.000    0.000    0.000    0.000
-760.00    0.025    0.008    0.026    0.025    0.000    0.000    0.000    0.000
-755.00    0.025    0.008    0.027    0.025    0.000    0.000    0.000    0.000
-750.00    0.026    0.008    0.027    0.026    0.000    0.000    0.000    0.000
-745.00    0.026    0.009    0.028    0.026    0.000    0.000    0.000    0.000
-740.00    0.027    0.009    0.028    0.027    0.000    0.000    0.000    0.000
-735.00    0.027    0.009    0.029    0.028    0.000    0.000    0.000    0.000
-730.00    0.028    0.009    0.029    0.028    0.000    0.000    0.000    0.000
-725.00    0.029    0.009    0.030    0.029    0.000    0.000    0.000    0.000
-720.00    0.029    0.010    0.031    0.029    0.000    0.000    0.000    0.000
-715.00    0.030    0.010    0.031    0.030    0.000    0.000    0.000    0.000
-710.00    0.030    0.010    0.032    0.031    0.000    0.000    0.000    0.000
-705.00    0.031    0.010    0.033    0.031    0.000    0.000    0.000    0.000
-700.00    0.032    0.010    0.033    0.032    0.000    0.000    0.000    0.000
-695.00    0.033    0.011    0.034    0.033    0.000    0.000    0.000    0.000
-690.00    0.033    0.011    0.035    0.033    0.000    0.000    0.000    0.000
-685.00    0.034    0.011    0.036    0.034    0.000    0.000    0.000    0.000
-680.00    0.035    0.011    0.037    0.035    0.000    0.000    0.000    0.000
-675.00    0.036    0.011    0.037    0.036    0.000    0.000    0.000    0.000
-670.00    0.036    0.012    0.038    0.037    0.000    0.000    0.000    0.000
-665.00    0.037    0.012    0.039    0.037    0.000    0.000    0.000    0.000
-660.00    0.038    0.012    0.040    0.038    0.000    0.000    0.000    0.000
-655.00    0.039    0.012    0.041    0.039    0.000    0.000    0.000    0.000
-650.00    0.040    0.013    0.042    0.040    0.000    0.000    0.000    0.000
-645.00    0.041    0.013    0.043    0.041    0.000    0.000    0.000    0.000
-640.00    0.042    0.013    0.044    0.042    0.000    0.000    0.000    0.000
-635.00    0.043    0.014    0.045    0.043    0.000    0.001    0.001    0.001
-630.00    0.044    0.014    0.046    0.044    0.000    0.001    0.001    0.001
-625.00    0.045    0.014    0.047    0.045    0.000    0.001    0.001    0.001
-620.00    0.046    0.015    0.049    0.046    0.000    0.001    0.001    0.001
