Cross Section 3
test cross section
CROSSS~3.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -50.00    2.400    2.274    3.306    3.305    0.160    1.117    1.129    1.129
 -49.00    2.526    2.315    3.426    3.426    0.169    1.172    1.184    1.184
 -48.00    2.661    2.355    3.553    3.553    0.179    1.229    1.242    1.242
 -47.00    2.804    2.393    3.687    3.686    0.189    1.290    1.304    1.304
 -46.00    2.957    2.429    3.827    3.826    0.200    1.354    1.369    1.369
 -45.00    3.120    2.463    3.975    3.974    0.212    1.422    1.438    1.438
 -44.00    3.294    2.493    4.131    4.130    0.224    1.494    1.511    1.511
 -43.00    3.479    2.518    4.295    4.294    0.236    1.570    1.588    1.588
 -42.00    3.676    2.539    4.468    4.466    0.249    1.651    1.669    1.669
 -41.00    3.886    2.553    4.650    4.648    0.263    1.735    1.755    1.755
 -40.00    4.110    2.560    4.842    4.840    0.277    1.825    1.846    1.846
 -39.00    4.348    2.558    5.045    5.043    0.291    1.919    1.941    1.941
 -38.00    4.601    2.546    5.258    5.256    0.305    2.018    2.041    2.041
 -37.00    4.869    2.521    5.483    5.481    0.319    2.122    2.146    2.146
 -36.00    5.154    2.482    5.720    5.717    0.333    2.231    2.256    2.255
 -35.00    5.455    2.426    5.970    5.966    0.346    2.345    2.370    2.370
 -34.00    5.772    2.351    6.233    6.229    0.358    2.463    2.489    2.489
 -33.00    6.107    2.254    6.509    6.504    0.369    2.586    2.612    2.612
 -32.00    6.457    2.132    6.800    6.794    0.379    2.712    2.738    2.738
 -31.00    6.822    1.982    7.104    7.098    0.386    2.842    2.868    2.868
 -30.00    7.201    1.800    7.423    7.415    0.389    2.974    3.000    3.000
 -29.00    7.593    1.583    7.756    7.747    0.390    3.108    3.133    3.132
 -28.00    7.993    1.332    8.103    8.093    0.385    3.242    3.265    3.265
 -27.00    8.398    1.049    8.464    8.452    0.376    3.375    3.395    3.395
 -26.00    8.805    0.756    8.837    8.824    0.359    3.503    3.522    3.522
 -25.00    9.206    0.548    9.222    9.207    0.336    3.627    3.642    3.642
 -24.00    9.594    0.657    9.616    9.599    0.305    3.741    3.754    3.754
 -23.00    9.961    1.070   10.019    9.999    0.265    3.845    3.854    3.853
 -22.00   10.298    1.627   10.426   10.404    0.215    3.933    3.939    3.939
 -21.00   10.594    2.274   10.835   10.810    0.157    4.003    4.006    4.006
 -20.00   10.836    2.995   11.242   11.214    0.092    4.051    4.052    4.052
 -19.00   11.013    3.778   11.643   11.611    0.042    4.073    4.073    4.073
 -18.00   11.112    4.614   12.032   11.997    0.093    4.066    4.067    4.067
 -17.00   11.123    5.492   12.405   12.367    0.180    4.027    4.031    4.031
 -16.00   11.037    6.398   12.757   12.716    0.275    3.954    3.963    3.963
 -15.00   10.845    7.316   13.082   13.038    0.371    3.845    3.863    3.863
 -14.00   10.545    8.228   13.375   13.328    0.466    3.701    3.730    3.730
 -13.00   10.136    9.115   13.632   13.583    0.555    3.523    3.567    3.566
 -12.00    9.623    9.960   13.850   13.800    0.636    3.314    3.375    3.374
 -11.00    9.015   10.745   14.026   13.976    0.705    3.079    3.159    3.157
 -10.00    8.325   11.455   14.160   14.111    0.761    2.823    2.924    2.921
  -9.00    7.567   12.079   14.254   14.205    0.802    2.553    2.676    2.670
  -8.00    6.760   12.612   14.310   14.263    0.827    2.277    2.423    2.412
  -7.00    5.923   13.051   14.332   14.289    0.838    2.002    2.170    2.153
  -6.00    5.072   13.400   14.328   14.288    0.837    1.736    1.927    1.900
  -5.00    4.225   13.667   14.305   14.267    0.826    1.486    1.701    1.658
  -4.00    3.395   13.861   14.271   14.236    0.810    1.260    1.498    1.433
  -3.00    2.594   13.995   14.233   14.201    0.791    1.066    1.328    1.230
  -2.00    1.844   14.080   14.201   14.171    0.775    0.912    1.197    1.050
  -1.00    1.202   14.127   14.178   14.150    0.764    0.812    1.114    0.897
   0.00    0.896   14.142   14.171   14.142    0.760    0.776    1.086    0.776
   1.00    1.202   14.127   14.178   14.150    0.764    0.812    1.114    0.897
   2.00    1.844   14.080   14.201   14.171    0.775    0.912    1.197    1.050
   3.00    2.594   13.995   14.233   14.201    0.791    1.066    1.328    1.230
   4.00    3.395   13.861   14.271   14.236    0.810    1.260    1.498    1.433
   5.00    4.225   13.667   14.305   14.267    0.826    1.486    1.701    1.658
   6.00    5.072   13.400   14.328   14.288    0.837    1.736    1.927    1.900
   7.00    5.923   13.051   14.332   14.289    0.838    2.002    2.170    2.153
   8.00    6.760   12.612   14.310   14.263    0.827    2.277    2.423    2.412
   9.00    7.567   12.079   14.254   14.205    0.802    2.553    2.676    2.670
  10.00    8.325   11.455   14.160   14.111    0.761    2.823    2.924    2.921
  11.00    9.015   10.745   14.026   13.976    0.705    3.079    3.159    3.157
  12.00    9.623    9.960   13.850   13.800    0.636    3.314    3.375    3.374
  13.00   10.136    9.115   13.632   13.583    0.555    3.523    3.567    3.566
  14.00   10.545    8.228   13.375   13.328    0.466    3.701    3.730    3.730
  15.00   10.845    7.316   13.082   13.038    0.371    3.845    3.863    3.863
  16.00   11.037    6.398   12.757   12.716    0.275    3.954    3.963    3.963
  17.00   11.123    5.492   12.405   12.367    0.180    4.027    4.031    4.031
  18.00   11.112    4.614   12.032   11.997    0.093    4.066    4.067    4.067
  19.00   11.013    3.778   11.643   11.611    0.042    4.073    4.073    4.073
  20.00   10.836    2.995   11.242   11.214    0.092    4.051    4.052    4.052
  21.00   10.594    2.274   10.835   10.810    0.157    4.003    4.006    4.006
  22.00   10.298    1.627   10.426   10.404    0.215    3.933    3.939    3.939
  23.00    9.961    1.070   10.019    9.999    0.265    3.845    3.854    3.853
  24.00    9.594    0.657    9.616    9.599    0.305    3.741    3.754    3.754
