S5_22_P
post-project, mile 11.04-11.15
S5_22_P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-900.00    0.032    0.029    0.043    0.037    0.000    0.001    0.001    0.001
-895.00    0.032    0.029    0.043    0.037    0.000    0.001    0.001    0.001
-890.00    0.033    0.029    0.044    0.038    0.000    0.001    0.001    0.001
-885.00    0.033    0.030    0.044    0.038    0.000    0.001    0.001    0.001
-880.00    0.034    0.030    0.045    0.039    0.000    0.001    0.001    0.001
-875.00    0.034    0.030    0.045    0.039    0.000    0.001    0.001    0.001
-870.00    0.034    0.031    0.046    0.040    0.000    0.001    0.001    0.001
-865.00    0.035    0.031    0.047    0.040    0.000    0.001    0.001    0.001
-860.00    0.035    0.031    0.047    0.041    0.000    0.001    0.001    0.001
-855.00    0.036    0.032    0.048    0.041    0.000    0.002    0.002    0.002
-850.00    0.036    0.032    0.048    0.041    0.000    0.002    0.002    0.002
-845.00    0.037    0.032    0.049    0.042    0.000    0.002    0.002    0.002
-840.00    0.037    0.033    0.049    0.043    0.000    0.002    0.002    0.002
-835.00    0.037    0.033    0.050    0.043    0.000    0.002    0.002    0.002
-830.00    0.038    0.034    0.051    0.044    0.000    0.002    0.002    0.002
-825.00    0.038    0.034    0.051    0.044    0.000    0.002    0.002    0.002
-820.00    0.039    0.034    0.052    0.045    0.000    0.002    0.002    0.002
-815.00    0.039    0.035    0.053    0.045    0.000    0.002    0.002    0.002
-810.00    0.040    0.035    0.053    0.046    0.000    0.002    0.002    0.002
-805.00    0.040    0.036    0.054    0.046    0.000    0.002    0.002    0.002
-800.00    0.041    0.036    0.055    0.047    0.000    0.002    0.002    0.002
-795.00    0.042    0.037    0.055    0.048    0.000    0.002    0.002    0.002
-790.00    0.042    0.037    0.056    0.048    0.000    0.002    0.002    0.002
-785.00    0.043    0.038    0.057    0.049    0.000    0.002    0.002    0.002
-780.00    0.043    0.038    0.058    0.049    0.000    0.002    0.002    0.002
-775.00    0.044    0.039    0.058    0.050    0.000    0.002    0.002    0.002
-770.00    0.044    0.039    0.059    0.051    0.000    0.002    0.002    0.002
-765.00    0.045    0.040    0.060    0.051    0.000    0.002    0.002    0.002
-760.00    0.046    0.040    0.061    0.052    0.000    0.002    0.002    0.002
-755.00    0.046    0.041    0.062    0.053    0.000    0.002    0.002    0.002
-750.00    0.047    0.041    0.062    0.054    0.000    0.002    0.002    0.002
-745.00    0.048    0.042    0.063    0.054    0.000    0.002    0.002    0.002
-740.00    0.048    0.042    0.064    0.055    0.000    0.002    0.002    0.002
-735.00    0.049    0.043    0.065    0.056    0.000    0.002    0.002    0.002
-730.00    0.050    0.043    0.066    0.057    0.000    0.002    0.002    0.002
-725.00    0.050    0.044    0.067    0.057    0.000    0.002    0.002    0.002
-720.00    0.051    0.045    0.068    0.058    0.000    0.002    0.002    0.002
-715.00    0.052    0.045    0.069    0.059    0.000    0.002    0.002    0.002
-710.00    0.053    0.046    0.070    0.060    0.000    0.002    0.002    0.002
-705.00    0.054    0.047    0.071    0.061    0.000    0.002    0.002    0.002
-700.00    0.054    0.047    0.072    0.062    0.000    0.002    0.002    0.002
-695.00    0.055    0.048    0.073    0.063    0.000    0.002    0.002    0.002
-690.00    0.056    0.049    0.074    0.064    0.000    0.002    0.002    0.002
-685.00    0.057    0.049    0.075    0.065    0.000    0.002    0.002    0.002
-680.00    0.058    0.050    0.077    0.065    0.000    0.002    0.002    0.002
-675.00    0.059    0.051    0.078    0.066    0.000    0.002    0.002    0.002
-670.00    0.060    0.052    0.079    0.068    0.000    0.002    0.002    0.002
-665.00    0.061    0.052    0.080    0.069    0.000    0.003    0.003    0.003
-660.00    0.062    0.053    0.081    0.070    0.000    0.003    0.003    0.003
-655.00    0.063    0.054    0.083    0.071    0.000    0.003    0.003    0.003
-650.00    0.064    0.055    0.084    0.072    0.000    0.003    0.003    0.003
-645.00    0.065    0.056    0.085    0.073    0.000    0.003    0.003    0.003
-640.00    0.066    0.057    0.087    0.074    0.000    0.003    0.003    0.003
-635.00    0.067    0.057    0.088    0.075    0.000    0.003    0.003    0.003
-630.00    0.068    0.058    0.090    0.077    0.000    0.003    0.003    0.003
-625.00    0.069    0.059    0.091    0.078    0.000    0.003    0.003    0.003
-620.00    0.070    0.060    0.093    0.079    0.000    0.003    0.003    0.003
-615.00    0.072    0.061    0.094    0.081    0.000    0.003    0.003    0.003
-610.00    0.073    0.062    0.096    0.082    0.000    0.003    0.003    0.003
-605.00    0.074    0.063    0.098    0.083    0.000    0.003    0.003    0.003
-600.00    0.076    0.064    0.099    0.085    0.000    0.003    0.003    0.003
-595.00    0.077    0.066    0.101    0.086    0.000    0.003    0.003    0.003
-590.00    0.078    0.067    0.103    0.088    0.000    0.003    0.003    0.003
-585.00    0.080    0.068    0.105    0.089    0.000    0.003    0.003    0.003
-580.00    0.081    0.069    0.107    0.091    0.000    0.003    0.003    0.003
-575.00    0.083    0.070    0.109    0.093    0.000    0.003    0.003    0.003
-570.00    0.084    0.071    0.111    0.094    0.000    0.004    0.004    0.004
-565.00    0.086    0.073    0.113    0.096    0.000    0.004    0.004    0.004
-560.00    0.088    0.074    0.115    0.098    0.000    0.004    0.004    0.004
-555.00    0.090    0.075    0.117    0.100    0.000    0.004    0.004    0.004
-550.00    0.091    0.077    0.119    0.101    0.000    0.004    0.004    0.004
-545.00    0.093    0.078    0.122    0.103    0.000    0.004    0.004    0.004
-540.00    0.095    0.080    0.124    0.105    0.000    0.004    0.004    0.004
-535.00    0.097    0.081    0.126    0.107    0.000    0.004    0.004    0.004
-530.00    0.099    0.083    0.129    0.110    0.000    0.004    0.004    0.004
-525.00    0.101    0.084    0.132    0.112    0.000    0.004    0.004    0.004
