Section 14 Proposed
test
14P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -50.00   13.470   20.820   24.798   21.917    0.098    0.552    0.560    0.558
 -49.00   14.267   21.005   25.392   22.357    0.099    0.581    0.589    0.587
 -48.00   15.088   21.152   25.982   22.786    0.101    0.610    0.619    0.616
 -47.00   15.926   21.262   26.565   23.200    0.101    0.640    0.648    0.645
 -46.00   16.771   21.336   27.138   23.598    0.102    0.669    0.676    0.674
 -45.00   17.615   21.377   27.699   23.977    0.102    0.697    0.704    0.702
 -44.00   18.447   21.388   28.244   24.334    0.102    0.725    0.732    0.729
 -43.00   19.258   21.375   28.771   24.668    0.101    0.751    0.758    0.755
 -42.00   20.037   21.345   29.276   24.977    0.101    0.776    0.783    0.779
 -41.00   20.777   21.302   29.757   25.258    0.101    0.800    0.806    0.802
 -40.00   21.467   21.256   30.210   25.512    0.102    0.821    0.828    0.823
 -39.00   22.102   21.211   30.634   25.737    0.103    0.841    0.847    0.843
 -38.00   22.676   21.174   31.025   25.935    0.104    0.859    0.865    0.860
 -37.00   23.186   21.146   31.381   26.107    0.107    0.874    0.881    0.875
 -36.00   23.632   21.129   31.700   26.254    0.110    0.888    0.895    0.888
 -35.00   24.016   21.120   31.982   26.382    0.114    0.899    0.906    0.900
 -34.00   24.343   21.113   32.223   26.494    0.119    0.909    0.916    0.909
 -33.00   24.621   21.099   32.425   26.595    0.123    0.916    0.925    0.917
 -32.00   24.860   21.066   32.586   26.691    0.128    0.923    0.932    0.923
 -31.00   25.072   21.001   32.705   26.786    0.132    0.928    0.937    0.928
 -30.00   25.268   20.890   32.785   26.884    0.136    0.932    0.942    0.932
 -29.00   25.460   20.718   32.824   26.988    0.138    0.936    0.946    0.936
 -28.00   25.658   20.473   32.825   27.098    0.140    0.940    0.950    0.940
 -27.00   25.870   20.144   32.788   27.213    0.140    0.943    0.953    0.943
 -26.00   26.100   19.726   32.716   27.331    0.139    0.946    0.957    0.946
 -25.00   26.348   19.213   32.609   27.448    0.137    0.950    0.960    0.950
 -24.00   26.609   18.608   32.470   27.562    0.133    0.953    0.963    0.953
 -23.00   26.877   17.914   32.300   27.669    0.128    0.957    0.965    0.957
 -22.00   27.141   17.141   32.101   27.765    0.122    0.960    0.967    0.960
 -21.00   27.387   16.302   31.871   27.847    0.114    0.962    0.969    0.962
 -20.00   27.599   15.410   31.609   27.910    0.106    0.963    0.969    0.963
 -19.00   27.760   14.481   31.310   27.944    0.098    0.963    0.968    0.963
 -18.00   27.849   13.531   30.963   27.938    0.089    0.962    0.966    0.962
 -17.00   27.843   12.574   30.550   27.871    0.081    0.958    0.961    0.958
 -16.00   27.712   11.623   30.051   27.714    0.073    0.952    0.955    0.952
 -15.00   27.425   10.700   29.438   27.432    0.067    0.944    0.947    0.945
 -14.00   26.952    9.842   28.693   26.993    0.062    0.934    0.936    0.934
 -13.00   26.282    9.122   27.820   26.386    0.060    0.921    0.923    0.922
 -12.00   25.429    8.638   26.856   25.636    0.060    0.906    0.908    0.907
 -11.00   24.448    8.494   25.881   24.812    0.061    0.888    0.891    0.890
 -10.00   23.412    8.728   24.986   24.011    0.064    0.869    0.871    0.871
  -9.00   22.385    9.285   24.234   23.312    0.067    0.847    0.850    0.850
  -8.00   21.404   10.039   23.642   22.752    0.071    0.824    0.827    0.827
  -7.00   20.474   10.860   23.176   22.321    0.074    0.800    0.803    0.803
  -6.00   19.582   11.655   22.788   21.980    0.077    0.774    0.778    0.778
  -5.00   18.708   12.372   22.429   21.685    0.080    0.747    0.751    0.751
  -4.00   17.841   12.993   22.071   21.400    0.082    0.719    0.724    0.724
  -3.00   16.973   13.515   21.696   21.104    0.083    0.691    0.696    0.696
  -2.00   16.102   13.945   21.301   20.786    0.084    0.663    0.668    0.668
  -1.00   15.230   14.292   20.885   20.443    0.084    0.635    0.640    0.640
   0.00   14.361   14.563   20.453   20.077    0.084    0.607    0.612    0.612
   1.00   13.500   14.768   20.009   19.692    0.083    0.579    0.585    0.585
   2.00   12.653   14.913   19.558   19.292    0.082    0.551    0.557    0.557
   3.00   11.823   15.004   19.103   18.882    0.081    0.525    0.531    0.530
   4.00   11.015   15.047   18.648   18.465    0.079    0.498    0.505    0.504
   5.00   10.231   15.046   18.195   18.045    0.077    0.473    0.479    0.479
   6.00    9.475   15.005   17.747   17.624    0.074    0.448    0.454    0.454
   7.00    8.749   14.930   17.305   17.205    0.072    0.424    0.430    0.430
   8.00    8.052   14.824   16.870   16.789    0.069    0.401    0.407    0.407
   9.00    7.388   14.690   16.443   16.379    0.067    0.379    0.385    0.385
  10.00    6.754   14.533   16.026   15.974    0.064    0.358    0.364    0.364
  11.00    6.153   14.354   15.617   15.577    0.061    0.338    0.344    0.343
  12.00    5.583   14.158   15.219   15.187    0.059    0.319    0.324    0.324
  13.00    5.044   13.946   14.830   14.806    0.056    0.301    0.306    0.305
  14.00    4.535   13.722   14.452   14.433    0.053    0.283    0.288    0.288
  15.00    4.055   13.487   14.083   14.069    0.051    0.266    0.271    0.271
  16.00    3.603   13.243   13.724   13.714    0.048    0.251    0.255    0.255
  17.00    3.179   12.992   13.375   13.369    0.046    0.236    0.240    0.240
  18.00    2.781   12.737   13.037   13.032    0.043    0.222    0.226    0.225
  19.00    2.407   12.477   12.707   12.704    0.041    0.208    0.212    0.212
  20.00    2.058   12.215   12.387   12.385    0.039    0.195    0.199    0.199
  21.00    1.731   11.952   12.077   12.076    0.037    0.183    0.187    0.187
  22.00    1.426   11.688   11.775   11.775    0.035    0.172    0.176    0.175
  23.00    1.142   11.425   11.482   11.482    0.033    0.161    0.165    0.165
  24.00    0.878   11.164   11.198   11.198    0.031    0.151    0.155    0.154
