Section 18, Existing
test
18E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    4.368    4.125    6.008    5.946    0.015    0.154    0.155    0.155
 -99.00    4.520    4.179    6.155    6.091    0.015    0.159    0.160    0.160
 -98.00    4.677    4.232    6.308    6.242    0.016    0.164    0.165    0.165
 -97.00    4.842    4.285    6.465    6.398    0.016    0.169    0.170    0.170
 -96.00    5.014    4.337    6.629    6.559    0.017    0.175    0.176    0.176
 -95.00    5.193    4.388    6.798    6.727    0.018    0.181    0.182    0.182
 -94.00    5.380    4.438    6.974    6.900    0.018    0.187    0.188    0.188
 -93.00    5.575    4.486    7.156    7.080    0.019    0.193    0.194    0.194
 -92.00    5.779    4.533    7.344    7.266    0.020    0.200    0.201    0.201
 -91.00    5.992    4.577    7.540    7.460    0.021    0.206    0.207    0.207
 -90.00    6.214    4.619    7.743    7.660    0.022    0.213    0.214    0.214
 -89.00    6.446    4.659    7.953    7.869    0.022    0.221    0.222    0.222
 -88.00    6.688    4.695    8.172    8.085    0.023    0.228    0.229    0.229
 -87.00    6.941    4.728    8.399    8.309    0.024    0.236    0.237    0.237
 -86.00    7.206    4.757    8.634    8.542    0.025    0.244    0.246    0.246
 -85.00    7.482    4.781    8.879    8.785    0.026    0.253    0.254    0.254
 -84.00    7.770    4.799    9.133    9.036    0.027    0.262    0.263    0.263
 -83.00    8.071    4.812    9.397    9.298    0.028    0.271    0.272    0.272
 -82.00    8.386    4.818    9.671    9.570    0.029    0.281    0.282    0.282
 -81.00    8.714    4.817    9.956    9.852    0.031    0.291    0.292    0.292
 -80.00    9.056    4.807   10.253   10.146    0.032    0.301    0.303    0.303
 -79.00    9.413    4.788   10.561   10.452    0.033    0.312    0.313    0.313
 -78.00    9.786    4.759   10.882   10.770    0.034    0.323    0.325    0.325
 -77.00   10.174    4.718   11.215   11.101    0.035    0.334    0.336    0.336
 -76.00   10.579    4.665   11.562   11.445    0.036    0.346    0.348    0.348
 -75.00   11.000    4.599   11.922   11.803    0.038    0.359    0.361    0.361
 -74.00   11.437    4.517   12.297   12.176    0.039    0.371    0.373    0.373
 -73.00   11.893    4.419   12.687   12.564    0.040    0.385    0.387    0.387
 -72.00   12.365    4.304   13.093   12.968    0.041    0.398    0.400    0.400
 -71.00   12.855    4.170   13.515   13.387    0.043    0.412    0.414    0.414
 -70.00   13.362    4.017   13.953   13.824    0.044    0.427    0.429    0.429
 -69.00   13.887    3.843   14.409   14.278    0.045    0.441    0.444    0.444
 -68.00   14.429    3.649   14.883   14.751    0.046    0.456    0.459    0.459
 -67.00   14.986    3.435   15.375   15.242    0.047    0.472    0.474    0.474
 -66.00   15.560    3.204   15.886   15.752    0.047    0.488    0.490    0.490
 -65.00   16.148    2.962   16.417   16.282    0.048    0.504    0.506    0.506
 -64.00   16.749    2.720   16.968   16.833    0.048    0.520    0.522    0.522
 -63.00   17.361    2.496   17.539   17.404    0.049    0.536    0.539    0.539
 -62.00   17.982    2.322   18.131   17.996    0.049    0.553    0.555    0.555
 -61.00   18.609    2.243   18.744   18.610    0.049    0.569    0.571    0.571
 -60.00   19.240    2.310   19.378   19.245    0.048    0.586    0.588    0.588
 -59.00   19.870    2.553   20.034   19.903    0.047    0.602    0.604    0.604
 -58.00   20.496    2.974   20.710   20.582    0.046    0.618    0.619    0.619
 -57.00   21.112    3.553   21.408   21.283    0.044    0.633    0.634    0.634
 -56.00   21.712    4.268   22.127   22.005    0.042    0.648    0.649    0.649
 -55.00   22.291    5.101   22.867   22.748    0.040    0.662    0.663    0.663
 -54.00   22.840    6.042   23.626   23.512    0.037    0.675    0.676    0.675
 -53.00   23.353    7.084   24.404   24.295    0.033    0.686    0.687    0.687
 -52.00   23.821    8.222   25.200   25.097    0.029    0.697    0.697    0.697
 -51.00   24.235    9.453   26.013   25.917    0.025    0.706    0.706    0.706
 -50.00   24.585   10.774   26.842   26.752    0.021    0.713    0.713    0.713
 -49.00   24.861   12.181   27.684   27.602    0.017    0.718    0.718    0.718
 -48.00   25.052   13.670   28.539   28.464    0.016    0.720    0.720    0.720
 -47.00   25.148   15.236   29.403   29.337    0.018    0.720    0.720    0.720
 -46.00   25.139   16.872   30.276   30.217    0.023    0.717    0.718    0.718
 -45.00   25.014   18.571   31.154   31.103    0.031    0.712    0.712    0.712
 -44.00   24.763   20.323   32.035   31.993    0.039    0.703    0.704    0.703
 -43.00   24.379   22.118   32.917   32.883    0.049    0.690    0.692    0.692
 -42.00   23.852   23.945   33.798   33.771    0.059    0.674    0.677    0.676
 -41.00   23.177   25.790   34.674   34.654    0.070    0.654    0.658    0.658
 -40.00   22.350   27.638   35.544   35.530    0.081    0.631    0.636    0.636
 -39.00   21.366   29.476   36.405   36.396    0.092    0.603    0.610    0.610
 -38.00   20.225   31.288   37.255   37.251    0.103    0.572    0.581    0.581
 -37.00   18.927   33.058   38.093   38.091    0.113    0.537    0.549    0.548
 -36.00   17.476   34.771   38.916   38.915    0.124    0.498    0.513    0.513
 -35.00   15.877   36.411   39.722   39.722    0.134    0.455    0.475    0.474
 -34.00   14.136   37.966   40.512   40.510    0.144    0.409    0.434    0.433
 -33.00   12.262   39.420   41.283   41.279    0.153    0.360    0.391    0.390
 -32.00   10.269   40.762   42.035   42.027    0.162    0.307    0.347    0.346
 -31.00    8.173   41.979   42.768   42.755    0.170    0.251    0.303    0.303
 -30.00    6.004   43.064   43.480   43.461    0.177    0.193    0.262    0.261
 -29.00    3.838   44.005   44.172   44.146    0.183    0.133    0.227    0.226
 -28.00    2.053   44.797   44.844   44.810    0.189    0.071    0.202    0.201
 -27.00    2.387   45.432   45.495   45.454    0.194    0.017    0.195    0.194
