Section 32, Proposed
test
32P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-300.00   53.181  121.943  133.035  132.959    0.058    0.612    0.615    0.615
-299.00   54.889  124.116  135.711  135.631    0.060    0.631    0.634    0.634
-298.00   56.674  126.345  138.474  138.389    0.063    0.652    0.655    0.655
-297.00   58.542  128.633  141.328  141.237    0.066    0.673    0.676    0.676
-296.00   60.496  130.981  144.277  144.179    0.069    0.695    0.699    0.699
-295.00   62.542  133.390  147.324  147.220    0.072    0.719    0.722    0.722
-294.00   64.685  135.862  150.475  150.364    0.075    0.743    0.747    0.747
-293.00   66.932  138.400  153.734  153.616    0.079    0.768    0.773    0.773
-292.00   69.287  141.004  157.107  156.981    0.083    0.795    0.799    0.799
-291.00   71.759  143.676  160.599  160.464    0.087    0.823    0.828    0.828
-290.00   74.354  146.417  164.215  164.070    0.091    0.852    0.857    0.857
-289.00   77.080  149.231  167.962  167.807    0.095    0.883    0.888    0.888
-288.00   79.946  152.116  171.845  171.679    0.100    0.915    0.921    0.921
-287.00   82.959  155.077  175.872  175.694    0.105    0.949    0.955    0.955
-286.00   86.131  158.112  180.050  179.858    0.110    0.985    0.991    0.991
-285.00   89.470  161.224  184.386  184.180    0.116    1.022    1.029    1.029
-284.00   92.989  164.414  188.888  188.668    0.122    1.061    1.068    1.068
-283.00   96.699  167.681  193.566  193.328    0.128    1.103    1.110    1.110
-282.00  100.613  171.027  198.427  198.172    0.135    1.146    1.154    1.154
-281.00  104.745  174.452  203.482  203.207    0.142    1.192    1.201    1.200
-280.00  109.109  177.955  208.741  208.444    0.150    1.240    1.249    1.249
-279.00  113.723  181.535  214.214  213.895    0.158    1.291    1.301    1.301
-278.00  118.602  185.191  219.914  219.569    0.167    1.345    1.355    1.355
-277.00  123.767  188.920  225.852  225.479    0.176    1.401    1.412    1.412
-276.00  129.236  192.720  232.040  231.637    0.186    1.461    1.472    1.472
-275.00  135.032  196.586  238.494  238.058    0.196    1.524    1.536    1.536
-274.00  141.177  200.513  245.227  244.755    0.207    1.590    1.603    1.603
-273.00  147.697  204.495  252.255  251.744    0.219    1.660    1.675    1.675
-272.00  154.620  208.524  259.595  259.039    0.231    1.734    1.750    1.750
-271.00  161.973  212.589  267.262  266.659    0.244    1.813    1.829    1.829
-270.00  169.787  216.678  275.276  274.621    0.258    1.896    1.913    1.913
-269.00  178.097  220.777  283.656  282.944    0.273    1.983    2.002    2.002
-268.00  186.938  224.867  292.422  291.646    0.289    2.076    2.096    2.096
-267.00  196.347  228.927  301.595  300.749    0.306    2.174    2.196    2.196
-266.00  206.364  232.932  311.197  310.275    0.323    2.278    2.301    2.301
-265.00  217.032  236.852  321.251  320.244    0.342    2.388    2.412    2.412
-264.00  228.396  240.652  331.781  330.680    0.361    2.504    2.530    2.530
-263.00  240.502  244.291  342.811  341.608    0.381    2.627    2.654    2.654
-262.00  253.399  247.720  354.367  353.050    0.403    2.756    2.786    2.786
-261.00  267.136  250.883  366.475  365.031    0.425    2.893    2.924    2.924
-260.00  281.764  253.714  379.159  377.575    0.448    3.038    3.071    3.071
-259.00  297.331  256.140  392.446  390.705    0.471    3.190    3.225    3.225
-258.00  313.887  258.073  406.358  404.445    0.495    3.351    3.388    3.387
-257.00  331.477  259.415  420.920  418.815    0.520    3.520    3.558    3.558
-256.00  350.141  260.056  436.151  433.834    0.544    3.698    3.737    3.737
-255.00  369.911  259.871  452.070  449.515    0.568    3.883    3.925    3.925
-254.00  390.810  258.722  468.689  465.871    0.592    4.078    4.120    4.120
-253.00  412.844  256.459  486.016  482.905    0.614    4.280    4.324    4.324
-252.00  436.002  252.922  504.051  500.613    0.634    4.490    4.535    4.535
-251.00  460.248  247.942  522.784  518.983    0.652    4.708    4.753    4.753
-250.00  485.514  241.355  542.196  537.991    0.666    4.932    4.976    4.976
-249.00  511.698  233.009  562.252  557.598    0.676    5.160    5.205    5.205
-248.00  538.650  222.786  582.904  577.750    0.681    5.393    5.436    5.436
-247.00  566.171  210.633  604.083  598.375    0.680    5.627    5.668    5.668
-246.00  594.005  196.623  625.701  619.378    0.671    5.860    5.898    5.898
-245.00  621.830  181.043  647.649  640.645    0.653    6.090    6.125    6.125
-244.00  649.263  164.563  669.793  662.037    0.626    6.314    6.345    6.344
-243.00  675.853  148.510  691.977  683.390    0.589    6.527    6.553    6.553
-242.00  701.091  135.268  714.021  704.520    0.540    6.726    6.748    6.747
-241.00  724.425  128.475  735.729  725.225    0.482    6.907    6.923    6.923
-240.00  745.270  132.107  756.888  745.286    0.413    7.064    7.076    7.076
-239.00  763.040  148.095  777.279  764.477    0.339    7.195    7.203    7.202
-238.00  777.174  175.221  796.682  782.575    0.264    7.295    7.300    7.298
-237.00  787.170  210.725  814.888  799.365    0.207    7.360    7.363    7.361
-236.00  792.622  251.973  831.709  814.654    0.199    7.387    7.390    7.387
-235.00  793.245  296.902  846.988  828.279    0.253    7.375    7.380    7.376
-234.00  788.903  343.911  860.606  840.116    0.344    7.323    7.331    7.326
-233.00  779.620  391.703  872.490  850.087    0.449    7.231    7.245    7.238
-232.00  765.584  439.196  882.617  858.161    0.558    7.100    7.122    7.113
-231.00  747.137  485.476  891.011  864.354    0.664    6.933    6.965    6.953
-230.00  724.755  529.789  897.745  868.730    0.765    6.734    6.777    6.762
-229.00  699.026  571.531  902.932  871.390    0.857    6.507    6.563    6.543
-228.00  670.623  610.246  906.717  872.466    0.940    6.258    6.328    6.302
-227.00  640.273  645.619  909.271  872.113    1.013    5.992    6.077    6.044
-226.00  608.743  677.460  910.780  870.500    1.076    5.716    5.816    5.774
-225.00  576.822  705.688  911.438  867.798    1.128    5.436    5.552    5.498
