Raise Test 3
test
RAISE3.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-250.00    0.193    0.880    0.900    0.900    0.001    0.030    0.030    0.030
-249.00    0.195    0.886    0.908    0.908    0.001    0.030    0.030    0.030
-248.00    0.197    0.893    0.915    0.915    0.001    0.031    0.031    0.031
-247.00    0.200    0.900    0.922    0.922    0.001    0.031    0.031    0.031
-246.00    0.202    0.907    0.930    0.930    0.001    0.031    0.031    0.031
-245.00    0.204    0.915    0.937    0.937    0.001    0.031    0.031    0.031
-244.00    0.207    0.922    0.945    0.945    0.001    0.032    0.032    0.032
-243.00    0.209    0.929    0.952    0.952    0.001    0.032    0.032    0.032
-242.00    0.212    0.937    0.960    0.960    0.001    0.032    0.032    0.032
-241.00    0.215    0.944    0.968    0.968    0.001    0.033    0.033    0.033
-240.00    0.217    0.952    0.976    0.976    0.001    0.033    0.033    0.033
-239.00    0.220    0.959    0.984    0.984    0.001    0.033    0.033    0.033
-238.00    0.223    0.967    0.992    0.992    0.001    0.034    0.034    0.034
-237.00    0.226    0.975    1.001    1.001    0.001    0.034    0.034    0.034
-236.00    0.228    0.983    1.009    1.009    0.001    0.034    0.034    0.034
-235.00    0.231    0.991    1.018    1.018    0.001    0.035    0.035    0.035
-234.00    0.234    0.999    1.026    1.026    0.001    0.035    0.035    0.035
-233.00    0.237    1.007    1.035    1.035    0.001    0.036    0.036    0.036
-232.00    0.240    1.016    1.044    1.044    0.001    0.036    0.036    0.036
-231.00    0.243    1.024    1.053    1.053    0.001    0.036    0.036    0.036
-230.00    0.246    1.033    1.062    1.062    0.001    0.037    0.037    0.037
-229.00    0.250    1.042    1.071    1.071    0.001    0.037    0.037    0.037
-228.00    0.253    1.050    1.080    1.080    0.001    0.038    0.038    0.038
-227.00    0.256    1.059    1.090    1.090    0.001    0.038    0.038    0.038
-226.00    0.260    1.068    1.099    1.099    0.001    0.038    0.038    0.038
-225.00    0.263    1.077    1.109    1.109    0.001    0.039    0.039    0.039
-224.00    0.266    1.087    1.119    1.119    0.001    0.039    0.039    0.039
-223.00    0.270    1.096    1.129    1.129    0.001    0.040    0.040    0.040
-222.00    0.274    1.105    1.139    1.139    0.001    0.040    0.040    0.040
-221.00    0.277    1.115    1.149    1.149    0.001    0.041    0.041    0.041
-220.00    0.281    1.125    1.159    1.159    0.001    0.041    0.041    0.041
-219.00    0.285    1.135    1.170    1.170    0.001    0.041    0.042    0.042
-218.00    0.289    1.145    1.180    1.180    0.001    0.042    0.042    0.042
-217.00    0.293    1.155    1.191    1.191    0.001    0.042    0.042    0.042
-216.00    0.297    1.165    1.202    1.202    0.002    0.043    0.043    0.043
-215.00    0.301    1.175    1.213    1.213    0.002    0.043    0.043    0.043
-214.00    0.305    1.186    1.224    1.224    0.002    0.044    0.044    0.044
-213.00    0.309    1.196    1.236    1.236    0.002    0.044    0.044    0.044
-212.00    0.313    1.207    1.247    1.247    0.002    0.045    0.045    0.045
-211.00    0.318    1.218    1.259    1.259    0.002    0.046    0.046    0.046
-210.00    0.322    1.229    1.271    1.271    0.002    0.046    0.046    0.046
-209.00    0.327    1.241    1.283    1.283    0.002    0.047    0.047    0.047
-208.00    0.332    1.252    1.295    1.295    0.002    0.047    0.047    0.047
-207.00    0.336    1.263    1.307    1.307    0.002    0.048    0.048    0.048
-206.00    0.341    1.275    1.320    1.320    0.002    0.048    0.048    0.048
-205.00    0.346    1.287    1.333    1.333    0.002    0.049    0.049    0.049
-204.00    0.351    1.299    1.346    1.346    0.002    0.050    0.050    0.050
-203.00    0.356    1.311    1.359    1.359    0.002    0.050    0.050    0.050
-202.00    0.361    1.324    1.372    1.372    0.002    0.051    0.051    0.051
-201.00    0.367    1.336    1.385    1.385    0.002    0.051    0.051    0.051
-200.00    0.372    1.349    1.399    1.399    0.002    0.052    0.052    0.052
-199.00    0.378    1.362    1.413    1.413    0.002    0.053    0.053    0.053
-198.00    0.383    1.375    1.427    1.427    0.002    0.053    0.053    0.053
-197.00    0.389    1.388    1.441    1.441    0.002    0.054    0.054    0.054
-196.00    0.395    1.401    1.456    1.456    0.002    0.055    0.055    0.055
-195.00    0.401    1.415    1.471    1.471    0.002    0.056    0.056    0.056
-194.00    0.407    1.429    1.486    1.486    0.002    0.056    0.056    0.056
-193.00    0.413    1.443    1.501    1.501    0.002    0.057    0.057    0.057
-192.00    0.419    1.457    1.516    1.516    0.002    0.058    0.058    0.058
-191.00    0.426    1.471    1.532    1.532    0.002    0.059    0.059    0.059
-190.00    0.433    1.486    1.548    1.548    0.002    0.059    0.059    0.059
-189.00    0.439    1.501    1.564    1.564    0.002    0.060    0.060    0.060
-188.00    0.446    1.516    1.580    1.580    0.003    0.061    0.061    0.061
-187.00    0.453    1.531    1.597    1.597    0.003    0.062    0.062    0.062
-186.00    0.460    1.547    1.614    1.614    0.003    0.063    0.063    0.063
-185.00    0.468    1.562    1.631    1.631    0.003    0.063    0.064    0.064
-184.00    0.475    1.578    1.648    1.648    0.003    0.064    0.064    0.064
-183.00    0.483    1.595    1.666    1.666    0.003    0.065    0.065    0.065
-182.00    0.491    1.611    1.684    1.684    0.003    0.066    0.066    0.066
-181.00    0.499    1.628    1.703    1.702    0.003    0.067    0.067    0.067
-180.00    0.507    1.645    1.721    1.721    0.003    0.068    0.068    0.068
-179.00    0.515    1.662    1.740    1.740    0.003    0.069    0.069    0.069
-178.00    0.524    1.680    1.759    1.759    0.003    0.070    0.070    0.070
-177.00    0.532    1.697    1.779    1.779    0.003    0.071    0.071    0.071
-176.00    0.541    1.715    1.799    1.799    0.003    0.072    0.072    0.072
-175.00    0.550    1.734    1.819    1.819    0.003    0.073    0.073    0.073
