Underground Proposed
Post-Project, Mile 7.65 to Mile 7.88
UND_P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-150.00    2.025    0.385    2.061    2.038    0.001    0.030    0.030    0.030
-149.00    2.051    0.395    2.089    2.065    0.001    0.030    0.030    0.030
-148.00    2.078    0.405    2.117    2.093    0.001    0.031    0.031    0.031
-147.00    2.105    0.416    2.146    2.121    0.001    0.031    0.031    0.031
-146.00    2.133    0.427    2.175    2.149    0.001    0.031    0.031    0.031
-145.00    2.161    0.438    2.205    2.178    0.001    0.032    0.032    0.032
-144.00    2.189    0.449    2.235    2.208    0.001    0.032    0.032    0.032
-143.00    2.219    0.461    2.266    2.238    0.001    0.033    0.033    0.033
-142.00    2.248    0.474    2.298    2.269    0.001    0.033    0.033    0.033
-141.00    2.279    0.487    2.330    2.301    0.001    0.034    0.034    0.034
-140.00    2.310    0.500    2.363    2.333    0.001    0.034    0.034    0.034
-139.00    2.341    0.514    2.397    2.366    0.001    0.035    0.035    0.035
-138.00    2.373    0.528    2.431    2.400    0.001    0.035    0.035    0.035
-137.00    2.406    0.542    2.467    2.434    0.002    0.036    0.036    0.036
-136.00    2.440    0.558    2.503    2.469    0.002    0.036    0.036    0.036
-135.00    2.474    0.573    2.539    2.505    0.002    0.037    0.037    0.037
-134.00    2.509    0.589    2.577    2.542    0.002    0.037    0.037    0.037
-133.00    2.544    0.606    2.615    2.579    0.002    0.038    0.038    0.038
-132.00    2.580    0.623    2.655    2.617    0.002    0.038    0.038    0.038
-131.00    2.618    0.641    2.695    2.656    0.002    0.039    0.039    0.039
-130.00    2.655    0.660    2.736    2.696    0.002    0.039    0.039    0.039
-129.00    2.694    0.679    2.778    2.737    0.002    0.040    0.040    0.040
-128.00    2.733    0.699    2.821    2.779    0.002    0.041    0.041    0.041
-127.00    2.773    0.719    2.865    2.822    0.002    0.041    0.041    0.041
-126.00    2.814    0.740    2.910    2.865    0.002    0.042    0.042    0.042
-125.00    2.856    0.762    2.956    2.910    0.002    0.042    0.042    0.042
-124.00    2.899    0.785    3.004    2.956    0.002    0.043    0.043    0.043
-123.00    2.943    0.809    3.052    3.003    0.002    0.044    0.044    0.044
-122.00    2.987    0.833    3.101    3.051    0.002    0.044    0.044    0.044
-121.00    3.033    0.858    3.152    3.100    0.002    0.045    0.045    0.045
-120.00    3.080    0.884    3.204    3.150    0.002    0.046    0.046    0.046
-119.00    3.127    0.912    3.257    3.202    0.002    0.047    0.047    0.047
-118.00    3.176    0.940    3.312    3.254    0.002    0.047    0.047    0.047
-117.00    3.226    0.969    3.368    3.309    0.002    0.048    0.048    0.048
-116.00    3.276    0.999    3.425    3.364    0.002    0.049    0.049    0.049
-115.00    3.328    1.030    3.484    3.421    0.002    0.050    0.050    0.050
-114.00    3.382    1.063    3.545    3.479    0.002    0.050    0.050    0.050
-113.00    3.436    1.097    3.607    3.539    0.002    0.051    0.051    0.051
-112.00    3.491    1.132    3.670    3.600    0.003    0.052    0.052    0.052
-111.00    3.548    1.168    3.736    3.663    0.003    0.053    0.053    0.053
-110.00    3.606    1.206    3.803    3.727    0.003    0.054    0.054    0.054
-109.00    3.666    1.245    3.871    3.794    0.003    0.055    0.055    0.055
-108.00    3.727    1.286    3.942    3.862    0.003    0.056    0.056    0.056
-107.00    3.789    1.328    4.015    3.931    0.003    0.056    0.056    0.056
-106.00    3.852    1.372    4.089    4.003    0.003    0.057    0.057    0.057
-105.00    3.917    1.418    4.166    4.077    0.003    0.058    0.058    0.058
-104.00    3.984    1.466    4.245    4.152    0.003    0.059    0.059    0.059
-103.00    4.052    1.515    4.326    4.230    0.003    0.060    0.060    0.060
-102.00    4.122    1.567    4.410    4.310    0.003    0.061    0.061    0.061
-101.00    4.194    1.620    4.496    4.392    0.003    0.062    0.063    0.063
-100.00    4.267    1.676    4.584    4.476    0.003    0.063    0.064    0.064
 -99.00    4.342    1.734    4.675    4.563    0.003    0.065    0.065    0.065
 -98.00    4.418    1.794    4.769    4.653    0.003    0.066    0.066    0.066
 -97.00    4.497    1.857    4.865    4.745    0.004    0.067    0.067    0.067
 -96.00    4.577    1.923    4.965    4.839    0.004    0.068    0.068    0.068
 -95.00    4.660    1.991    5.067    4.937    0.004    0.069    0.069    0.069
 -94.00    4.744    2.062    5.173    5.037    0.004    0.070    0.071    0.071
 -93.00    4.830    2.137    5.282    5.141    0.004    0.072    0.072    0.072
 -92.00    4.919    2.214    5.394    5.247    0.004    0.073    0.073    0.073
 -91.00    5.010    2.295    5.510    5.357    0.004    0.074    0.074    0.074
 -90.00    5.102    2.379    5.630    5.471    0.004    0.076    0.076    0.076
 -89.00    5.198    2.467    5.753    5.587    0.004    0.077    0.077    0.077
 -88.00    5.295    2.559    5.881    5.708    0.004    0.078    0.078    0.078
 -87.00    5.395    2.655    6.013    5.833    0.005    0.080    0.080    0.080
 -86.00    5.497    2.755    6.149    5.961    0.005    0.081    0.081    0.081
 -85.00    5.602    2.860    6.290    6.094    0.005    0.083    0.083    0.083
 -84.00    5.709    2.970    6.436    6.231    0.005    0.084    0.084    0.084
 -83.00    5.819    3.084    6.586    6.372    0.005    0.086    0.086    0.086
 -82.00    5.932    3.204    6.742    6.519    0.005    0.087    0.087    0.087
 -81.00    6.047    3.330    6.903    6.670    0.005    0.089    0.089    0.089
 -80.00    6.166    3.461    7.071    6.826    0.006    0.091    0.091    0.091
 -79.00    6.287    3.599    7.244    6.988    0.006    0.092    0.092    0.092
 -78.00    6.411    3.743    7.423    7.156    0.006    0.094    0.094    0.094
 -77.00    6.537    3.894    7.609    7.329    0.006    0.096    0.096    0.096
 -76.00    6.667    4.052    7.802    7.509    0.006    0.097    0.098    0.097
