Cross Section 5
test cross section
XC5.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -30.00    7.802    2.245    8.118    8.110    0.456    3.448    3.479    3.478
 -29.00    8.215    2.080    8.475    8.465    0.469    3.604    3.635    3.634
 -28.00    8.647    1.885    8.850    8.839    0.479    3.764    3.795    3.795
 -27.00    9.094    1.658    9.244    9.232    0.486    3.928    3.958    3.958
 -26.00    9.557    1.400    9.659    9.645    0.491    4.094    4.124    4.124
 -25.00   10.033    1.119   10.095   10.079    0.491    4.262    4.290    4.290
 -24.00   10.519    0.846   10.552   10.534    0.486    4.430    4.457    4.457
 -23.00   11.010    0.688   11.032   11.011    0.475    4.597    4.621    4.621
 -22.00   11.503    0.830   11.533   11.509    0.457    4.759    4.781    4.781
 -21.00   11.990    1.255   12.055   12.028    0.430    4.916    4.935    4.934
 -20.00   12.464    1.841   12.600   12.569    0.395    5.063    5.078    5.078
 -19.00   12.917    2.542   13.165   13.129    0.348    5.197    5.209    5.209
 -18.00   13.336    3.342   13.749   13.708    0.290    5.315    5.323    5.323
 -17.00   13.710    4.238   14.350   14.304    0.220    5.412    5.417    5.416
 -16.00   14.024    5.227   14.967   14.914    0.138    5.483    5.485    5.485
 -15.00   14.263    6.307   15.596   15.535    0.061    5.524    5.524    5.524
 -14.00   14.409    7.473   16.232   16.164    0.105    5.528    5.529    5.528
 -13.00   14.445    8.718   16.872   16.795    0.227    5.490    5.495    5.494
 -12.00   14.353   10.029   17.510   17.423    0.367    5.405    5.417    5.417
 -11.00   14.115   11.393   18.139   18.042    0.522    5.267    5.293    5.293
 -10.00   13.716   12.788   18.753   18.644    0.685    5.073    5.119    5.119
  -9.00   13.145   14.191   19.343   19.223    0.855    4.819    4.895    4.895
  -8.00   12.392   15.573   19.902   19.770    1.027    4.504    4.620    4.619
  -7.00   11.458   16.904   20.421   20.277    1.196    4.127    4.297    4.296
  -6.00   10.347   18.150   20.892   20.737    1.358    3.690    3.932    3.930
  -5.00    9.076   19.277   21.307   21.140    1.505    3.199    3.536    3.529
  -4.00    7.675   20.252   21.657   21.482    1.635    2.661    3.123    3.109
  -3.00    6.192   21.045   21.937   21.754    1.741    2.090    2.720    2.689
  -2.00    4.724   21.632   22.142   21.952    1.820    1.508    2.363    2.303
  -1.00    3.483   21.992   22.266   22.073    1.868    0.977    2.108    2.005
   0.00    2.939   22.113   22.308   22.113    1.885    0.710    2.014    1.885
   1.00    3.483   21.992   22.266   22.073    1.868    0.977    2.108    2.005
   2.00    4.724   21.632   22.142   21.952    1.820    1.508    2.363    2.303
   3.00    6.192   21.045   21.937   21.754    1.741    2.090    2.720    2.689
   4.00    7.675   20.252   21.657   21.482    1.635    2.661    3.123    3.109
   5.00    9.076   19.277   21.307   21.140    1.505    3.199    3.536    3.529
   6.00   10.347   18.150   20.892   20.737    1.358    3.690    3.932    3.930
   7.00   11.458   16.904   20.421   20.277    1.196    4.127    4.297    4.296
   8.00   12.392   15.573   19.902   19.770    1.027    4.504    4.620    4.619
   9.00   13.145   14.191   19.343   19.223    0.855    4.819    4.895    4.895
  10.00   13.716   12.788   18.753   18.644    0.685    5.073    5.119    5.119
  11.00   14.115   11.393   18.139   18.042    0.522    5.267    5.293    5.293
  12.00   14.353   10.029   17.510   17.423    0.367    5.405    5.417    5.417
  13.00   14.445    8.718   16.872   16.795    0.227    5.490    5.495    5.494
  14.00   14.409    7.473   16.232   16.164    0.105    5.528    5.529    5.528
  15.00   14.263    6.307   15.596   15.535    0.061    5.524    5.524    5.524
  16.00   14.024    5.227   14.967   14.914    0.138    5.483    5.485    5.485
  17.00   13.710    4.238   14.350   14.304    0.220    5.412    5.417    5.416
  18.00   13.336    3.342   13.749   13.708    0.290    5.315    5.323    5.323
  19.00   12.917    2.542   13.165   13.129    0.348    5.197    5.209    5.209
  20.00   12.464    1.841   12.600   12.569    0.395    5.063    5.078    5.078
  21.00   11.990    1.255   12.055   12.028    0.430    4.916    4.935    4.934
  22.00   11.503    0.830   11.533   11.509    0.457    4.759    4.781    4.781
  23.00   11.010    0.688   11.032   11.011    0.475    4.597    4.621    4.621
  24.00   10.519    0.846   10.552   10.534    0.486    4.430    4.457    4.457
  25.00   10.033    1.119   10.095   10.079    0.491    4.262    4.290    4.290
  26.00    9.557    1.400    9.659    9.645    0.491    4.094    4.124    4.124
  27.00    9.094    1.658    9.244    9.232    0.486    3.928    3.958    3.958
  28.00    8.647    1.885    8.850    8.839    0.479    3.764    3.795    3.795
  29.00    8.215    2.080    8.475    8.465    0.469    3.604    3.635    3.634
  30.00    7.802    2.245    8.118    8.110    0.456    3.448    3.479    3.478
