Underground Cross Section
Post-Project, Mile 7.65 to Mile 7.88
XC_UND.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-150.00   10.230    2.048   10.433   10.321    0.012    0.298    0.298    0.298
-149.00   10.362    2.101   10.573   10.458    0.012    0.302    0.302    0.302
-148.00   10.497    2.155   10.716   10.597    0.012    0.306    0.306    0.306
-147.00   10.634    2.211   10.861   10.740    0.012    0.310    0.310    0.310
-146.00   10.773    2.268   11.009   10.885    0.013    0.314    0.315    0.315
-145.00   10.915    2.328   11.161   11.033    0.013    0.319    0.319    0.319
-144.00   11.060    2.389   11.315   11.184    0.013    0.323    0.323    0.323
-143.00   11.208    2.452   11.473   11.338    0.013    0.327    0.328    0.328
-142.00   11.358    2.518   11.634   11.496    0.014    0.332    0.332    0.332
-141.00   11.512    2.585   11.799   11.656    0.014    0.337    0.337    0.337
-140.00   11.668    2.655   11.967   11.820    0.014    0.341    0.342    0.342
-139.00   11.828    2.727   12.138   11.988    0.015    0.346    0.346    0.346
-138.00   11.991    2.801   12.313   12.159    0.015    0.351    0.351    0.351
-137.00   12.157    2.877   12.493   12.334    0.015    0.356    0.356    0.356
-136.00   12.326    2.957   12.676   12.512    0.015    0.361    0.361    0.361
-135.00   12.499    3.038   12.863   12.694    0.016    0.366    0.367    0.367
-134.00   12.675    3.123   13.054   12.881    0.016    0.371    0.372    0.372
-133.00   12.854    3.210   13.249   13.071    0.016    0.377    0.377    0.377
-132.00   13.038    3.300   13.449   13.266    0.017    0.382    0.383    0.383
-131.00   13.225    3.393   13.653   13.465    0.017    0.388    0.388    0.388
-130.00   13.416    3.490   13.863   13.668    0.017    0.394    0.394    0.394
-129.00   13.611    3.590   14.076   13.876    0.018    0.400    0.400    0.400
-128.00   13.810    3.693   14.295   14.089    0.018    0.406    0.406    0.406
-127.00   14.013    3.799   14.519   14.307    0.019    0.412    0.412    0.412
-126.00   14.221    3.910   14.748   14.529    0.019    0.418    0.418    0.418
-125.00   14.433    4.024   14.983   14.757    0.019    0.424    0.425    0.425
-124.00   14.649    4.142   15.223   14.990    0.020    0.431    0.431    0.431
-123.00   14.870    4.264   15.469   15.229    0.020    0.437    0.438    0.438
-122.00   15.096    4.391   15.721   15.474    0.021    0.444    0.445    0.445
-121.00   15.327    4.522   15.980   15.724    0.021    0.451    0.451    0.451
-120.00   15.562    4.658   16.244   15.980    0.021    0.458    0.458    0.458
-119.00   15.803    4.798   16.515   16.243    0.022    0.465    0.466    0.466
-118.00   16.049    4.944   16.793   16.512    0.022    0.472    0.473    0.473
-117.00   16.301    5.095   17.078   16.788    0.023    0.480    0.481    0.481
-116.00   16.558    5.252   17.371   17.070    0.023    0.488    0.488    0.488
-115.00   16.821    5.414   17.670   17.360    0.024    0.495    0.496    0.496
-114.00   17.089    5.582   17.978   17.657    0.024    0.503    0.504    0.504
-113.00   17.364    5.757   18.293   17.961    0.025    0.512    0.512    0.512
-112.00   17.645    5.938   18.617   18.274    0.025    0.520    0.521    0.520
-111.00   17.932    6.126   18.950   18.594    0.026    0.528    0.529    0.529
-110.00   18.226    6.321   19.291   18.923    0.027    0.537    0.538    0.538
-109.00   18.527    6.524   19.642   19.261    0.027    0.546    0.547    0.547
-108.00   18.834    6.734   20.002   19.608    0.028    0.555    0.556    0.556
-107.00   19.149    6.953   20.372   19.963    0.028    0.564    0.565    0.565
-106.00   19.471    7.179   20.752   20.329    0.029    0.574    0.574    0.574
-105.00   19.800    7.415   21.143   20.704    0.030    0.583    0.584    0.584
-104.00   20.137    7.660   21.545   21.090    0.030    0.593    0.594    0.594
-103.00   20.483    7.915   21.959   21.487    0.031    0.603    0.604    0.604
-102.00   20.836    8.180   22.384   21.895    0.032    0.614    0.614    0.614
-101.00   21.197    8.456   22.822   22.314    0.033    0.624    0.625    0.625
-100.00   21.568    8.743   23.272   22.745    0.033    0.635    0.636    0.636
 -99.00   21.947    9.041   23.736   23.188    0.034    0.646    0.647    0.647
 -98.00   22.335    9.352   24.214   23.645    0.035    0.657    0.658    0.658
 -97.00   22.732    9.675   24.706   24.114    0.036    0.669    0.670    0.670
 -96.00   23.139   10.012   25.212   24.598    0.037    0.680    0.681    0.681
 -95.00   23.556   10.363   25.735   25.096    0.037    0.692    0.693    0.693
 -94.00   23.983   10.729   26.274   25.609    0.038    0.705    0.706    0.706
 -93.00   24.420   11.110   26.829   26.137    0.039    0.717    0.718    0.718
 -92.00   24.868   11.508   27.402   26.682    0.040    0.730    0.731    0.731
 -91.00   25.327   11.923   27.993   27.244    0.041    0.743    0.744    0.744
 -90.00   25.798   12.356   28.604   27.823    0.042    0.756    0.757    0.757
 -89.00   26.279   12.807   29.234   28.420    0.043    0.770    0.771    0.771
 -88.00   26.773   13.278   29.885   29.036    0.044    0.784    0.785    0.785
 -87.00   27.278   13.771   30.557   29.672    0.046    0.798    0.799    0.799
 -86.00   27.796   14.285   31.252   30.329    0.047    0.812    0.813    0.813
 -85.00   28.327   14.822   31.970   31.007    0.048    0.827    0.828    0.828
 -84.00   28.870   15.384   32.713   31.708    0.049    0.842    0.843    0.843
 -83.00   29.427   15.971   33.482   32.432    0.051    0.857    0.859    0.858
 -82.00   29.998   16.585   34.277   33.180    0.052    0.873    0.874    0.874
 -81.00   30.582   17.227   35.101   33.954    0.053    0.889    0.890    0.890
 -80.00   31.181   17.899   35.953   34.754    0.055    0.905    0.907    0.906
 -79.00   31.794   18.603   36.837   35.582    0.057    0.922    0.923    0.923
 -78.00   32.422   19.339   37.752   36.439    0.058    0.939    0.940    0.940
 -77.00   33.065   20.111   38.701   37.326    0.060    0.956    0.958    0.957
 -76.00   33.724   20.920   39.686   38.246    0.062    0.973    0.975    0.975
