Section 18 Proposed
test
18P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    2.963    3.110    4.296    3.363    0.010    0.108    0.109    0.109
 -99.00    3.033    3.176    4.392    3.436    0.010    0.111    0.112    0.112
 -98.00    3.105    3.245    4.492    3.512    0.011    0.115    0.115    0.115
 -97.00    3.180    3.317    4.595    3.591    0.011    0.118    0.118    0.118
 -96.00    3.256    3.391    4.701    3.673    0.012    0.121    0.122    0.122
 -95.00    3.336    3.467    4.811    3.757    0.012    0.125    0.126    0.126
 -94.00    3.418    3.546    4.925    3.845    0.013    0.129    0.129    0.129
 -93.00    3.503    3.628    5.043    3.936    0.013    0.133    0.133    0.133
 -92.00    3.591    3.713    5.165    4.030    0.014    0.137    0.138    0.137
 -91.00    3.682    3.801    5.292    4.127    0.015    0.141    0.142    0.142
 -90.00    3.776    3.892    5.423    4.228    0.015    0.146    0.146    0.146
 -89.00    3.873    3.987    5.559    4.333    0.016    0.150    0.151    0.151
 -88.00    3.975    4.085    5.699    4.443    0.017    0.155    0.156    0.156
 -87.00    4.079    4.187    5.846    4.556    0.017    0.160    0.161    0.161
 -86.00    4.188    4.292    5.997    4.675    0.018    0.165    0.166    0.166
 -85.00    4.301    4.402    6.154    4.798    0.019    0.171    0.172    0.172
 -84.00    4.418    4.516    6.317    4.926    0.020    0.177    0.178    0.177
 -83.00    4.540    4.633    6.487    5.059    0.021    0.183    0.184    0.183
 -82.00    4.666    4.756    6.663    5.199    0.022    0.189    0.190    0.190
 -81.00    4.798    4.882    6.846    5.344    0.023    0.195    0.197    0.196
 -80.00    4.936    5.014    7.036    5.496    0.024    0.202    0.204    0.203
 -79.00    5.079    5.150    7.233    5.655    0.025    0.209    0.211    0.211
 -78.00    5.229    5.291    7.439    5.821    0.027    0.217    0.219    0.218
 -77.00    5.385    5.437    7.652    5.994    0.028    0.225    0.227    0.226
 -76.00    5.549    5.588    7.875    6.176    0.030    0.233    0.235    0.235
 -75.00    5.720    5.744    8.106    6.366    0.031    0.242    0.244    0.243
 -74.00    5.900    5.905    8.347    6.566    0.033    0.251    0.253    0.253
 -73.00    6.089    6.071    8.598    6.775    0.035    0.261    0.263    0.262
 -72.00    6.288    6.241    8.860    6.994    0.036    0.271    0.273    0.272
 -71.00    6.498    6.416    9.132    7.224    0.038    0.281    0.284    0.283
 -70.00    6.719    6.596    9.416    7.465    0.041    0.293    0.295    0.295
 -69.00    6.953    6.779    9.711    7.718    0.043    0.304    0.307    0.307
 -68.00    7.201    6.966   10.019    7.984    0.045    0.317    0.320    0.319
 -67.00    7.464    7.156   10.340    8.263    0.048    0.330    0.333    0.332
 -66.00    7.743    7.349   10.675    8.556    0.050    0.344    0.347    0.346
 -65.00    8.040    7.542   11.024    8.863    0.053    0.358    0.362    0.361
 -64.00    8.356    7.737   11.388    9.186    0.056    0.374    0.378    0.377
 -63.00    8.693    7.930   11.767    9.525    0.059    0.390    0.394    0.393
 -62.00    9.052    8.122   12.162    9.881    0.062    0.407    0.412    0.410
 -61.00    9.435    8.311   12.573   10.254    0.065    0.425    0.430    0.429
 -60.00    9.843    8.494   13.001   10.646    0.068    0.444    0.449    0.448
 -59.00   10.278    8.672   13.447   11.056    0.071    0.464    0.469    0.468
 -58.00   10.741    8.841   13.911   11.486    0.075    0.484    0.490    0.489
 -57.00   11.233    9.000   14.394   11.936    0.078    0.506    0.512    0.510
 -56.00   11.755    9.148   14.895   12.407    0.081    0.529    0.535    0.533
 -55.00   12.307    9.283   15.416   12.899    0.084    0.552    0.559    0.557
 -54.00   12.889    9.405   15.955   13.412    0.087    0.577    0.583    0.581
 -53.00   13.500    9.512   16.515   13.947    0.089    0.602    0.609    0.607
 -52.00   14.137    9.607   17.093   14.504    0.092    0.628    0.634    0.633
 -51.00   14.799    9.692   17.690   15.083    0.094    0.654    0.661    0.659
 -50.00   15.481    9.771   18.306   15.683    0.095    0.681    0.688    0.686
 -49.00   16.177    9.850   18.940   16.304    0.096    0.708    0.715    0.713
 -48.00   16.882    9.940   19.591   16.944    0.096    0.735    0.742    0.739
 -47.00   17.586   10.054   20.257   17.604    0.096    0.762    0.768    0.766
 -46.00   18.280   10.208   20.938   18.280    0.095    0.788    0.794    0.792
 -45.00   18.953   10.424   21.630   18.972    0.093    0.814    0.819    0.817
 -44.00   19.591   10.722   22.333   19.677    0.091    0.837    0.842    0.840
 -43.00   20.180   11.125   23.044   20.393    0.087    0.860    0.864    0.862
 -42.00   20.705   11.652   23.758   21.116    0.084    0.879    0.883    0.881
 -41.00   21.149   12.317   24.475   21.843    0.081    0.897    0.900    0.898
 -40.00   21.497   13.129   25.189   22.570    0.078    0.911    0.914    0.911
 -39.00   21.732   14.085   25.897   23.292    0.076    0.921    0.924    0.921
 -38.00   21.839   15.178   26.595   24.007    0.076    0.927    0.931    0.927
 -37.00   21.806   16.391   27.280   24.709    0.079    0.929    0.933    0.929
 -36.00   21.623   17.704   27.946   25.393    0.084    0.927    0.931    0.927
 -35.00   21.284   19.088   28.589   26.056    0.092    0.919    0.924    0.920
 -34.00   20.788   20.516   29.207   26.692    0.102    0.907    0.912    0.908
 -33.00   20.140   21.957   29.795   27.297    0.113    0.889    0.897    0.891
 -32.00   19.352   23.379   30.349   27.868    0.125    0.867    0.876    0.870
 -31.00   18.445   24.751   30.868   28.400    0.138    0.841    0.852    0.845
 -30.00   17.447   26.044   31.348   28.892    0.150    0.810    0.824    0.816
 -29.00   16.401   27.230   31.788   29.340    0.161    0.776    0.793    0.783
 -28.00   15.359   28.285   32.186   29.742    0.172    0.740    0.760    0.748
 -27.00   14.386   29.189   32.541   30.099    0.180    0.702    0.725    0.711
