Distance (ft),Bmax,Bprod,Bx,By,Emax,Eprod,Ex,Ey
-1275.0,1.66,1.66,0.177,1.65,0.002,0.002,0.0,0.002
-1270.0,1.674,1.674,0.178,1.665,0.002,0.002,0.0,0.002
-1265.0,1.689,1.689,0.18,1.679,0.002,0.002,0.0,0.002
-1260.0,1.704,1.704,0.182,1.694,0.002,0.002,0.0,0.002
-1255.0,1.719,1.719,0.183,1.71,0.002,0.002,0.0,0.002
-1250.0,1.735,1.735,0.185,1.725,0.002,0.002,0.0,0.002
-1245.0,1.75,1.75,0.187,1.74,0.003,0.003,0.0,0.003
-1240.0,1.766,1.766,0.188,1.756,0.003,0.003,0.0,0.003
-1235.0,1.782,1.782,0.19,1.772,0.003,0.003,0.0,0.003
-1230.0,1.799,1.799,0.192,1.788,0.003,0.003,0.0,0.003
-1225.0,1.815,1.815,0.194,1.805,0.003,0.003,0.0,0.003
-1220.0,1.832,1.832,0.196,1.821,0.003,0.003,0.0,0.003
-1215.0,1.849,1.849,0.198,1.838,0.003,0.003,0.0,0.003
-1210.0,1.866,1.866,0.2,1.855,0.003,0.003,0.0,0.003
-1205.0,1.884,1.884,0.202,1.873,0.003,0.003,0.0,0.003
-1200.0,1.901,1.901,0.204,1.89,0.003,0.003,0.0,0.003
-1195.0,1.919,1.919,0.206,1.908,0.003,0.003,0.0,0.003
-1190.0,1.937,1.937,0.208,1.926,0.003,0.003,0.0,0.003
-1185.0,1.956,1.956,0.21,1.945,0.003,0.003,0.0,0.003
-1180.0,1.975,1.975,0.212,1.963,0.003,0.003,0.0,0.003
-1175.0,1.994,1.994,0.214,1.982,0.003,0.003,0.0,0.003
-1170.0,2.013,2.013,0.216,2.001,0.003,0.003,0.0,0.003
-1165.0,2.033,2.033,0.219,2.021,0.003,0.003,0.0,0.003
-1160.0,2.052,2.052,0.221,2.041,0.003,0.003,0.0,0.003
-1155.0,2.073,2.073,0.223,2.061,0.003,0.003,0.0,0.003
-1150.0,2.093,2.093,0.225,2.081,0.003,0.003,0.0,0.003
-1145.0,2.114,2.114,0.228,2.102,0.003,0.003,0.0,0.003
-1140.0,2.135,2.135,0.23,2.123,0.003,0.003,0.0,0.003
-1135.0,2.156,2.156,0.233,2.144,0.003,0.003,0.0,0.003
-1130.0,2.178,2.178,0.235,2.165,0.003,0.003,0.0,0.003
-1125.0,2.2,2.2,0.238,2.187,0.003,0.003,0.0,0.003
-1120.0,2.223,2.223,0.24,2.21,0.003,0.003,0.0,0.003
-1115.0,2.245,2.245,0.243,2.232,0.003,0.003,0.0,0.003
-1110.0,2.269,2.269,0.246,2.255,0.003,0.003,0.0,0.003
-1105.0,2.292,2.292,0.248,2.279,0.003,0.003,0.0,0.003
-1100.0,2.316,2.316,0.251,2.302,0.003,0.003,0.0,0.003
-1095.0,2.34,2.34,0.254,2.326,0.003,0.003,0.0,0.003
-1090.0,2.365,2.365,0.257,2.351,0.003,0.003,0.0,0.003
-1085.0,2.39,2.39,0.26,2.376,0.003,0.003,0.0,0.003
-1080.0,2.415,2.415,0.263,2.401,0.003,0.003,0.0,0.003
-1075.0,2.441,2.441,0.266,2.426,0.003,0.003,0.0,0.003
-1070.0,2.467,2.467,0.269,2.452,0.004,0.004,0.0,0.004
-1065.0,2.494,2.494,0.272,2.479,0.004,0.004,0.0,0.004
-1060.0,2.521,2.521,0.275,2.506,0.004,0.004,0.0,0.004
-1055.0,2.548,2.548,0.278,2.533,0.004,0.004,0.0,0.004
-1050.0,2.576,2.576,0.281,2.561,0.004,0.004,0.0,0.004
-1045.0,2.605,2.605,0.285,2.589,0.004,0.004,0.0,0.004
-1040.0,2.634,2.634,0.288,2.618,0.004,0.004,0.0,0.004
-1035.0,2.663,2.663,0.292,2.647,0.004,0.004,0.0,0.004
-1030.0,2.693,2.693,0.295,2.677,0.004,0.004,0.0,0.004
-1025.0,2.724,2.724,0.299,2.707,0.004,0.004,0.0,0.004
-1020.0,2.755,2.755,0.302,2.738,0.004,0.004,0.0,0.004
-1015.0,2.786,2.786,0.306,2.769,0.004,0.004,0.0,0.004
-1010.0,2.818,2.818,0.31,2.801,0.004,0.004,0.0,0.004
-1005.0,2.851,2.851,0.314,2.834,0.004,0.004,0.0,0.004
-1000.0,2.884,2.884,0.318,2.867,0.004,0.004,0.0,0.004
-995.0,2.918,2.918,0.322,2.9,0.004,0.004,0.0,0.004
-990.0,2.952,2.952,0.326,2.934,0.004,0.004,0.0,0.004
-985.0,2.987,2.987,0.33,2.969,0.004,0.004,0.0,0.004
-980.0,3.023,3.023,0.334,3.004,0.004,0.004,0.0,0.004
-975.0,3.059,3.059,0.339,3.041,0.004,0.004,0.0,0.004
-970.0,3.096,3.096,0.343,3.077,0.004,0.004,0.0,0.004
-965.0,3.134,3.134,0.348,3.115,0.005,0.005,0.0,0.005
