optimized cornered
Cornered Configuration, Phase Optimized
OC.FLD

Electric Field cannot be computed for underground circuit

 DIST    B Horz   B Vert   B PROD    B MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)
 ----    ------   ------   ------    -----
 -30.00    0.053    0.051    0.074    0.056
 -29.00    0.059    0.057    0.082    0.062
 -28.00    0.065    0.063    0.090    0.068
 -27.00    0.072    0.070    0.100    0.076
 -26.00    0.079    0.078    0.111    0.084
 -25.00    0.088    0.088    0.124    0.094
 -24.00    0.098    0.099    0.139    0.105
 -23.00    0.110    0.112    0.157    0.119
 -22.00    0.124    0.127    0.178    0.134
 -21.00    0.140    0.145    0.202    0.152
 -20.00    0.159    0.167    0.230    0.174
 -19.00    0.182    0.192    0.265    0.200
 -18.00    0.208    0.224    0.306    0.231
 -17.00    0.241    0.262    0.355    0.268
 -16.00    0.279    0.308    0.416    0.314
 -15.00    0.327    0.365    0.490    0.370
 -14.00    0.386    0.436    0.582    0.440
 -13.00    0.459    0.525    0.697    0.527
 -12.00    0.553    0.635    0.842    0.636
 -11.00    0.673    0.774    1.026    0.774
 -10.00    0.831    0.948    1.261    0.951
  -9.00    1.041    1.165    1.563    1.179
  -8.00    1.325    1.433    1.951    1.471
  -7.00    1.707    1.758    2.450    1.847
  -6.00    2.214    2.146    3.083    2.323
  -5.00    2.858    2.606    3.868    2.913
  -4.00    3.606    3.162    4.796    3.611
  -3.00    4.348    3.858    5.813    4.377
  -2.00    4.899    4.698    6.787    5.115
  -1.00    5.122    5.505    7.519    5.675
   0.00    5.112    5.901    7.807    5.903
   1.00    5.064    5.609    7.557    5.724
   2.00    4.890    4.792    6.846    5.193
   3.00    4.406    3.886    5.875    4.459
   4.00    3.679    3.159    4.849    3.681
   5.00    2.909    2.609    3.908    2.965
   6.00    2.240    2.160    3.112    2.360
   7.00    1.717    1.775    2.469    1.872
   8.00    1.327    1.448    1.964    1.488
   9.00    1.041    1.177    1.571    1.190
  10.00    0.831    0.956    1.267    0.959
  11.00    0.673    0.780    1.030    0.780
  12.00    0.553    0.639    0.845    0.639
  13.00    0.460    0.527    0.699    0.529
  14.00    0.386    0.438    0.584    0.442
  15.00    0.328    0.366    0.491    0.372
  16.00    0.280    0.308    0.417    0.315
  17.00    0.241    0.262    0.356    0.269
  18.00    0.209    0.224    0.306    0.231
  19.00    0.182    0.192    0.265    0.200
  20.00    0.160    0.167    0.231    0.174
  21.00    0.141    0.145    0.202    0.153
  22.00    0.124    0.127    0.178    0.134
  23.00    0.110    0.112    0.157    0.119
  24.00    0.099    0.099    0.140    0.105
  25.00    0.088    0.088    0.124    0.094
  26.00    0.079    0.078    0.111    0.084
  27.00    0.072    0.070    0.100    0.076
  28.00    0.065    0.063    0.090    0.068
  29.00    0.059    0.057    0.082    0.062
  30.00    0.054    0.051    0.074    0.056
