Group,Name,X,Y,Power Line?,Of Concern?,Draw as Loop?
Railway,Railway,730,820,0,0,0
,,1290,676,0,0,0
,,1640,576,0,0,0
,,1970,456,0,0,0
Switchyard,Switchyard,235,799,0,0,1
,,340,625,0,0,1
,,310,488,0,0,1
,,890,332,0,0,1
,,970,377,0,0,1
,,910,728,0,0,1
,,259,897,0,0,1
Plant,Plant,1230,780,0,0,1
,,1180,1330,0,0,1
,,690,1300,0,0,1
,,710,904,0,0,1
Nearby Lots and Buildings,house 1,1261.26,171.5823,0,0,1
,,1270.43,205.125,0,0,1
,,1297.2,198.4228,0,0,1
,,1288.69,167.5633,0,0,1
Nearby Lots and Buildings,house 2,1824.06,401.794,0,0,1
,,1834.57,432.654,0,0,1
,,1885.44,419.91,0,0,1
,,1883.53,402.82,0,0,1
,,1846.07,408.507,0,0,1
,,1842.12,397.773,0,0,1
Nearby Lots and Buildings,house 3,1937.3,234.785,0,0,1
,,1942.39,279.06,0,0,1
,,1982.52,275.044,0,0,1
,,1976.75,231.439,0,0,1
Nearby Lots and Buildings,house 4,2114.74,295.197,0,0,1
,,2119.76,236.166,0,0,1
,,2155.18,236.173,0,0,1
,,2147.49,296.545,0,0,1
Nearby Lots and Buildings,house 5,1366.44,142.035,0,0,1
,,1381,134.697,0,0,1
,,1373.06,123.322,0,0,1
,,1390.93,111.977,0,0,1
,,1373.06,89.2253,0,0,1
,,1343.27,105.907,0,0,1
Road,Road,1464.77,414.942,0,0,0
,,1365.59,443.899,0,0,0
,,1187.07,490.387,0,0,0
,,1113.67,506.57,0,0,0
,,1087.22,511.295,0,0,0
