group,sequence,tower x,tower y,rotation,h,v,I,phase
Power Line,0,602,486,170,-18,51,694,-120
,,,,,0,51,694,0
,,,,,18,51,694,120
Power Line,1,590,430,135,-18,39.4,694,-120
,,,,,0,63.2,694,0
,,,,,18,87.1,694,120
Power Line,2,890,357,-90,-18,49.1,694,-120
,,,,,0,61.6,694,0
,,,,,18,73.6,694,120
Power Line,3,1430,717,-75,-18,47.3,694,-120
,,,,,0,59.2,694,0
,,,,,18,71.2,694,120
Power Line,4,1860,717,-45,-18,68.9,694,-120
,,,,,0,80.9,694,0
,,,,,18,92.9,694,120
Power Line,5,1860,912,0,-18,65.8,694,-120
,,,,,0,77.8,694,0
,,,,,18,89.9,694,120
Power Line,6,1800,1015,85,-18,43.9,694,-120
,,,,,0,67.7,694,0
,,,,,18,91.8,694,120
Power Line,7,1655,998,100,-18,45.1,694,-120
,,,,,0,45.1,694,0
,,,,,18,45.1,694,120
