ROW4TEST
trialrun
ROW4TEST.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-150.00   10.798    7.137   12.943   12.143    0.197    1.217    1.233    1.229
-149.00   11.107    7.223   13.249   12.414    0.206    1.276    1.292    1.289
-148.00   11.426    7.308   13.563   12.693    0.215    1.337    1.355    1.351
-147.00   11.755    7.392   13.886   12.980    0.225    1.402    1.420    1.416
-146.00   12.096    7.473   14.218   13.275    0.235    1.470    1.488    1.484
-145.00   12.447    7.551   14.558   13.579    0.245    1.541    1.560    1.556
-144.00   12.810    7.625   14.908   13.891    0.255    1.615    1.635    1.631
-143.00   13.184    7.696   15.266   14.212    0.265    1.692    1.713    1.709
-142.00   13.570    7.763   15.633   14.541    0.276    1.773    1.794    1.790
-141.00   13.967    7.825   16.009   14.879    0.286    1.857    1.879    1.875
-140.00   14.375    7.882   16.394   15.225    0.296    1.945    1.967    1.963
-139.00   14.793    7.934   16.787   15.579    0.306    2.036    2.059    2.055
-138.00   15.223    7.980   17.187   15.942    0.316    2.130    2.154    2.149
-137.00   15.662    8.020   17.596   16.312    0.325    2.228    2.251    2.247
-136.00   16.110    8.056   18.012   16.690    0.334    2.328    2.352    2.348
-135.00   16.566    8.087   18.435   17.075    0.342    2.431    2.455    2.451
-134.00   17.029    8.114   18.864   17.466    0.350    2.537    2.561    2.557
-133.00   17.497    8.140   19.298   17.863    0.356    2.645    2.669    2.665
-132.00   17.969    8.166   19.737   18.265    0.361    2.755    2.779    2.775
-131.00   18.441    8.196   20.181   18.671    0.365    2.867    2.890    2.886
-130.00   18.913    8.232   20.626   19.080    0.368    2.979    3.002    2.998
-129.00   19.379    8.280   21.074   19.492    0.368    3.093    3.114    3.111
-128.00   19.838    8.346   21.522   19.903    0.367    3.206    3.227    3.223
-127.00   20.285    8.435   21.969   20.314    0.364    3.318    3.338    3.334
-126.00   20.716    8.556   22.413   20.722    0.359    3.428    3.447    3.443
-125.00   21.126    8.715   22.853   21.127    0.352    3.537    3.554    3.551
-124.00   21.511    8.920   23.287   21.525    0.343    3.642    3.658    3.654
-123.00   21.866    9.178   23.714   21.914    0.331    3.743    3.757    3.754
-122.00   22.183    9.496   24.130   22.294    0.317    3.838    3.851    3.848
-121.00   22.459    9.878   24.535   22.661    0.302    3.928    3.940    3.936
-120.00   22.687   10.326   24.926   23.013    0.284    4.011    4.021    4.017
-119.00   22.861   10.840   25.301   23.349    0.266    4.085    4.094    4.090
-118.00   22.975   11.421   25.657   23.664    0.247    4.150    4.158    4.154
-117.00   23.025   12.062   25.993   23.957    0.228    4.206    4.212    4.208
-116.00   23.006   12.759   26.307   24.226    0.212    4.250    4.255    4.252
-115.00   22.913   13.504   26.596   24.468    0.200    4.283    4.288    4.284
-114.00   22.744   14.288   26.859   24.681    0.195    4.304    4.308    4.304
-113.00   22.496   15.100   27.094   24.862    0.197    4.312    4.316    4.312
-112.00   22.168   15.931   27.299   25.011    0.207    4.306    4.311    4.306
-111.00   21.762   16.769   27.473   25.124    0.225    4.288    4.293    4.288
-110.00   21.279   17.601   27.615   25.201    0.249    4.256    4.263    4.257
-109.00   20.725   18.414   27.724   25.239    0.276    4.211    4.220    4.213
-108.00   20.104   19.198   27.798   25.238    0.307    4.153    4.164    4.157
-107.00   19.428   19.939   27.839   25.197    0.339    4.083    4.097    4.089
-106.00   18.706   20.626   27.845   25.116    0.370    4.001    4.018    4.009
-105.00   17.955   21.246   27.817   24.994    0.401    3.909    3.930    3.920
-104.00   17.192   21.789   27.754   24.831    0.431    3.808    3.833    3.821
-103.00   16.439   22.244   27.659   24.628    0.458    3.699    3.728    3.714
-102.00   15.721   22.601   27.531   24.386    0.483    3.584    3.616    3.601
-101.00   15.066   22.852   27.372   24.106    0.504    3.464    3.501    3.482
-100.00   14.506   22.988   27.182   23.791    0.522    3.341    3.382    3.361
 -99.00   14.071   23.003   26.965   23.445    0.537    3.217    3.262    3.238
 -98.00   13.787   22.890   26.721   23.071    0.548    3.095    3.143    3.115
 -97.00   13.675   22.644   26.453   22.676    0.555    2.975    3.026    2.995
 -96.00   13.744   22.262   26.163   22.268    0.558    2.860    2.914    2.879
 -95.00   13.989   21.743   25.854   21.859    0.557    2.752    2.808    2.770
 -94.00   14.395   21.084   25.529   21.461    0.552    2.653    2.710    2.668
 -93.00   14.935   20.287   25.192   21.093    0.543    2.565    2.621    2.577
 -92.00   15.577   19.355   24.845   20.773    0.529    2.487    2.543    2.496
 -91.00   16.287   18.294   24.494   20.518    0.512    2.422    2.475    2.428
 -90.00   17.031   17.111   24.142   20.340    0.491    2.368    2.419    2.373
 -89.00   17.778   15.817   23.795   20.243    0.467    2.327    2.373    2.329
 -88.00   18.497   14.428   23.459   20.223    0.439    2.296    2.338    2.297
 -87.00   19.163   12.968   23.139   20.269    0.408    2.274    2.311    2.275
 -86.00   19.753   11.469   22.842   20.369    0.375    2.260    2.291    2.261
 -85.00   20.247    9.980   22.574   20.512    0.339    2.252    2.277    2.252
 -84.00   20.629    8.581   22.342   20.686    0.300    2.247    2.267    2.247
 -83.00   20.883    7.397   22.155   20.885    0.261    2.244    2.259    2.244
 -82.00   21.001    6.615   22.018   21.100    0.220    2.240    2.251    2.240
 -81.00   20.973    6.437   21.939   21.329    0.180    2.234    2.241    2.234
 -80.00   20.798    6.939   21.925   21.567    0.141    2.224    2.229    2.225
 -79.00   20.473    8.000   21.980   21.812    0.107    2.210    2.213    2.211
 -78.00   20.003    9.423   22.112   22.064    0.084    2.191    2.193    2.192
 -77.00   19.397   11.047   22.322   22.322    0.083    2.166    2.167    2.167
 -76.00   18.667   12.767   22.615   22.586    0.103    2.135    2.138    2.137
