Distance (ft),Max B (mG),Max E (kV/m)
-150.0,12.143000000000001,1.2290000000000001
-149.0,12.414,1.2889999999999999
-148.0,12.693,1.351
-147.0,12.98,1.4159999999999999
-146.0,13.275,1.484
-145.0,13.579000000000001,1.556
-144.0,13.891,1.631
-143.0,14.212,1.7090000000000001
-142.0,14.541,1.79
-141.0,14.879,1.875
-140.0,15.225,1.9630000000000001
-139.0,15.579000000000001,2.0550000000000002
-138.0,15.942,2.149
-137.0,16.312000000000001,2.2469999999999999
-136.0,16.690000000000001,2.3479999999999999
-135.0,17.074999999999999,2.4510000000000001
-134.0,17.466000000000001,2.5569999999999999
-133.0,17.863,2.665
-132.0,18.265000000000001,2.7749999999999999
-131.0,18.670999999999999,2.8860000000000001
-130.0,19.079999999999998,2.9980000000000002
-129.0,19.492000000000001,3.1110000000000002
-128.0,19.902999999999999,3.2229999999999999
-127.0,20.314,3.3340000000000001
-126.0,20.722000000000001,3.4430000000000001
-125.0,21.126999999999999,3.5510000000000002
-124.0,21.524999999999999,3.6539999999999999
-123.0,21.914000000000001,3.754
-122.0,22.294,3.8479999999999999
-121.0,22.661000000000001,3.9359999999999999
-120.0,23.013000000000002,4.0170000000000003
-119.0,23.349,4.0899999999999999
-118.0,23.664000000000001,4.1539999999999999
-117.0,23.957000000000001,4.2080000000000002
-116.0,24.225999999999999,4.2519999999999998
-115.0,24.468,4.2839999999999998
-114.0,24.681000000000001,4.3040000000000003
-113.0,24.861999999999998,4.3120000000000003
-112.0,25.010999999999999,4.306
-111.0,25.123999999999999,4.2880000000000003
-110.0,25.201000000000001,4.2569999999999997
-109.0,25.239000000000001,4.2130000000000001
-108.0,25.238,4.157
-107.0,25.196999999999999,4.0890000000000004
-106.0,25.116,4.0090000000000003
-105.0,24.994,3.9199999999999999
-104.0,24.831,3.8210000000000002
-103.0,24.628,3.714
-102.0,24.385999999999999,3.601
-101.0,24.106000000000002,3.4820000000000002
-100.0,23.791,3.3610000000000002
-99.0,23.445,3.238
-98.0,23.071000000000002,3.1150000000000002
-97.0,22.675999999999998,2.9950000000000001
-96.0,22.268000000000001,2.879
-95.0,21.859000000000002,2.77
-94.0,21.460999999999999,2.6680000000000001
-93.0,21.093,2.577
-92.0,20.773,2.496
-91.0,20.518000000000001,2.4279999999999999
-90.0,20.34,2.3730000000000002
-89.0,20.242999999999999,2.3290000000000002
-88.0,20.222999999999999,2.2970000000000002
-87.0,20.268999999999998,2.2749999999999999
-86.0,20.369,2.2610000000000001
-85.0,20.512,2.2519999999999998
-84.0,20.686,2.2469999999999999
-83.0,20.885000000000002,2.2440000000000002
-82.0,21.100000000000001,2.2400000000000002
-81.0,21.329000000000001,2.234
-80.0,21.567,2.2250000000000001
-79.0,21.812000000000001,2.2109999999999999
-78.0,22.064,2.1920000000000002
-77.0,22.321999999999999,2.1669999999999998
-76.0,22.585999999999999,2.137
-75.0,22.859999999999999,2.1019999999999999
-74.0,23.146000000000001,2.0619999999999998
-73.0,23.446999999999999,2.0179999999999998
-72.0,23.768999999999998,1.972
-71.0,24.117000000000001,1.9239999999999999
-70.0,24.501000000000001,1.8779999999999999
-69.0,24.928000000000001,1.8340000000000001
-68.0,25.41,1.796
