  x	     Ex	 Experc	     Ey	 Eyperc	  Eprod	 Eprodp	   Emax	  Emaxp
-25	 0.7944	 0.0006	 3.1360	-0.0000	 3.2350	 0.0000	 3.2266	-0.0001
-24	 0.8701	 0.0001	 3.3967	-0.0001	 3.5063	 0.0001	 3.4972	 0.0000
-23	 0.9512	 0.0002	 3.6832	 0.0000	 3.8040	 0.0000	 3.7941	 0.0000
-22	 1.0371	 0.0001	 3.9976	-0.0001	 4.1300	-0.0000	 4.1192	 0.0001
-21	 1.1267	-0.0003	 4.3420	 0.0000	 4.4858	-0.0000	 4.4742	 0.0000
-20	 1.2180	-0.0000	 4.7180	-0.0000	 4.8727	-0.0001	 4.8601	 0.0000
-19	 1.3082	 0.0002	 5.1266	-0.0001	 5.2909	-0.0000	 5.2774	 0.0001
-18	 1.3934	 0.0003	 5.5682	 0.0000	 5.7399	-0.0000	 5.7254	 0.0001
-17	 1.4682	 0.0001	 6.0415	 0.0001	 6.2173	 0.0000	 6.2017	-0.0000
-16	 1.5255	 0.0003	 6.5432	 0.0000	 6.7187	-0.0000	 6.7019	-0.0000
-15	 1.5567	-0.0002	 7.0675	-0.0001	 7.2370	-0.0000	 7.2188	-0.0000
-14	 1.5522	 0.0001	 7.6046	-0.0001	 7.7614	 0.0000	 7.7415	-0.0001
-13	 1.5020	 0.0000	 8.1398	-0.0000	 8.2772	 0.0000	 8.2551	 0.0000
-12	 1.3995	-0.0003	 8.6526	-0.0000	 8.7651	 0.0000	 8.7400	 0.0000
-11	 1.2482	 0.0002	 9.1162	 0.0000	 9.2013	 0.0000	 9.1720	-0.0000
-10	 1.0791	 0.0001	 9.4972	 0.0000	 9.5583	 0.0000	 9.5227	-0.0000
 -9	 0.9855	-0.0005	 9.7575	 0.0000	 9.8071	 0.0000	 9.7618	-0.0000
 -8	 1.1142	 0.0002	 9.8572	 0.0000	 9.9200	-0.0000	 9.8592	 0.0000
 -7	 1.5013	 0.0002	 9.7607	-0.0000	 9.8754	 0.0000	 9.7898	-0.0000
 -6	 2.0517	-0.0001	 9.4440	 0.0000	 9.6643	 0.0000	 9.5374	 0.0000
 -5	 2.6692	 0.0001	 8.9044	 0.0001	 9.2959	-0.0000	 9.1000	-0.0000
 -4	 3.2797	-0.0001	 8.1706	-0.0000	 8.8043	 0.0000	 8.4924	 0.0000
 -3	 3.8226	-0.0001	 7.3141	 0.0000	 8.2528	-0.0000	 7.7479	-0.0000
 -2	 4.2481	 0.0000	 6.4624	 0.0001	 7.7337	-0.0000	 6.9180	 0.0000
 -1	 4.5188	-0.0001	 5.8052	 0.0000	 7.3566	-0.0001	 6.0829	-0.0000
  0	 4.6116	-0.0001	 5.5524	 0.0001	 7.2177	-0.0000	 5.5524	 0.0001
  1	 4.5188	-0.0001	 5.8052	 0.0000	 7.3566	-0.0001	 6.0829	-0.0000
  2	 4.2481	 0.0000	 6.4624	 0.0001	 7.7337	-0.0000	 6.9180	 0.0000
  3	 3.8226	-0.0001	 7.3141	 0.0000	 8.2528	-0.0000	 7.7479	-0.0000
  4	 3.2797	-0.0001	 8.1706	-0.0000	 8.8043	 0.0000	 8.4924	 0.0000
  5	 2.6692	 0.0001	 8.9044	 0.0001	 9.2959	-0.0000	 9.1000	-0.0000
  6	 2.0517	-0.0001	 9.4440	 0.0000	 9.6643	 0.0000	 9.5374	 0.0000
  7	 1.5013	 0.0002	 9.7607	-0.0000	 9.8754	 0.0000	 9.7898	-0.0000
  8	 1.1142	 0.0002	 9.8572	 0.0000	 9.9200	-0.0000	 9.8592	 0.0000
  9	 0.9855	-0.0005	 9.7575	 0.0000	 9.8071	 0.0000	 9.7618	-0.0000
 10	 1.0791	 0.0001	 9.4972	 0.0000	 9.5583	 0.0000	 9.5227	-0.0000
 11	 1.2482	 0.0002	 9.1162	 0.0000	 9.2013	 0.0000	 9.1720	-0.0000
 12	 1.3995	-0.0003	 8.6526	-0.0000	 8.7651	 0.0000	 8.7400	 0.0000
 13	 1.5020	 0.0000	 8.1398	-0.0000	 8.2772	 0.0000	 8.2551	 0.0000
 14	 1.5522	 0.0001	 7.6046	-0.0001	 7.7614	 0.0000	 7.7415	-0.0001
 15	 1.5567	-0.0002	 7.0675	-0.0001	 7.2370	-0.0000	 7.2188	-0.0000
 16	 1.5255	 0.0003	 6.5432	 0.0000	 6.7187	-0.0000	 6.7019	-0.0000
 17	 1.4682	 0.0001	 6.0415	 0.0001	 6.2173	 0.0000	 6.2017	-0.0000
 18	 1.3934	 0.0003	 5.5682	 0.0000	 5.7399	-0.0000	 5.7254	 0.0001
 19	 1.3082	 0.0002	 5.1266	-0.0001	 5.2909	-0.0000	 5.2774	 0.0001
 20	 1.2180	-0.0000	 4.7180	-0.0000	 4.8727	-0.0001	 4.8601	 0.0000
 21	 1.1267	-0.0003	 4.3420	 0.0000	 4.4858	-0.0000	 4.4742	 0.0000
 22	 1.0371	 0.0001	 3.9976	-0.0001	 4.1300	-0.0000	 4.1192	 0.0001
 23	 0.9512	 0.0002	 3.6832	 0.0000	 3.8040	 0.0000	 3.7941	 0.0000
 24	 0.8701	 0.0001	 3.3967	-0.0001	 3.5063	 0.0001	 3.4972	 0.0000
 25	 0.7944	 0.0006	 3.1360	-0.0000	 3.2350	 0.0000	 3.2266	-0.0001
