  x	        Ex	    Experc	        Ey	    Eyperc	     Eprod	    Eprodp	      Emax	     Emaxp
-25	    0.2509	   -0.0272	    2.4820	   -0.0001	    2.4947	   -0.0140	    2.4947	   -0.0140
-24	    0.2404	    0.1698	    2.5680	   -0.0017	    2.5792	    0.0072	    2.5792	    0.0072
-23	    0.2257	   -0.1461	    2.6502	    0.0080	    2.6598	   -0.0074	    2.6598	   -0.0074
-22	    0.2062	    0.1056	    2.7273	    0.0095	    2.7350	    0.0017	    2.7350	    0.0017
-21	    0.1816	   -0.2298	    2.7974	    0.0143	    2.8033	    0.0102	    2.8033	    0.0102
-20	    0.1514	    0.2329	    2.8588	   -0.0086	    2.8628	   -0.0084	    2.8628	   -0.0084
-19	    0.1152	    0.1806	    2.9093	    0.0103	    2.9116	   -0.0144	    2.9116	   -0.0144
-18	    0.0730	   -0.0617	    2.9469	   -0.0040	    2.9478	   -0.0072	    2.9478	   -0.0072
-17	    0.0246	   -1.7668	    2.9693	    0.0096	    2.9694	    0.0131	    2.9694	    0.0131
-16	    0.0298	   -0.5775	    2.9743	    0.0094	    2.9744	    0.0144	    2.9744	    0.0144
-15	    0.0898	   -0.1909	    2.9597	   -0.0100	    2.9611	    0.0023	    2.9611	    0.0023
-14	    0.1548	   -0.1021	    2.9236	   -0.0153	    2.9277	   -0.0119	    2.9277	   -0.0119
-13	    0.2240	    0.0125	    2.8641	    0.0023	    2.8728	   -0.0064	    2.8728	   -0.0064
-12	    0.2963	    0.1095	    2.7798	   -0.0065	    2.7956	   -0.0154	    2.7956	   -0.0154
-11	    0.3705	    0.1272	    2.6698	   -0.0071	    2.6954	    0.0145	    2.6954	    0.0145
-10	    0.4451	    0.0120	    2.5335	   -0.0186	    2.5723	    0.0125	    2.5723	    0.0125
 -9	    0.5186	   -0.0857	    2.3710	    0.0004	    2.4271	    0.0022	    2.4271	    0.0022
 -8	    0.5894	    0.0708	    2.1829	   -0.0064	    2.2610	    0.0016	    2.2610	    0.0016
 -7	    0.6561	    0.0147	    1.9703	    0.0133	    2.0766	   -0.0178	    2.0766	   -0.0178
 -6	    0.7171	    0.0177	    1.7350	   -0.0027	    1.8773	    0.0171	    1.8773	    0.0171
 -5	    0.7712	    0.0216	    1.4792	    0.0126	    1.6681	    0.0084	    1.6681	    0.0084
 -4	    0.8170	    0.0046	    1.2057	   -0.0277	    1.4564	    0.0293	    1.4564	    0.0293
 -3	    0.8538	   -0.0289	    0.9175	    0.0524	    1.2533	    0.0209	    1.2533	    0.0209
 -2	    0.8805	   -0.0525	    0.6180	    0.0050	    1.0758	   -0.0202	    1.0758	   -0.0202
 -1	    0.8968	   -0.0188	    0.3109	   -0.0181	    0.9492	    0.0217	    0.9492	    0.0217
  0	    0.9023	    0.0332	    0.0000	       inf	    0.9023	    0.0332	    0.9023	    0.0332
  1	    0.8968	   -0.0188	    0.3109	   -0.0181	    0.9492	    0.0217	    0.9492	    0.0217
  2	    0.8805	   -0.0525	    0.6180	    0.0050	    1.0758	   -0.0202	    1.0758	   -0.0202
  3	    0.8538	   -0.0289	    0.9175	    0.0524	    1.2533	    0.0209	    1.2533	    0.0209
  4	    0.8170	    0.0046	    1.2057	   -0.0277	    1.4564	    0.0293	    1.4564	    0.0293
  5	    0.7712	    0.0216	    1.4792	    0.0126	    1.6681	    0.0084	    1.6681	    0.0084
  6	    0.7171	    0.0177	    1.7350	   -0.0027	    1.8773	    0.0171	    1.8773	    0.0171
  7	    0.6561	    0.0147	    1.9703	    0.0133	    2.0766	   -0.0178	    2.0766	   -0.0178
  8	    0.5894	    0.0708	    2.1829	   -0.0064	    2.2610	    0.0016	    2.2610	    0.0016
  9	    0.5186	   -0.0857	    2.3710	    0.0004	    2.4271	    0.0022	    2.4271	    0.0022
 10	    0.4451	    0.0120	    2.5335	   -0.0186	    2.5723	    0.0125	    2.5723	    0.0125
 11	    0.3705	    0.1272	    2.6698	   -0.0071	    2.6954	    0.0145	    2.6954	    0.0145
 12	    0.2963	    0.1095	    2.7798	   -0.0065	    2.7956	   -0.0154	    2.7956	   -0.0154
 13	    0.2240	    0.0125	    2.8641	    0.0023	    2.8728	   -0.0064	    2.8728	   -0.0064
 14	    0.1548	   -0.1021	    2.9236	   -0.0153	    2.9277	   -0.0119	    2.9277	   -0.0119
 15	    0.0898	   -0.1909	    2.9597	   -0.0100	    2.9611	    0.0023	    2.9611	    0.0023
 16	    0.0298	   -0.5775	    2.9743	    0.0094	    2.9744	    0.0144	    2.9744	    0.0144
 17	    0.0246	   -1.7668	    2.9693	    0.0096	    2.9694	    0.0131	    2.9694	    0.0131
 18	    0.0730	   -0.0617	    2.9469	   -0.0040	    2.9478	   -0.0072	    2.9478	   -0.0072
 19	    0.1152	    0.1806	    2.9093	    0.0103	    2.9116	   -0.0144	    2.9116	   -0.0144
 20	    0.1514	    0.2329	    2.8588	   -0.0086	    2.8628	   -0.0084	    2.8628	   -0.0084
 21	    0.1816	   -0.2298	    2.7974	    0.0143	    2.8033	    0.0102	    2.8033	    0.0102
 22	    0.2062	    0.1056	    2.7273	    0.0095	    2.7350	    0.0017	    2.7350	    0.0017
 23	    0.2257	   -0.1461	    2.6502	    0.0080	    2.6598	   -0.0074	    2.6598	   -0.0074
 24	    0.2404	    0.1698	    2.5680	   -0.0017	    2.5792	    0.0072	    2.5792	    0.0072
 25	    0.2509	   -0.0272	    2.4820	   -0.0001	    2.4947	   -0.0140	    2.4947	   -0.0140
