17E
Cross Section 17, Existing
17E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    4.711    4.757    6.695    6.691    0.015    0.155    0.156    0.156
 -99.00    4.871    4.821    6.853    6.850    0.015    0.160    0.161    0.161
 -98.00    5.037    4.886    7.018    7.013    0.016    0.166    0.166    0.166
 -97.00    5.211    4.950    7.187    7.183    0.017    0.171    0.172    0.172
 -96.00    5.392    5.013    7.363    7.358    0.017    0.177    0.177    0.177
 -95.00    5.581    5.076    7.544    7.539    0.018    0.182    0.183    0.183
 -94.00    5.778    5.138    7.732    7.727    0.019    0.188    0.189    0.189
 -93.00    5.984    5.199    7.927    7.921    0.019    0.195    0.196    0.196
 -92.00    6.199    5.258    8.128    8.122    0.020    0.201    0.202    0.202
 -91.00    6.423    5.315    8.337    8.330    0.021    0.208    0.209    0.209
 -90.00    6.657    5.370    8.553    8.545    0.022    0.215    0.216    0.216
 -89.00    6.901    5.423    8.777    8.769    0.023    0.223    0.224    0.224
 -88.00    7.156    5.473    9.009    9.000    0.024    0.230    0.232    0.232
 -87.00    7.422    5.519    9.249    9.240    0.025    0.238    0.240    0.240
 -86.00    7.699    5.562    9.498    9.488    0.026    0.247    0.248    0.248
 -85.00    7.989    5.600    9.757    9.746    0.027    0.255    0.257    0.257
 -84.00    8.292    5.633   10.025   10.013    0.028    0.264    0.266    0.266
 -83.00    8.608    5.661   10.303   10.290    0.029    0.274    0.275    0.275
 -82.00    8.938    5.682   10.592   10.577    0.030    0.284    0.285    0.285
 -81.00    9.283    5.696   10.891   10.876    0.031    0.294    0.295    0.295
 -80.00    9.642    5.702   11.202   11.185    0.032    0.304    0.306    0.306
 -79.00   10.017    5.698   11.524   11.506    0.033    0.315    0.317    0.317
 -78.00   10.408    5.685   11.859   11.839    0.035    0.326    0.328    0.328
 -77.00   10.815    5.660   12.207   12.185    0.036    0.338    0.340    0.340
 -76.00   11.239    5.623   12.567   12.544    0.037    0.350    0.352    0.352
 -75.00   11.681    5.572   12.942   12.916    0.038    0.363    0.365    0.365
 -74.00   12.141    5.505   13.331   13.303    0.040    0.376    0.378    0.378
 -73.00   12.619    5.422   13.734   13.704    0.041    0.389    0.391    0.391
 -72.00   13.115    5.321   14.153   14.120    0.042    0.403    0.405    0.405
 -71.00   13.630    5.200   14.588   14.552    0.043    0.417    0.419    0.419
 -70.00   14.163    5.057   15.039   14.999    0.044    0.432    0.434    0.434
 -69.00   14.716    4.891   15.507   15.463    0.046    0.447    0.449    0.449
 -68.00   15.286    4.701   15.993   15.944    0.047    0.462    0.465    0.465
 -67.00   15.874    4.485   16.496   16.443    0.048    0.478    0.481    0.481
 -66.00   16.480    4.242   17.017   16.959    0.048    0.494    0.497    0.497
 -65.00   17.101    3.974   17.557   17.493    0.049    0.511    0.513    0.513
 -64.00   17.738    3.681   18.116   18.046    0.050    0.527    0.530    0.530
 -63.00   18.388    3.370   18.694   18.617    0.050    0.544    0.546    0.546
 -62.00   19.049    3.049   19.291   19.206    0.050    0.561    0.563    0.563
 -61.00   19.719    2.739   19.908   19.815    0.050    0.578    0.580    0.580
 -60.00   20.395    2.476   20.544   20.442    0.050    0.595    0.597    0.597
 -59.00   21.073    2.318   21.200   21.087    0.049    0.612    0.614    0.614
 -58.00   21.750    2.335   21.875   21.750    0.048    0.628    0.630    0.630
 -57.00   22.420    2.578   22.568   22.430    0.047    0.644    0.646    0.646
 -56.00   23.079    3.044   23.279   23.127    0.045    0.660    0.661    0.661
 -55.00   23.720    3.700   24.007   23.840    0.043    0.674    0.676    0.676
 -54.00   24.338    4.508   24.752   24.568    0.040    0.688    0.689    0.689
 -53.00   24.924    5.443   25.511   25.309    0.037    0.701    0.702    0.702
 -52.00   25.470    6.490   26.284   26.061    0.034    0.712    0.713    0.713
 -51.00   25.968    7.636   27.068   26.823    0.030    0.722    0.723    0.723
 -50.00   26.410    8.876   27.862   27.593    0.027    0.731    0.731    0.731
 -49.00   26.786   10.202   28.663   28.368    0.024    0.737    0.737    0.737
 -48.00   27.085   11.610   29.469   29.145    0.023    0.741    0.741    0.741
 -47.00   27.300   13.091   30.276   29.922    0.024    0.743    0.743    0.743
 -46.00   27.420   14.639   31.083   30.695    0.028    0.742    0.742    0.742
 -45.00   27.436   16.245   31.885   31.462    0.033    0.738    0.739    0.738
 -44.00   27.341   17.899   32.679   32.219    0.041    0.732    0.733    0.732
 -43.00   27.127   19.590   33.462   32.961    0.049    0.722    0.723    0.723
 -42.00   26.789   21.306   34.229   33.687    0.058    0.708    0.711    0.710
 -41.00   26.323   23.033   34.977   34.391    0.068    0.692    0.695    0.694
 -40.00   25.725   24.756   35.702   35.071    0.078    0.672    0.676    0.675
 -39.00   24.997   26.460   36.400   35.722    0.088    0.648    0.654    0.653
 -38.00   24.141   28.129   37.068   36.342    0.098    0.622    0.629    0.627
 -37.00   23.162   29.748   37.702   36.927    0.108    0.591    0.601    0.599
 -36.00   22.067   31.301   38.298   37.475    0.117    0.558    0.570    0.568
 -35.00   20.868   32.773   38.853   37.982    0.126    0.522    0.537    0.534
 -34.00   19.581   34.149   39.364   38.447    0.135    0.483    0.501    0.498
 -33.00   18.223   35.415   39.829   38.868    0.142    0.442    0.464    0.459
 -32.00   16.819   36.561   40.245   39.242    0.149    0.399    0.426    0.420
 -31.00   15.400   37.576   40.609   39.569    0.155    0.354    0.387    0.379
 -30.00   14.007   38.449   40.921   39.847    0.161    0.309    0.349    0.339
 -29.00   12.690   39.174   41.178   40.076    0.165    0.265    0.312    0.298
 -28.00   11.518   39.744   41.379   40.254    0.168    0.223    0.280    0.260
 -27.00   10.576   40.154   41.523   40.382    0.171    0.187    0.253    0.224
