HL_E
Existing Configuration
HL_E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00   11.994   24.839   27.584   27.583    0.020    0.212    0.212    0.212
 -99.00   12.375   25.295   28.159   28.159    0.021    0.218    0.219    0.219
 -98.00   12.771   25.761   28.753   28.753    0.021    0.225    0.226    0.226
 -97.00   13.185   26.240   29.366   29.365    0.022    0.232    0.233    0.233
 -96.00   13.616   26.731   29.999   29.998    0.023    0.240    0.241    0.241
 -95.00   14.067   27.234   30.652   30.651    0.024    0.248    0.249    0.249
 -94.00   14.537   27.749   31.326   31.325    0.025    0.256    0.257    0.257
 -93.00   15.028   28.278   32.023   32.022    0.027    0.264    0.266    0.266
 -92.00   15.542   28.820   32.744   32.742    0.028    0.273    0.275    0.275
 -91.00   16.079   29.376   33.489   33.487    0.029    0.283    0.284    0.284
 -90.00   16.641   29.946   34.259   34.257    0.030    0.293    0.294    0.294
 -89.00   17.230   30.530   35.056   35.054    0.032    0.303    0.304    0.304
 -88.00   17.846   31.128   35.881   35.879    0.033    0.313    0.315    0.315
 -87.00   18.491   31.742   36.735   36.733    0.035    0.325    0.327    0.327
 -86.00   19.168   32.370   37.620   37.618    0.036    0.336    0.338    0.338
 -85.00   19.877   33.014   38.536   38.534    0.038    0.349    0.351    0.351
 -84.00   20.622   33.674   39.486   39.484    0.040    0.362    0.364    0.364
 -83.00   21.403   34.349   40.472   40.469    0.042    0.375    0.377    0.377
 -82.00   22.224   35.041   41.494   41.491    0.044    0.389    0.392    0.392
 -81.00   23.087   35.748   42.555   42.552    0.046    0.404    0.407    0.407
 -80.00   23.994   36.471   43.656   43.653    0.049    0.420    0.423    0.423
 -79.00   24.948   37.211   44.800   44.796    0.051    0.436    0.439    0.439
 -78.00   25.952   37.966   45.988   45.984    0.054    0.453    0.457    0.457
 -77.00   27.010   38.737   47.224   47.219    0.056    0.472    0.475    0.475
 -76.00   28.124   39.523   48.508   48.504    0.059    0.491    0.494    0.494
 -75.00   29.299   40.325   49.845   49.840    0.062    0.511    0.515    0.515
 -74.00   30.538   41.141   51.236   51.231    0.066    0.532    0.536    0.536
 -73.00   31.846   41.970   52.684   52.678    0.069    0.554    0.558    0.558
 -72.00   33.227   42.812   54.193   54.187    0.073    0.578    0.582    0.582
 -71.00   34.685   43.666   55.766   55.758    0.077    0.602    0.607    0.607
 -70.00   36.227   44.530   57.405   57.397    0.081    0.628    0.634    0.634
 -69.00   37.857   45.402   59.115   59.106    0.086    0.656    0.661    0.661
 -68.00   39.582   46.281   60.899   60.889    0.090    0.685    0.691    0.691
 -67.00   41.408   47.162   62.761   62.750    0.095    0.715    0.722    0.722
 -66.00   43.342   48.045   64.706   64.693    0.100    0.748    0.754    0.754
 -65.00   45.390   48.924   66.737   66.724    0.106    0.782    0.789    0.789
 -64.00   47.561   49.797   68.860   68.845    0.112    0.818    0.825    0.825
 -63.00   49.862   50.657   71.080   71.063    0.118    0.856    0.864    0.864
 -62.00   52.303   51.499   73.401   73.382    0.125    0.896    0.904    0.904
 -61.00   54.892   52.316   75.829   75.808    0.131    0.938    0.947    0.947
 -60.00   57.639   53.100   78.370   78.347    0.139    0.983    0.992    0.992
 -59.00   60.554   53.843   81.030   81.004    0.146    1.030    1.040    1.040
 -58.00   63.647   54.533   83.814   83.785    0.154    1.079    1.090    1.090
 -57.00   66.929   55.158   86.729   86.696    0.162    1.132    1.143    1.143
 -56.00   70.411   55.705   89.782   89.745    0.171    1.187    1.199    1.199
 -55.00   74.104   56.157   92.978   92.937    0.180    1.245    1.258    1.258
 -54.00   78.019   56.495   96.325   96.279    0.189    1.306    1.320    1.320
 -53.00   82.166   56.699   99.830   99.777    0.198    1.370    1.385    1.384
 -52.00   86.556   56.744  103.498  103.438    0.207    1.438    1.453    1.452
 -51.00   91.198   56.604  107.336  107.268    0.216    1.508    1.524    1.524
 -50.00   96.099   56.248  111.350  111.272    0.225    1.582    1.598    1.598
 -49.00  101.265   55.641  115.545  115.457    0.234    1.659    1.675    1.675
 -48.00  106.700   54.746  119.925  119.824    0.242    1.739    1.756    1.756
 -47.00  112.401   53.521  124.493  124.379    0.250    1.822    1.839    1.839
 -46.00  118.365   51.921  129.252  129.122    0.256    1.907    1.924    1.924
 -45.00  124.580   49.897  134.201  134.052    0.262    1.995    2.012    2.012
 -44.00  131.028   47.399  139.338  139.168    0.265    2.084    2.101    2.101
 -43.00  137.681   44.376  144.656  144.462    0.267    2.175    2.191    2.191
 -42.00  144.503   40.783  150.148  149.926    0.265    2.266    2.282    2.282
 -41.00  151.444   36.583  155.799  155.546    0.261    2.357    2.372    2.372
 -40.00  158.439   31.769  161.592  161.304    0.254    2.447    2.460    2.459
 -39.00  165.410   26.401  167.503  167.174    0.242    2.533    2.545    2.544
 -38.00  172.260   20.723  173.502  173.128    0.226    2.615    2.625    2.625
 -37.00  178.875   15.559  179.550  179.126    0.204    2.691    2.699    2.699
 -36.00  185.122   13.351  185.603  185.124    0.178    2.759    2.765    2.765
 -35.00  190.853   16.981  191.607  191.067    0.147    2.818    2.821    2.821
 -34.00  195.904   25.061  197.501  196.896    0.111    2.863    2.866    2.865
 -33.00  200.101   35.429  203.214  202.540    0.075    2.895    2.896    2.895
 -32.00  203.267   47.171  208.669  207.924    0.053    2.910    2.910    2.910
 -31.00  205.229   59.870  213.783  212.966    0.074    2.906    2.907    2.906
 -30.00  205.826   73.243  218.469  217.581    0.122    2.882    2.884    2.884
 -29.00  204.924   87.028  222.638  221.682    0.178    2.836    2.841    2.841
 -28.00  202.425  100.954  226.202  225.187    0.237    2.768    2.778    2.777
 -27.00  198.277  114.733  229.079  228.015    0.294    2.677    2.693    2.693
