raise2
Raise Test 2
RAISE2.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-250.00    0.123    0.898    0.907    0.907    0.001    0.022    0.022    0.022
-249.00    0.124    0.905    0.914    0.914    0.001    0.022    0.022    0.022
-248.00    0.126    0.913    0.921    0.921    0.001    0.022    0.022    0.022
-247.00    0.127    0.920    0.929    0.929    0.001    0.023    0.023    0.023
-246.00    0.129    0.927    0.936    0.936    0.001    0.023    0.023    0.023
-245.00    0.131    0.935    0.944    0.944    0.001    0.023    0.023    0.023
-244.00    0.132    0.942    0.952    0.952    0.001    0.023    0.023    0.023
-243.00    0.134    0.950    0.960    0.960    0.001    0.023    0.023    0.023
-242.00    0.136    0.958    0.967    0.967    0.001    0.024    0.024    0.024
-241.00    0.137    0.966    0.975    0.975    0.001    0.024    0.024    0.024
-240.00    0.139    0.974    0.984    0.984    0.001    0.024    0.024    0.024
-239.00    0.141    0.982    0.992    0.992    0.001    0.024    0.024    0.024
-238.00    0.142    0.990    1.000    1.000    0.001    0.025    0.025    0.025
-237.00    0.144    0.998    1.009    1.009    0.001    0.025    0.025    0.025
-236.00    0.146    1.007    1.017    1.017    0.001    0.025    0.025    0.025
-235.00    0.148    1.015    1.026    1.026    0.001    0.025    0.025    0.025
-234.00    0.150    1.024    1.035    1.035    0.001    0.026    0.026    0.026
-233.00    0.152    1.032    1.043    1.043    0.001    0.026    0.026    0.026
-232.00    0.154    1.041    1.052    1.052    0.001    0.026    0.026    0.026
-231.00    0.156    1.050    1.061    1.061    0.001    0.027    0.027    0.027
-230.00    0.158    1.059    1.071    1.071    0.001    0.027    0.027    0.027
-229.00    0.160    1.068    1.080    1.080    0.001    0.027    0.027    0.027
-228.00    0.162    1.077    1.090    1.090    0.001    0.027    0.027    0.027
-227.00    0.164    1.087    1.099    1.099    0.001    0.028    0.028    0.028
-226.00    0.166    1.096    1.109    1.109    0.001    0.028    0.028    0.028
-225.00    0.168    1.106    1.119    1.119    0.001    0.028    0.028    0.028
-224.00    0.171    1.116    1.129    1.129    0.001    0.029    0.029    0.029
-223.00    0.173    1.126    1.139    1.139    0.001    0.029    0.029    0.029
-222.00    0.175    1.136    1.149    1.149    0.001    0.029    0.029    0.029
-221.00    0.178    1.146    1.159    1.159    0.001    0.030    0.030    0.030
-220.00    0.180    1.156    1.170    1.170    0.001    0.030    0.030    0.030
-219.00    0.183    1.166    1.181    1.181    0.001    0.030    0.030    0.030
-218.00    0.185    1.177    1.191    1.191    0.001    0.031    0.031    0.031
-217.00    0.188    1.188    1.202    1.202    0.001    0.031    0.031    0.031
-216.00    0.190    1.198    1.213    1.213    0.001    0.031    0.031    0.031
-215.00    0.193    1.209    1.225    1.225    0.001    0.032    0.032    0.032
-214.00    0.196    1.221    1.236    1.236    0.001    0.032    0.032    0.032
-213.00    0.198    1.232    1.248    1.248    0.001    0.032    0.032    0.032
-212.00    0.201    1.243    1.260    1.260    0.001    0.033    0.033    0.033
-211.00    0.204    1.255    1.271    1.271    0.001    0.033    0.033    0.033
-210.00    0.207    1.267    1.284    1.284    0.001    0.034    0.034    0.034
-209.00    0.210    1.279    1.296    1.296    0.001    0.034    0.034    0.034
-208.00    0.213    1.291    1.308    1.308    0.001    0.034    0.034    0.034
-207.00    0.216    1.303    1.321    1.321    0.001    0.035    0.035    0.035
-206.00    0.219    1.315    1.334    1.334    0.001    0.035    0.035    0.035
-205.00    0.222    1.328    1.347    1.347    0.001    0.036    0.036    0.036
-204.00    0.226    1.341    1.360    1.360    0.001    0.036    0.036    0.036
-203.00    0.229    1.354    1.373    1.373    0.001    0.037    0.037    0.037
-202.00    0.232    1.367    1.387    1.387    0.001    0.037    0.037    0.037
-201.00    0.236    1.381    1.401    1.401    0.001    0.037    0.037    0.037
-200.00    0.239    1.394    1.414    1.414    0.001    0.038    0.038    0.038
-199.00    0.243    1.408    1.429    1.429    0.001    0.038    0.038    0.038
-198.00    0.247    1.422    1.443    1.443    0.002    0.039    0.039    0.039
-197.00    0.250    1.436    1.458    1.458    0.002    0.039    0.039    0.039
-196.00    0.254    1.450    1.473    1.473    0.002    0.040    0.040    0.040
-195.00    0.258    1.465    1.488    1.488    0.002    0.040    0.040    0.040
-194.00    0.262    1.480    1.503    1.503    0.002    0.041    0.041    0.041
-193.00    0.266    1.495    1.518    1.518    0.002    0.041    0.041    0.041
-192.00    0.270    1.510    1.534    1.534    0.002    0.042    0.042    0.042
-191.00    0.275    1.526    1.550    1.550    0.002    0.043    0.043    0.043
-190.00    0.279    1.542    1.567    1.567    0.002    0.043    0.043    0.043
-189.00    0.283    1.558    1.583    1.583    0.002    0.044    0.044    0.044
-188.00    0.288    1.574    1.600    1.600    0.002    0.044    0.044    0.044
-187.00    0.293    1.590    1.617    1.617    0.002    0.045    0.045    0.045
-186.00    0.297    1.607    1.634    1.634    0.002    0.046    0.046    0.046
-185.00    0.302    1.624    1.652    1.652    0.002    0.046    0.046    0.046
-184.00    0.307    1.641    1.670    1.670    0.002    0.047    0.047    0.047
-183.00    0.312    1.659    1.688    1.688    0.002    0.047    0.047    0.047
-182.00    0.317    1.677    1.707    1.707    0.002    0.048    0.048    0.048
-181.00    0.322    1.695    1.725    1.725    0.002    0.049    0.049    0.049
-180.00    0.328    1.713    1.745    1.744    0.002    0.049    0.050    0.050
-179.00    0.333    1.732    1.764    1.764    0.002    0.050    0.050    0.050
-178.00    0.339    1.751    1.784    1.784    0.002    0.051    0.051    0.051
-177.00    0.345    1.771    1.804    1.804    0.002    0.052    0.052    0.052
-176.00    0.350    1.790    1.824    1.824    0.002    0.052    0.052    0.052
-175.00    0.356    1.810    1.845    1.845    0.002    0.053    0.053    0.053
