Vertical_1_W
Vertical 1-Foot Spacing, Winter Normal
VERTIC~1.FLD

Electric Field cannot be computed for underground circuit

 DIST    B Horz   B Vert   B PROD    B MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)
 ----    ------   ------   ------    -----
 -30.00   15.655   11.006   19.136   19.134
 -29.00   16.412   12.029   20.348   20.345
 -28.00   17.209   13.177   21.674   21.671
 -27.00   18.045   14.468   23.129   23.124
 -26.00   18.917   15.925   24.728   24.723
 -25.00   19.823   17.572   26.490   26.485
 -24.00   20.756   19.439   28.437   28.431
 -23.00   21.705   21.562   30.595   30.588
 -22.00   22.657   23.980   32.991   32.983
 -21.00   23.590   26.743   35.661   35.651
 -20.00   24.473   29.904   38.642   38.631
 -19.00   25.264   33.529   41.981   41.969
 -18.00   25.902   37.689   45.731   45.717
 -17.00   26.303   42.466   49.952   49.936
 -16.00   26.356   47.949   54.715   54.696
 -15.00   25.904   54.231   60.100   60.078
 -14.00   24.739   61.400   66.197   66.170
 -13.00   22.585   69.528   73.104   73.073
 -12.00   19.084   78.644   80.927   80.891
 -11.00   13.805   88.702   89.770   89.730
 -10.00    6.465   99.520   99.730   99.684
  -9.00    6.216  110.695  110.870  110.819
  -8.00   20.377  121.502  123.198  123.143
  -7.00   39.590  130.763  136.625  136.568
  -6.00   63.788  136.760  150.904  150.848
  -5.00   92.632  137.243  165.579  165.527
  -4.00  124.720  129.688  179.928  179.886
  -3.00  157.200  111.909  192.965  192.936
  -2.00  185.820   83.017  203.521  203.506
  -1.00  205.706   44.388  210.440  210.436
   0.00  212.855    0.000  212.855  212.855
   1.00  205.706   44.388  210.440  210.436
   2.00  185.820   83.017  203.521  203.506
   3.00  157.200  111.909  192.965  192.936
   4.00  124.720  129.688  179.928  179.886
   5.00   92.632  137.243  165.579  165.527
   6.00   63.788  136.760  150.904  150.848
   7.00   39.590  130.763  136.625  136.568
   8.00   20.377  121.502  123.198  123.143
   9.00    6.216  110.695  110.870  110.819
  10.00    6.465   99.520   99.730   99.684
  11.00   13.805   88.702   89.770   89.730
  12.00   19.084   78.644   80.927   80.891
  13.00   22.585   69.528   73.104   73.073
  14.00   24.739   61.400   66.197   66.170
  15.00   25.904   54.231   60.100   60.078
  16.00   26.356   47.949   54.715   54.696
  17.00   26.303   42.466   49.952   49.936
  18.00   25.902   37.689   45.731   45.717
  19.00   25.264   33.529   41.981   41.969
  20.00   24.473   29.904   38.642   38.631
  21.00   23.590   26.743   35.661   35.651
  22.00   22.657   23.980   32.991   32.983
  23.00   21.705   21.562   30.595   30.588
  24.00   20.756   19.439   28.437   28.431
  25.00   19.823   17.572   26.490   26.485
  26.00   18.917   15.925   24.728   24.723
  27.00   18.045   14.468   23.129   23.124
  28.00   17.209   13.177   21.674   21.671
  29.00   16.412   12.029   20.348   20.345
  30.00   15.655   11.006   19.136   19.134
