Envsmpl2
Enviro Comparison 2
ENVSMPL2.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-235.00    6.111   15.488   16.650   16.198    0.012    0.169    0.169    0.169
-234.00    6.211   15.675   16.861   16.409    0.013    0.172    0.173    0.173
-233.00    6.315   15.866   17.076   16.625    0.013    0.176    0.177    0.177
-232.00    6.421   16.060   17.296   16.845    0.013    0.180    0.180    0.180
-231.00    6.531   16.258   17.521   17.071    0.014    0.184    0.185    0.185
-230.00    6.645   16.461   17.751   17.301    0.014    0.188    0.189    0.189
-229.00    6.763   16.667   17.986   17.537    0.015    0.193    0.193    0.193
-228.00    6.884   16.877   18.227   17.778    0.015    0.197    0.198    0.198
-227.00    7.010   17.092   18.473   18.025    0.016    0.202    0.202    0.202
-226.00    7.140   17.310   18.725   18.277    0.016    0.206    0.207    0.207
-225.00    7.275   17.533   18.983   18.536    0.017    0.211    0.212    0.212
-224.00    7.414   17.761   19.247   18.800    0.018    0.217    0.217    0.217
-223.00    7.559   17.994   19.517   19.071    0.018    0.222    0.223    0.223
-222.00    7.708   18.231   19.793   19.349    0.019    0.227    0.228    0.228
-221.00    7.863   18.473   20.077   19.633    0.019    0.233    0.234    0.234
-220.00    8.024   18.720   20.367   19.925    0.020    0.239    0.240    0.240
-219.00    8.191   18.972   20.664   20.224    0.021    0.245    0.246    0.246
-218.00    8.364   19.229   20.969   20.530    0.022    0.251    0.252    0.252
-217.00    8.544   19.492   21.282   20.844    0.022    0.258    0.259    0.259
-216.00    8.731   19.760   21.603   21.166    0.023    0.265    0.266    0.266
-215.00    8.925   20.034   21.932   21.497    0.024    0.272    0.273    0.273
-214.00    9.126   20.313   22.269   21.836    0.025    0.279    0.280    0.280
-213.00    9.336   20.599   22.615   22.184    0.026    0.287    0.288    0.288
-212.00    9.554   20.890   22.971   22.542    0.027    0.294    0.296    0.296
-211.00    9.781   21.188   23.336   22.909    0.028    0.303    0.304    0.304
-210.00   10.017   21.492   23.711   23.286    0.029    0.311    0.313    0.312
-209.00   10.262   21.802   24.096   23.674    0.030    0.320    0.321    0.321
-208.00   10.518   22.119   24.492   24.073    0.031    0.329    0.331    0.331
-207.00   10.785   22.443   24.899   24.482    0.033    0.339    0.340    0.340
-206.00   11.063   22.773   25.318   24.904    0.034    0.349    0.350    0.350
-205.00   11.353   23.110   25.748   25.337    0.035    0.359    0.361    0.361
-204.00   11.655   23.455   26.191   25.783    0.037    0.370    0.372    0.372
-203.00   11.971   23.807   26.647   26.242    0.038    0.381    0.383    0.383
-202.00   12.301   24.166   27.116   26.715    0.040    0.393    0.395    0.395
-201.00   12.645   24.532   27.599   27.202    0.041    0.405    0.407    0.407
-200.00   13.005   24.906   28.097   27.704    0.043    0.417    0.420    0.420
-199.00   13.381   25.288   28.610   28.221    0.045    0.431    0.433    0.433
-198.00   13.774   25.678   29.139   28.754    0.047    0.444    0.447    0.447
-197.00   14.186   26.075   29.684   29.304    0.049    0.459    0.461    0.461
-196.00   14.617   26.480   30.246   29.871    0.051    0.474    0.477    0.476
-195.00   15.068   26.893   30.826   30.456    0.053    0.489    0.492    0.492
-194.00   15.540   27.313   31.425   31.060    0.056    0.506    0.509    0.509
-193.00   16.036   27.742   32.043   31.684    0.058    0.523    0.526    0.526
-192.00   16.555   28.178   32.681   32.328    0.061    0.541    0.544    0.544
-191.00   17.100   28.622   33.341   32.994    0.064    0.559    0.563    0.563
-190.00   17.672   29.073   34.023   33.682    0.066    0.579    0.583    0.583
-189.00   18.272   29.532   34.728   34.393    0.069    0.599    0.603    0.603
-188.00   18.902   29.998   35.456   35.129    0.073    0.621    0.625    0.625
-187.00   19.564   30.470   36.211   35.891    0.076    0.643    0.647    0.647
-186.00   20.261   30.949   36.991   36.679    0.080    0.666    0.671    0.671
-185.00   20.993   31.434   37.799   37.495    0.083    0.691    0.696    0.696
-184.00   21.763   31.924   38.636   38.341    0.087    0.717    0.722    0.722
-183.00   22.573   32.418   39.503   39.217    0.091    0.743    0.749    0.749
-182.00   23.427   32.917   40.402   40.125    0.096    0.772    0.778    0.778
-181.00   24.325   33.418   41.333   41.066    0.100    0.801    0.807    0.807
-180.00   25.272   33.920   42.300   42.042    0.105    0.832    0.839    0.839
-179.00   26.270   34.424   43.302   43.055    0.110    0.865    0.872    0.872
-178.00   27.322   34.926   44.343   44.106    0.116    0.899    0.906    0.906
-177.00   28.431   35.425   45.423   45.197    0.121    0.934    0.942    0.942
-176.00   29.601   35.919   46.545   46.330    0.127    0.972    0.980    0.980
-175.00   30.836   36.406   47.710   47.507    0.134    1.011    1.020    1.020
-174.00   32.139   36.882   48.920   48.730    0.140    1.052    1.062    1.062
-173.00   33.514   37.346   50.179   50.001    0.147    1.096    1.105    1.105
-172.00   34.965   37.793   51.487   51.322    0.154    1.141    1.151    1.151
-171.00   36.498   38.220   52.847   52.696    0.161    1.189    1.199    1.199
-170.00   38.115   38.621   54.262   54.124    0.169    1.238    1.250    1.250
-169.00   39.823   38.992   55.734   55.609    0.177    1.291    1.303    1.303
-168.00   41.625   39.327   57.265   57.153    0.185    1.345    1.358    1.358
-167.00   43.527   39.619   58.858   58.760    0.194    1.403    1.416    1.416
-166.00   45.533   39.861   60.515   60.431    0.202    1.463    1.477    1.477
-165.00   47.647   40.044   62.240   62.168    0.211    1.525    1.540    1.540
-164.00   49.876   40.159   64.034   63.975    0.220    1.591    1.606    1.606
-163.00   52.222   40.195   65.900   65.853    0.229    1.659    1.675    1.675
-162.00   54.690   40.141   67.840   67.805    0.238    1.731    1.747    1.747
-161.00   57.283   39.984   69.857   69.833    0.248    1.805    1.822    1.822
-160.00   60.004   39.710   71.954   71.938    0.256    1.882    1.899    1.899
