Name,Group,X,Y,Power Line?,Of Concern?,Draw as Loop?
fence,Substation Area,320.2,81.82,0,0,1
fence,Substation Area,530.8,198.9,0,0,1
fence,Substation Area,534.3,269.1,0,0,1
fence,Substation Area,554.4,281.6,0,0,1
fence,Substation Area,540,309.7,0,0,1
fence,Substation Area,599.5,341.1,0,0,1
fence,Substation Area,570.2,394.2,0,0,1
fence,Substation Area,561.3,388.5,0,0,1
fence,Substation Area,550.6,406.3,0,0,1
fence,Substation Area,448.9,351.2,0,0,1
fence,Substation Area,442.54,364.2,0,0,1
fence,Substation Area,432.6,360.1,0,0,1
fence,Substation Area,421.9,376.3,0,0,1
fence,Substation Area,222.8,262.8,0,0,1
