Raise Test 1
test
RAISE1.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-250.00    0.051    0.909    0.910    0.910    0.000    0.013    0.013    0.013
-249.00    0.052    0.916    0.918    0.918    0.000    0.013    0.013    0.013
-248.00    0.052    0.923    0.925    0.925    0.000    0.013    0.013    0.013
-247.00    0.053    0.931    0.932    0.932    0.000    0.013    0.013    0.013
-246.00    0.054    0.939    0.940    0.940    0.000    0.013    0.013    0.013
-245.00    0.054    0.946    0.948    0.948    0.000    0.013    0.013    0.013
-244.00    0.055    0.954    0.956    0.956    0.000    0.014    0.014    0.014
-243.00    0.056    0.962    0.963    0.963    0.000    0.014    0.014    0.014
-242.00    0.056    0.970    0.971    0.971    0.000    0.014    0.014    0.014
-241.00    0.057    0.978    0.980    0.980    0.000    0.014    0.014    0.014
-240.00    0.058    0.986    0.988    0.988    0.000    0.014    0.014    0.014
-239.00    0.058    0.994    0.996    0.996    0.000    0.014    0.014    0.014
-238.00    0.059    1.003    1.004    1.004    0.000    0.014    0.014    0.014
-237.00    0.060    1.011    1.013    1.013    0.000    0.014    0.014    0.014
-236.00    0.061    1.020    1.022    1.022    0.000    0.015    0.015    0.015
-235.00    0.061    1.028    1.030    1.030    0.000    0.015    0.015    0.015
-234.00    0.062    1.037    1.039    1.039    0.000    0.015    0.015    0.015
-233.00    0.063    1.046    1.048    1.048    0.000    0.015    0.015    0.015
-232.00    0.064    1.055    1.057    1.057    0.000    0.015    0.015    0.015
-231.00    0.065    1.064    1.066    1.066    0.000    0.015    0.015    0.015
-230.00    0.066    1.074    1.076    1.076    0.000    0.016    0.016    0.016
-229.00    0.066    1.083    1.085    1.085    0.001    0.016    0.016    0.016
-228.00    0.067    1.092    1.095    1.095    0.001    0.016    0.016    0.016
-227.00    0.068    1.102    1.104    1.104    0.001    0.016    0.016    0.016
-226.00    0.069    1.112    1.114    1.114    0.001    0.016    0.016    0.016
-225.00    0.070    1.122    1.124    1.124    0.001    0.016    0.016    0.016
-224.00    0.071    1.132    1.134    1.134    0.001    0.017    0.017    0.017
-223.00    0.072    1.142    1.144    1.144    0.001    0.017    0.017    0.017
-222.00    0.073    1.152    1.155    1.155    0.001    0.017    0.017    0.017
-221.00    0.074    1.163    1.165    1.165    0.001    0.017    0.017    0.017
-220.00    0.075    1.173    1.176    1.176    0.001    0.017    0.017    0.017
-219.00    0.076    1.184    1.187    1.187    0.001    0.018    0.018    0.018
-218.00    0.077    1.195    1.197    1.197    0.001    0.018    0.018    0.018
-217.00    0.078    1.206    1.209    1.209    0.001    0.018    0.018    0.018
-216.00    0.079    1.217    1.220    1.220    0.001    0.018    0.018    0.018
-215.00    0.080    1.229    1.231    1.231    0.001    0.018    0.018    0.018
-214.00    0.081    1.240    1.243    1.243    0.001    0.019    0.019    0.019
-213.00    0.083    1.252    1.254    1.254    0.001    0.019    0.019    0.019
-212.00    0.084    1.263    1.266    1.266    0.001    0.019    0.019    0.019
-211.00    0.085    1.275    1.278    1.278    0.001    0.019    0.019    0.019
-210.00    0.086    1.288    1.291    1.291    0.001    0.019    0.019    0.019
-209.00    0.087    1.300    1.303    1.303    0.001    0.020    0.020    0.020
-208.00    0.089    1.313    1.316    1.316    0.001    0.020    0.020    0.020
-207.00    0.090    1.325    1.328    1.328    0.001    0.020    0.020    0.020
-206.00    0.091    1.338    1.341    1.341    0.001    0.020    0.020    0.020
-205.00    0.093    1.351    1.354    1.354    0.001    0.021    0.021    0.021
-204.00    0.094    1.364    1.368    1.368    0.001    0.021    0.021    0.021
-203.00    0.095    1.378    1.381    1.381    0.001    0.021    0.021    0.021
-202.00    0.097    1.392    1.395    1.395    0.001    0.021    0.021    0.021
-201.00    0.098    1.405    1.409    1.409    0.001    0.022    0.022    0.022
-200.00    0.100    1.420    1.423    1.423    0.001    0.022    0.022    0.022
-199.00    0.101    1.434    1.437    1.437    0.001    0.022    0.022    0.022
-198.00    0.103    1.448    1.452    1.452    0.001    0.022    0.022    0.022
-197.00    0.104    1.463    1.467    1.467    0.001    0.023    0.023    0.023
-196.00    0.106    1.478    1.482    1.482    0.001    0.023    0.023    0.023
-195.00    0.108    1.493    1.497    1.497    0.001    0.023    0.023    0.023
-194.00    0.109    1.509    1.513    1.513    0.001    0.024    0.024    0.024
-193.00    0.111    1.524    1.528    1.528    0.001    0.024    0.024    0.024
-192.00    0.113    1.540    1.544    1.544    0.001    0.024    0.024    0.024
-191.00    0.115    1.556    1.561    1.561    0.001    0.024    0.024    0.024
-190.00    0.116    1.573    1.577    1.577    0.001    0.025    0.025    0.025
-189.00    0.118    1.589    1.594    1.594    0.001    0.025    0.025    0.025
-188.00    0.120    1.606    1.611    1.611    0.001    0.025    0.025    0.025
-187.00    0.122    1.624    1.628    1.628    0.001    0.026    0.026    0.026
-186.00    0.124    1.641    1.646    1.646    0.001    0.026    0.026    0.026
-185.00    0.126    1.659    1.664    1.664    0.001    0.026    0.026    0.026
-184.00    0.128    1.677    1.682    1.682    0.001    0.027    0.027    0.027
-183.00    0.130    1.695    1.700    1.700    0.001    0.027    0.027    0.027
-182.00    0.133    1.714    1.719    1.719    0.001    0.028    0.028    0.028
-181.00    0.135    1.733    1.738    1.738    0.001    0.028    0.028    0.028
-180.00    0.137    1.752    1.758    1.758    0.001    0.028    0.028    0.028
-179.00    0.139    1.772    1.777    1.777    0.001    0.029    0.029    0.029
-178.00    0.142    1.792    1.797    1.797    0.001    0.029    0.029    0.029
-177.00    0.144    1.812    1.818    1.818    0.001    0.030    0.030    0.030
-176.00    0.147    1.833    1.839    1.839    0.001    0.030    0.030    0.030
-175.00    0.149    1.854    1.860    1.860    0.001    0.030    0.030    0.030
