und_only
Underground Line Only
UND_ONLY.FLD

Electric Field cannot be computed for underground circuit

 DIST    B Horz   B Vert   B PROD    B MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)
 ----    ------   ------   ------    -----
-150.00    0.006    0.059    0.059    0.059
-149.00    0.006    0.059    0.060    0.060
-148.00    0.006    0.060    0.060    0.060
-147.00    0.006    0.061    0.061    0.061
-146.00    0.006    0.062    0.062    0.062
-145.00    0.006    0.062    0.063    0.063
-144.00    0.006    0.063    0.063    0.063
-143.00    0.006    0.064    0.064    0.064
-142.00    0.006    0.065    0.065    0.065
-141.00    0.007    0.065    0.066    0.066
-140.00    0.007    0.066    0.067    0.067
-139.00    0.007    0.067    0.067    0.067
-138.00    0.007    0.068    0.068    0.068
-137.00    0.007    0.069    0.069    0.069
-136.00    0.007    0.070    0.070    0.070
-135.00    0.007    0.071    0.071    0.071
-134.00    0.007    0.072    0.072    0.072
-133.00    0.008    0.072    0.073    0.073
-132.00    0.008    0.073    0.074    0.074
-131.00    0.008    0.074    0.075    0.075
-130.00    0.008    0.075    0.076    0.076
-129.00    0.008    0.076    0.077    0.077
-128.00    0.008    0.077    0.078    0.078
-127.00    0.009    0.078    0.079    0.079
-126.00    0.009    0.080    0.080    0.080
-125.00    0.009    0.081    0.081    0.081
-124.00    0.009    0.082    0.082    0.082
-123.00    0.009    0.083    0.083    0.083
-122.00    0.010    0.084    0.085    0.085
-121.00    0.010    0.085    0.086    0.086
-120.00    0.010    0.086    0.087    0.087
-119.00    0.010    0.088    0.088    0.088
-118.00    0.010    0.089    0.090    0.090
-117.00    0.011    0.090    0.091    0.091
-116.00    0.011    0.092    0.092    0.092
-115.00    0.011    0.093    0.094    0.094
-114.00    0.011    0.094    0.095    0.095
-113.00    0.012    0.096    0.097    0.097
-112.00    0.012    0.097    0.098    0.098
-111.00    0.012    0.099    0.099    0.099
-110.00    0.012    0.100    0.101    0.101
-109.00    0.013    0.102    0.103    0.103
-108.00    0.013    0.103    0.104    0.104
-107.00    0.013    0.105    0.106    0.106
-106.00    0.014    0.107    0.108    0.108
-105.00    0.014    0.108    0.109    0.109
-104.00    0.014    0.110    0.111    0.111
-103.00    0.015    0.112    0.113    0.113
-102.00    0.015    0.114    0.115    0.115
-101.00    0.015    0.116    0.117    0.117
-100.00    0.016    0.118    0.119    0.119
 -99.00    0.016    0.120    0.121    0.121
 -98.00    0.017    0.122    0.123    0.123
 -97.00    0.017    0.124    0.125    0.125
 -96.00    0.018    0.126    0.127    0.127
 -95.00    0.018    0.128    0.129    0.129
 -94.00    0.019    0.130    0.132    0.132
 -93.00    0.019    0.133    0.134    0.134
 -92.00    0.020    0.135    0.136    0.136
 -91.00    0.020    0.137    0.139    0.139
 -90.00    0.021    0.140    0.141    0.141
 -89.00    0.021    0.142    0.144    0.144
 -88.00    0.022    0.145    0.147    0.147
 -87.00    0.022    0.148    0.149    0.149
 -86.00    0.023    0.150    0.152    0.152
 -85.00    0.024    0.153    0.155    0.155
 -84.00    0.024    0.156    0.158    0.158
 -83.00    0.025    0.159    0.161    0.161
 -82.00    0.026    0.162    0.164    0.164
 -81.00    0.027    0.166    0.168    0.168
 -80.00    0.027    0.169    0.171    0.171
 -79.00    0.028    0.172    0.175    0.175
 -78.00    0.029    0.176    0.178    0.178
 -77.00    0.030    0.179    0.182    0.182
 -76.00    0.031    0.183    0.186    0.186
 -75.00    0.032    0.187    0.190    0.190
 -74.00    0.033    0.191    0.194    0.194
 -73.00    0.034    0.195    0.198    0.198
 -72.00    0.035    0.199    0.202    0.202
 -71.00    0.036    0.203    0.207    0.207
 -70.00    0.038    0.208    0.211    0.211
 -69.00    0.039    0.213    0.216    0.216
 -68.00    0.040    0.217    0.221    0.221
 -67.00    0.042    0.222    0.226    0.226
 -66.00    0.043    0.227    0.232    0.232
 -65.00    0.045    0.233    0.237    0.237
 -64.00    0.046    0.238    0.243    0.243
 -63.00    0.048    0.244    0.249    0.249
 -62.00    0.050    0.250    0.255    0.255
 -61.00    0.052    0.256    0.261    0.261
 -60.00    0.054    0.262    0.268    0.268
 -59.00    0.056    0.269    0.275    0.275
 -58.00    0.058    0.276    0.282    0.282
 -57.00    0.060    0.283    0.289    0.289
 -56.00    0.063    0.290    0.297    0.297
 -55.00    0.065    0.298    0.305    0.305
 -54.00    0.068    0.306    0.313    0.313
 -53.00    0.071    0.314    0.322    0.322
 -52.00    0.074    0.322    0.331    0.331
 -51.00    0.077    0.331    0.340    0.340
 -50.00    0.080    0.341    0.350    0.350
 -49.00    0.084    0.350    0.360    0.360
 -48.00    0.087    0.360    0.371    0.371
 -47.00    0.091    0.371    0.382    0.382
 -46.00    0.095    0.382    0.394    0.394
 -45.00    0.100    0.393    0.406    0.406
 -44.00    0.105    0.405    0.418    0.418
 -43.00    0.110    0.418    0.432    0.432
 -42.00    0.115    0.431    0.446    0.446
 -41.00    0.121    0.445    0.461    0.461
 -40.00    0.127    0.459    0.476    0.476
 -39.00    0.133    0.474    0.492    0.492
 -38.00    0.140    0.490    0.509    0.509
 -37.00    0.148    0.506    0.527    0.527
 -36.00    0.156    0.524    0.546    0.546
 -35.00    0.164    0.542    0.566    0.566
 -34.00    0.173    0.561    0.587    0.587
 -33.00    0.183    0.582    0.610    0.610
 -32.00    0.194    0.603    0.633    0.633
 -31.00    0.205    0.625    0.658    0.658
 -30.00    0.218    0.649    0.685    0.685
 -29.00    0.231    0.674    0.713    0.713
 -28.00    0.246    0.701    0.743    0.743
 -27.00    0.261    0.729    0.774    0.774
 -26.00    0.278    0.758    0.808    0.808
 -25.00    0.297    0.790    0.844    0.844
 -24.00    0.317    0.823    0.882    0.882
 -23.00    0.339    0.859    0.923    0.923
 -22.00    0.364    0.896    0.967    0.967
 -21.00    0.390    0.936    1.014    1.014
 -20.00    0.419    0.979    1.065    1.065
 -19.00    0.451    1.024    1.119    1.119
 -18.00    0.487    1.073    1.178    1.178
 -17.00    0.526    1.124    1.241    1.241
 -16.00    0.569    1.179    1.309    1.309
 -15.00    0.617    1.238    1.384    1.384
 -14.00    0.670    1.301    1.464    1.464
 -13.00    0.730    1.369    1.551    1.551
 -12.00    0.797    1.441    1.647    1.647
 -11.00    0.872    1.518    1.751    1.751
 -10.00    0.956    1.601    1.865    1.865
  -9.00    1.052    1.690    1.990    1.990
  -8.00    1.160    1.785    2.129    2.129
  -7.00    1.283    1.886    2.281    2.281
  -6.00    1.423    1.995    2.450    2.450
  -5.00    1.583    2.110    2.638    2.637
  -4.00    1.767    2.232    2.847    2.847
  -3.00    1.979    2.361    3.080    3.080
  -2.00    2.224    2.495    3.343    3.343
  -1.00    2.510    2.634    3.638    3.638
   0.00    2.842    2.775    3.972    3.972
   1.00    3.230    2.915    4.351    4.351
   2.00    3.686    3.047    4.782    4.782
   3.00    4.221    3.164    5.276    5.275
   4.00    4.852    3.253    5.841    5.841
   5.00    5.595    3.294    6.493    6.493
   6.00    6.470    3.262    7.246    7.245
   7.00    7.494    3.118    8.116    8.116
   8.00    8.683    2.807    9.125    9.125
   9.00   10.044    2.254   10.294   10.293
  10.00   11.562    1.360   11.642   11.641
  11.00   13.186    0.158   13.187   13.186
  12.00   14.800    2.009   14.936   14.935
  13.00   16.193    4.751   16.875   16.873
  14.00   17.027    8.333   18.957   18.954
  15.00   16.850   12.674   21.084   21.080
  16.00   15.170   17.420   23.099   23.094
  17.00   11.655   21.881   24.791   24.785
  18.00    6.396   25.129   25.930   25.923
  19.00    0.627   26.326   26.333   26.326
  20.00    6.396   25.129   25.930   25.923
  21.00   11.655   21.881   24.791   24.785
  22.00   15.170   17.420   23.099   23.094
  23.00   16.850   12.674   21.084   21.080
  24.00   17.027    8.333   18.957   18.954
  25.00   16.193    4.751   16.875   16.873
  26.00   14.800    2.009   14.936   14.935
  27.00   13.186    0.158   13.187   13.186
  28.00   11.562    1.360   11.642   11.641
  29.00   10.044    2.254   10.294   10.293
  30.00    8.683    2.807    9.125    9.125
  31.00    7.494    3.118    8.116    8.116
  32.00    6.470    3.262    7.246    7.245
  33.00    5.595    3.294    6.493    6.493
  34.00    4.852    3.253    5.841    5.841
  35.00    4.221    3.164    5.276    5.275
  36.00    3.686    3.047    4.782    4.782
  37.00    3.230    2.915    4.351    4.351
  38.00    2.842    2.775    3.972    3.972
  39.00    2.510    2.634    3.638    3.638
  40.00    2.224    2.495    3.343    3.343
  41.00    1.979    2.361    3.080    3.080
  42.00    1.767    2.232    2.847    2.847
  43.00    1.583    2.110    2.638    2.637
  44.00    1.423    1.995    2.450    2.450
  45.00    1.283    1.886    2.281    2.281
  46.00    1.160    1.785    2.129    2.129
  47.00    1.052    1.690    1.991    1.990
  48.00    0.956    1.601    1.865    1.865
  49.00    0.872    1.518    1.751    1.751
  50.00    0.797    1.441    1.647    1.647
  51.00    0.730    1.369    1.551    1.551
  52.00    0.670    1.301    1.464    1.464
