14E
Cross Section 14, Existing
14E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
 -50.00    8.959   11.752   14.777   13.106    0.030    0.296    0.298    0.297
 -49.00    9.144   12.257   15.293   13.520    0.030    0.304    0.306    0.305
 -48.00    9.339   12.780   15.829   13.949    0.031    0.313    0.314    0.314
 -47.00    9.545   13.320   16.387   14.393    0.031    0.321    0.322    0.322
 -46.00    9.763   13.876   16.966   14.853    0.032    0.329    0.331    0.330
 -45.00    9.995   14.448   17.569   15.328    0.032    0.337    0.339    0.338
 -44.00   10.244   15.036   18.194   15.818    0.032    0.345    0.347    0.346
 -43.00   10.510   15.639   18.843   16.325    0.031    0.353    0.355    0.354
 -42.00   10.796   16.257   19.515   16.848    0.031    0.361    0.362    0.361
 -41.00   11.105   16.887   20.211   17.388    0.030    0.368    0.369    0.368
 -40.00   11.437   17.530   20.931   17.943    0.029    0.374    0.375    0.374
 -39.00   11.795   18.184   21.674   18.515    0.028    0.379    0.380    0.379
 -38.00   12.179   18.847   22.440   19.103    0.027    0.383    0.384    0.383
 -37.00   12.592   19.519   23.228   19.707    0.028    0.386    0.387    0.386
 -36.00   13.032   20.198   24.037   20.326    0.029    0.387    0.388    0.387
 -35.00   13.501   20.881   24.866   20.960    0.033    0.386    0.387    0.386
 -34.00   13.998   21.567   25.712   21.607    0.038    0.382    0.384    0.382
 -33.00   14.522   22.253   26.572   22.267    0.046    0.375    0.378    0.376
 -32.00   15.072   22.935   27.444   22.936    0.055    0.365    0.370    0.367
 -31.00   15.648   23.609   28.324   23.613    0.067    0.352    0.358    0.355
 -30.00   16.248   24.268   29.205   24.293    0.080    0.334    0.344    0.340
 -29.00   16.872   24.906   30.083   24.973    0.094    0.313    0.327    0.321
 -28.00   17.521   25.515   30.951   25.647    0.108    0.288    0.307    0.300
 -27.00   18.193   26.085   31.803   26.308    0.123    0.260    0.287    0.275
 -26.00   18.887   26.608   32.629   26.950    0.138    0.230    0.268    0.249
 -25.00   19.600   27.073   33.423   27.565    0.151    0.203    0.253    0.223
 -24.00   20.329   27.474   34.177   28.146    0.164    0.182    0.244    0.197
 -23.00   21.064   27.804   34.882   28.686    0.174    0.175    0.246    0.176
 -22.00   21.796   28.061   35.532   29.180    0.182    0.186    0.261    0.213
 -21.00   22.512   28.246   36.120   29.624    0.188    0.217    0.287    0.254
 -20.00   23.197   28.363   36.641   30.015    0.191    0.259    0.322    0.300
 -19.00   23.836   28.418   37.091   30.353    0.191    0.310    0.364    0.348
 -18.00   24.418   28.418   37.468   30.643    0.189    0.363    0.409    0.397
 -17.00   24.935   28.369   37.769   30.889    0.185    0.418    0.457    0.447
 -16.00   25.383   28.273   37.996   31.098    0.179    0.471    0.504    0.496
 -15.00   25.768   28.130   38.148   31.279    0.172    0.522    0.550    0.543
 -14.00   26.102   27.930   38.228   31.439    0.166    0.570    0.594    0.587
 -13.00   26.402   27.661   38.239   31.585    0.159    0.615    0.636    0.629
 -12.00   26.689   27.307   38.183   31.719    0.152    0.657    0.674    0.668
 -11.00   26.985   26.846   38.065   31.844    0.147    0.695    0.710    0.704
 -10.00   27.310   26.261   37.888   31.957    0.141    0.730    0.744    0.737
  -9.00   27.676   25.535   37.656   32.054    0.135    0.762    0.774    0.768
  -8.00   28.088   24.655   37.374   32.129    0.129    0.791    0.802    0.796
  -7.00   28.540   23.616   37.043   32.177    0.123    0.817    0.827    0.821
  -6.00   29.016   22.420   36.668   32.192    0.115    0.841    0.849    0.844
  -5.00   29.494   21.078   36.252   32.167    0.106    0.862    0.868    0.864
  -4.00   29.946   19.610   35.796   32.098    0.096    0.879    0.885    0.881
  -3.00   30.341   18.046   35.302   31.982    0.085    0.894    0.898    0.895
  -2.00   30.652   16.423   34.774   31.816    0.074    0.905    0.908    0.905
  -1.00   30.851   14.792   34.214   31.598    0.062    0.912    0.914    0.912
   0.00   30.918   13.212   33.623   31.328    0.052    0.914    0.916    0.915
   1.00   30.839   11.759   33.004   31.006    0.044    0.913    0.914    0.913
   2.00   30.604   10.518   32.361   30.634    0.040    0.908    0.909    0.908
   3.00   30.211    9.584   31.695   30.215    0.042    0.899    0.900    0.899
   4.00   29.665    9.035   31.010   29.752    0.047    0.885    0.886    0.886
   5.00   28.974    8.899   30.310   29.249    0.054    0.868    0.870    0.870
   6.00   28.151    9.137   29.596   28.709    0.063    0.848    0.850    0.850
   7.00   27.211    9.657   28.874   28.139    0.071    0.825    0.828    0.828
   8.00   26.173   10.350   28.145   27.541    0.078    0.799    0.802    0.802
   9.00   25.054   11.124   27.413   26.923    0.084    0.771    0.775    0.775
  10.00   23.875   11.910   26.681   26.287    0.089    0.741    0.746    0.746
  11.00   22.653   12.662   25.951   25.638    0.093    0.710    0.716    0.716
  12.00   21.405   13.350   25.227   24.981    0.095    0.678    0.685    0.685
  13.00   20.147   13.958   24.510   24.320    0.097    0.646    0.653    0.653
  14.00   18.893   14.478   23.802   23.657    0.097    0.614    0.622    0.621
  15.00   17.654   14.907   23.105   22.997    0.097    0.582    0.590    0.589
  16.00   16.440   15.245   22.421   22.342    0.096    0.550    0.558    0.558
  17.00   15.260   15.499   21.750   21.694    0.094    0.519    0.527    0.527
  18.00   14.120   15.671   21.094   21.056    0.092    0.488    0.497    0.496
  19.00   13.025   15.770   20.454   20.428    0.089    0.459    0.468    0.467
  20.00   11.979   15.802   19.829   19.814    0.086    0.431    0.439    0.439
  21.00   10.983   15.774   19.221   19.213    0.083    0.404    0.412    0.411
  22.00   10.039   15.694   18.630   18.626    0.079    0.378    0.386    0.385
  23.00    9.148   15.567   18.056   18.054    0.076    0.353    0.361    0.360
  24.00    8.310   15.400   17.499   17.499    0.072    0.329    0.337    0.336
