17P
Cross Section 17, Proposed
17P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    3.915    4.208    5.747    4.442    0.010    0.120    0.120    0.120
 -99.00    4.010    4.304    5.883    4.545    0.011    0.123    0.124    0.123
 -98.00    4.109    4.403    6.023    4.652    0.011    0.126    0.127    0.127
 -97.00    4.211    4.506    6.168    4.763    0.012    0.130    0.130    0.130
 -96.00    4.317    4.612    6.317    4.877    0.012    0.134    0.134    0.134
 -95.00    4.426    4.722    6.472    4.996    0.013    0.137    0.138    0.138
 -94.00    4.540    4.836    6.633    5.118    0.013    0.141    0.142    0.142
 -93.00    4.657    4.953    6.798    5.245    0.014    0.145    0.146    0.146
 -92.00    4.778    5.075    6.970    5.377    0.014    0.150    0.150    0.150
 -91.00    4.903    5.201    7.148    5.514    0.015    0.154    0.155    0.154
 -90.00    5.034    5.331    7.332    5.655    0.016    0.158    0.159    0.159
 -89.00    5.168    5.466    7.522    5.802    0.016    0.163    0.164    0.164
 -88.00    5.308    5.605    7.720    5.955    0.017    0.168    0.169    0.169
 -87.00    5.453    5.750    7.925    6.113    0.018    0.173    0.174    0.174
 -86.00    5.604    5.900    8.137    6.278    0.019    0.179    0.180    0.180
 -85.00    5.760    6.055    8.357    6.449    0.020    0.184    0.185    0.185
 -84.00    5.922    6.216    8.585    6.627    0.021    0.190    0.191    0.191
 -83.00    6.090    6.382    8.822    6.812    0.022    0.196    0.198    0.197
 -82.00    6.266    6.554    9.067    7.004    0.023    0.203    0.204    0.204
 -81.00    6.448    6.733    9.322    7.204    0.024    0.209    0.211    0.210
 -80.00    6.638    6.917    9.587    7.413    0.025    0.216    0.218    0.218
 -79.00    6.835    7.108    9.861    7.630    0.026    0.224    0.225    0.225
 -78.00    7.041    7.305   10.146    7.856    0.028    0.232    0.233    0.233
 -77.00    7.256    7.509   10.442    8.092    0.029    0.240    0.241    0.241
 -76.00    7.480    7.720   10.750    8.338    0.031    0.248    0.250    0.249
 -75.00    7.714    7.938   11.069    8.594    0.032    0.257    0.259    0.258
 -74.00    7.959    8.162   11.400    8.862    0.034    0.266    0.268    0.268
 -73.00    8.215    8.393   11.745    9.141    0.036    0.276    0.278    0.278
 -72.00    8.484    8.631   12.103    9.432    0.038    0.287    0.289    0.288
 -71.00    8.765    8.876   12.474    9.735    0.040    0.297    0.300    0.299
 -70.00    9.060    9.127   12.860   10.052    0.042    0.309    0.312    0.311
 -69.00    9.370    9.384   13.261   10.383    0.044    0.321    0.324    0.323
 -68.00    9.696    9.647   13.677   10.728    0.047    0.334    0.337    0.336
 -67.00   10.039    9.915   14.109   11.089    0.049    0.347    0.351    0.350
 -66.00   10.400   10.187   14.558   11.465    0.052    0.361    0.365    0.364
 -65.00   10.781   10.464   15.024   11.857    0.055    0.376    0.380    0.379
 -64.00   11.182   10.743   15.507   12.266    0.058    0.392    0.396    0.395
 -63.00   11.606   11.025   16.007   12.693    0.061    0.409    0.413    0.412
 -62.00   12.053   11.307   16.526   13.137    0.064    0.426    0.431    0.429
 -61.00   12.525   11.589   17.064   13.601    0.067    0.444    0.450    0.448
 -60.00   13.023   11.868   17.620   14.083    0.070    0.464    0.469    0.468
 -59.00   13.549   12.144   18.195   14.585    0.074    0.484    0.490    0.488
 -58.00   14.104   12.414   18.789   15.106    0.077    0.506    0.511    0.510
 -57.00   14.688   12.677   19.402   15.648    0.081    0.528    0.534    0.532
 -56.00   15.303   12.931   20.034   16.210    0.084    0.551    0.558    0.556
 -55.00   15.947   13.173   20.685   16.792    0.087    0.576    0.582    0.580
 -54.00   16.622   13.404   21.353   17.393    0.091    0.601    0.608    0.606
 -53.00   17.326   13.620   22.038   18.015    0.093    0.627    0.634    0.632
 -52.00   18.057   13.823   22.740   18.655    0.096    0.654    0.661    0.659
 -51.00   18.812   14.011   23.456   19.313    0.098    0.681    0.689    0.686
 -50.00   19.587   14.188   24.186   19.988    0.100    0.710    0.717    0.714
 -49.00   20.378   14.356   24.927   20.678    0.102    0.738    0.745    0.743
 -48.00   21.178   14.519   25.677   21.382    0.102    0.767    0.773    0.771
 -47.00   21.978   14.686   26.434   22.097    0.102    0.795    0.802    0.799
 -46.00   22.770   14.867   27.193   22.821    0.102    0.823    0.829    0.827
 -45.00   23.541   15.073   27.953   23.550    0.101    0.850    0.856    0.853
 -44.00   24.279   15.320   28.709   24.281    0.099    0.876    0.882    0.879
 -43.00   24.970   15.625   29.456   25.011    0.096    0.901    0.906    0.903
 -42.00   25.599   16.006   30.191   25.734    0.094    0.923    0.928    0.925
 -41.00   26.150   16.478   30.908   26.447    0.091    0.943    0.947    0.944
 -40.00   26.605   17.055   31.602   27.143    0.088    0.960    0.964    0.961
 -39.00   26.949   17.748   32.268   27.819    0.087    0.974    0.978    0.974
 -38.00   27.167   18.558   32.901   28.468    0.086    0.984    0.988    0.984
 -37.00   27.246   19.482   33.495   29.085    0.088    0.990    0.994    0.990
 -36.00   27.173   20.509   34.044   29.665    0.092    0.992    0.996    0.992
 -35.00   26.942   21.621   34.545   30.203    0.098    0.989    0.994    0.989
 -34.00   26.549   22.794   34.992   30.693    0.106    0.982    0.988    0.983
 -33.00   25.996   24.001   35.381   31.131    0.115    0.971    0.978    0.972
 -32.00   25.289   25.212   35.710   31.513    0.125    0.955    0.963    0.956
 -31.00   24.440   26.398   35.974   31.836    0.136    0.935    0.945    0.938
 -30.00   23.470   27.526   36.173   32.098    0.147    0.913    0.924    0.915
 -29.00   22.402   28.569   36.305   32.295    0.156    0.887    0.901    0.890
 -28.00   21.269   29.501   36.369   32.428    0.165    0.860    0.875    0.863
 -27.00   20.109   30.300   36.365   32.496    0.173    0.831    0.849    0.835
