Section 32 Existing
test
32E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-300.00   52.378  121.824  132.606  132.526    0.058    0.611    0.614    0.614
-299.00   54.084  123.996  135.278  135.192    0.060    0.630    0.633    0.633
-298.00   55.867  126.226  138.036  137.945    0.063    0.651    0.654    0.654
-297.00   57.732  128.513  140.885  140.788    0.066    0.672    0.675    0.675
-296.00   59.684  130.861  143.828  143.725    0.069    0.694    0.698    0.698
-295.00   61.727  133.270  146.871  146.760    0.072    0.718    0.721    0.721
-294.00   63.868  135.742  150.016  149.899    0.075    0.742    0.746    0.746
-293.00   66.112  138.279  153.270  153.145    0.079    0.767    0.771    0.771
-292.00   68.465  140.882  156.637  156.503    0.083    0.794    0.798    0.798
-291.00   70.934  143.554  160.123  159.980    0.087    0.822    0.827    0.827
-290.00   73.527  146.296  163.733  163.581    0.091    0.851    0.856    0.856
-289.00   76.250  149.109  167.474  167.310    0.095    0.882    0.887    0.887
-288.00   79.113  151.994  171.351  171.176    0.100    0.914    0.920    0.920
-287.00   82.124  154.954  175.371  175.184    0.105    0.948    0.954    0.954
-286.00   85.293  157.989  179.543  179.342    0.110    0.984    0.990    0.990
-285.00   88.630  161.101  183.872  183.657    0.116    1.021    1.028    1.028
-284.00   92.147  164.290  188.368  188.137    0.122    1.060    1.067    1.067
-283.00   95.854  167.558  193.038  192.790    0.128    1.102    1.109    1.109
-282.00   99.766  170.903  197.892  197.626    0.135    1.145    1.153    1.153
-281.00  103.895  174.328  202.939  202.653    0.142    1.191    1.199    1.199
-280.00  108.257  177.830  208.190  207.883    0.150    1.239    1.248    1.248
-279.00  112.868  181.410  213.656  213.324    0.158    1.290    1.300    1.300
-278.00  117.745  185.065  219.347  218.990    0.167    1.344    1.354    1.354
-277.00  122.907  188.794  225.276  224.891    0.176    1.400    1.411    1.411
-276.00  128.374  192.594  231.457  231.041    0.186    1.460    1.471    1.471
-275.00  134.167  196.460  237.902  237.452    0.196    1.523    1.535    1.535
-274.00  140.310  200.387  244.626  244.140    0.207    1.589    1.602    1.602
-273.00  146.828  204.369  251.645  251.119    0.219    1.659    1.674    1.674
-272.00  153.748  208.397  258.974  258.404    0.231    1.733    1.749    1.749
-271.00  161.098  212.462  266.632  266.014    0.244    1.812    1.828    1.828
-270.00  168.910  216.551  274.636  273.965    0.258    1.895    1.912    1.912
-269.00  177.218  220.649  283.005  282.277    0.273    1.982    2.001    2.001
-268.00  186.056  224.738  291.760  290.968    0.289    2.075    2.095    2.095
-267.00  195.462  228.798  300.922  300.060    0.306    2.173    2.195    2.195
-266.00  205.477  232.803  310.513  309.573    0.323    2.277    2.300    2.300
-265.00  216.143  236.723  320.555  319.530    0.342    2.387    2.411    2.411
-264.00  227.504  240.523  331.073  329.954    0.361    2.503    2.529    2.529
-263.00  239.608  244.161  342.092  340.869    0.381    2.626    2.653    2.653
-262.00  252.502  247.590  353.636  352.298    0.403    2.755    2.785    2.785
-261.00  266.237  250.752  365.730  364.266    0.425    2.892    2.923    2.923
-260.00  280.862  253.583  378.402  376.796    0.448    3.037    3.070    3.070
-259.00  296.427  256.008  391.675  389.913    0.471    3.189    3.224    3.224
-258.00  312.980  257.941  405.574  403.639    0.495    3.350    3.387    3.387
-257.00  330.567  259.283  420.122  417.995    0.520    3.519    3.557    3.557
-256.00  349.228  259.924  435.340  432.999    0.544    3.697    3.736    3.736
-255.00  368.996  259.738  451.245  448.667    0.568    3.882    3.924    3.924
-254.00  389.892  258.589  467.850  465.009    0.592    4.077    4.120    4.120
-253.00  411.923  256.326  485.163  482.028    0.614    4.279    4.323    4.323
-252.00  435.078  252.787  503.184  499.723    0.634    4.490    4.534    4.534
-251.00  459.320  247.807  521.904  518.079    0.652    4.707    4.752    4.752
-250.00  484.584  241.220  541.303  537.074    0.666    4.931    4.976    4.976
-249.00  510.764  232.874  561.347  556.669    0.677    5.160    5.204    5.204
-248.00  537.713  222.650  581.986  576.810    0.681    5.392    5.435    5.435
-247.00  565.231  210.498  603.154  597.424    0.680    5.626    5.667    5.667
-246.00  593.061  196.488  624.763  618.419    0.671    5.859    5.898    5.898
-245.00  620.883  180.910  646.702  639.679    0.653    6.089    6.124    6.124
-244.00  648.311  164.434  668.839  661.064    0.626    6.313    6.344    6.344
-243.00  674.896  148.390  691.017  682.414    0.589    6.526    6.553    6.552
-242.00  700.131  135.163  713.058  703.544    0.540    6.725    6.747    6.746
-241.00  723.459  128.397  734.765  724.250    0.482    6.906    6.923    6.922
-240.00  744.299  132.067  755.925  744.316    0.413    7.064    7.076    7.075
-239.00  762.063  148.094  776.320  763.516    0.339    7.194    7.202    7.201
-238.00  776.191  175.251  795.729  781.625    0.264    7.294    7.299    7.298
-237.00  786.181  210.777  813.945  798.430    0.207    7.359    7.362    7.360
-236.00  791.625  252.041  830.780  813.739    0.199    7.387    7.389    7.387
-235.00  792.240  296.981  846.075  827.387    0.253    7.375    7.379    7.375
-234.00  787.890  343.998  859.712  839.251    0.344    7.322    7.330    7.325
-233.00  778.597  391.796  871.618  849.252    0.449    7.230    7.244    7.237
-232.00  764.551  439.293  881.769  857.360    0.558    7.099    7.121    7.112
-231.00  746.092  485.576  890.190  863.590    0.664    6.932    6.964    6.952
-230.00  723.699  529.892  896.953  868.006    0.765    6.733    6.776    6.761
-229.00  697.957  571.636  902.171  870.709    0.857    6.506    6.563    6.543
-228.00  669.540  610.353  905.988  871.830    0.940    6.257    6.327    6.302
-227.00  639.175  645.727  908.575  871.524    1.013    5.991    6.076    6.043
-226.00  607.631  677.570  910.118  869.959    1.076    5.715    5.816    5.773
-225.00  575.695  705.798  910.810  867.308    1.128    5.436    5.551    5.497
