HL_P
Proposed Configuration
HL_P.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-100.00    4.254   21.883   22.293   22.259    0.018    0.178    0.179    0.179
 -99.00    4.488   22.316   22.763   22.728    0.019    0.185    0.186    0.186
 -98.00    4.735   22.760   23.247   23.213    0.020    0.191    0.192    0.192
 -97.00    4.995   23.216   23.747   23.713    0.021    0.198    0.199    0.199
 -96.00    5.270   23.684   24.263   24.229    0.022    0.205    0.206    0.206
 -95.00    5.560   24.165   24.796   24.763    0.023    0.212    0.213    0.213
 -94.00    5.866   24.658   25.347   25.313    0.024    0.220    0.221    0.221
 -93.00    6.189   25.165   25.915   25.882    0.025    0.228    0.229    0.229
 -92.00    6.531   25.686   26.504   26.471    0.026    0.236    0.238    0.238
 -91.00    6.891   26.221   27.112   27.079    0.027    0.245    0.247    0.247
 -90.00    7.272   26.770   27.740   27.708    0.029    0.254    0.256    0.256
 -89.00    7.675   27.334   28.391   28.359    0.030    0.264    0.266    0.266
 -88.00    8.100   27.913   29.065   29.033    0.031    0.274    0.276    0.276
 -87.00    8.550   28.508   29.762   29.731    0.033    0.285    0.287    0.287
 -86.00    9.026   29.118   30.485   30.454    0.035    0.296    0.298    0.298
 -85.00    9.530   29.744   31.233   31.203    0.036    0.308    0.310    0.310
 -84.00   10.063   30.387   32.010   31.979    0.038    0.320    0.322    0.322
 -83.00   10.627   31.046   32.814   32.784    0.040    0.333    0.335    0.335
 -82.00   11.225   31.722   33.649   33.619    0.042    0.346    0.349    0.349
 -81.00   11.858   32.415   34.516   34.486    0.044    0.361    0.363    0.363
 -80.00   12.529   33.125   35.415   35.386    0.047    0.376    0.379    0.379
 -79.00   13.240   33.852   36.350   36.321    0.049    0.391    0.395    0.395
 -78.00   13.995   34.597   37.320   37.292    0.052    0.408    0.411    0.411
 -77.00   14.796   35.359   38.330   38.302    0.054    0.426    0.429    0.429
 -76.00   15.646   36.137   39.379   39.352    0.057    0.444    0.448    0.448
 -75.00   16.549   36.932   40.471   40.444    0.060    0.463    0.467    0.467
 -74.00   17.508   37.744   41.607   41.581    0.064    0.484    0.488    0.488
 -73.00   18.528   38.571   42.790   42.765    0.067    0.505    0.510    0.510
 -72.00   19.611   39.413   44.022   43.997    0.071    0.528    0.533    0.533
 -71.00   20.764   40.268   45.306   45.282    0.075    0.552    0.557    0.557
 -70.00   21.990   41.136   46.645   46.621    0.079    0.578    0.583    0.583
 -69.00   23.295   42.015   48.041   48.018    0.083    0.604    0.610    0.610
 -68.00   24.685   42.903   49.497   49.475    0.088    0.633    0.639    0.639
 -67.00   26.165   43.797   51.018   50.996    0.093    0.663    0.669    0.669
 -66.00   27.741   44.695   52.605   52.583    0.098    0.694    0.701    0.701
 -65.00   29.421   45.594   54.262   54.242    0.104    0.727    0.735    0.735
 -64.00   31.212   46.489   55.995   55.975    0.110    0.763    0.771    0.771
 -63.00   33.120   47.376   57.805   57.786    0.116    0.800    0.808    0.808
 -62.00   35.156   48.249   59.698   59.679    0.123    0.839    0.848    0.848
 -61.00   37.325   49.101   61.677   61.659    0.129    0.881    0.890    0.890
 -60.00   39.639   49.926   63.748   63.731    0.137    0.925    0.935    0.935
 -59.00   42.106   50.713   65.915   65.898    0.144    0.971    0.982    0.982
 -58.00   44.736   51.454   68.182   68.166    0.152    1.021    1.032    1.032
 -57.00   47.539   52.136   70.556   70.540    0.161    1.072    1.084    1.084
 -56.00   50.526   52.744   73.040   73.025    0.169    1.127    1.140    1.140
 -55.00   53.705   53.265   75.640   75.625    0.178    1.184    1.198    1.198
 -54.00   57.089   53.678   78.361   78.347    0.187    1.245    1.259    1.259
 -53.00   60.685   53.963   81.208   81.194    0.196    1.309    1.323    1.323
 -52.00   64.505   54.097   84.187   84.173    0.206    1.376    1.391    1.391
 -51.00   68.555   54.052   87.301   87.288    0.215    1.446    1.462    1.462
 -50.00   72.843   53.798   90.556   90.543    0.224    1.519    1.536    1.536
 -49.00   77.373   53.300   93.954   93.942    0.233    1.596    1.613    1.613
 -48.00   82.146   52.519   97.500   97.488    0.242    1.675    1.693    1.693
 -47.00   87.161   51.413  101.195  101.183    0.249    1.758    1.776    1.776
 -46.00   92.412   49.934  105.040  105.028    0.256    1.843    1.861    1.861
 -45.00   97.885   48.030  109.034  109.022    0.261    1.931    1.949    1.948
 -44.00  103.561   45.646  113.174  113.162    0.265    2.020    2.038    2.038
 -43.00  109.411   42.723  117.456  117.443    0.267    2.111    2.128    2.128
 -42.00  115.395   39.197  121.871  121.857    0.266    2.203    2.219    2.218
 -41.00  121.462   35.007  126.407  126.393    0.262    2.294    2.308    2.308
 -40.00  127.547   30.092  131.049  131.034    0.254    2.383    2.397    2.396
 -39.00  133.567   24.395  135.776  135.761    0.242    2.470    2.482    2.482
 -38.00  139.423   17.874  140.564  140.547    0.226    2.552    2.562    2.562
 -37.00  144.998   10.537  145.381  145.363    0.205    2.629    2.637    2.637
 -36.00  150.158    3.067  150.190  150.170    0.179    2.697    2.703    2.703
 -35.00  154.750    7.799  154.947  154.926    0.147    2.756    2.760    2.760
 -34.00  158.608   17.786  159.602  159.581    0.111    2.802    2.805    2.804
 -33.00  161.555   28.790  164.100  164.077    0.073    2.834    2.835    2.835
 -32.00  163.410   40.601  168.379  168.355    0.047    2.850    2.850    2.850
 -31.00  163.998   53.074  172.373  172.349    0.068    2.846    2.847    2.847
 -30.00  163.157   66.034  176.013  175.991    0.117    2.823    2.825    2.825
 -29.00  160.750   79.267  179.231  179.210    0.174    2.777    2.783    2.783
 -28.00  156.678   92.527  181.960  181.941    0.233    2.710    2.720    2.720
 -27.00  150.891  105.535  184.135  184.120    0.290    2.620    2.636    2.636
