Single Conductor
test
SINGLE.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-250.00    1.146   13.023   13.073   13.073    0.003    0.106    0.106    0.106
-249.00    1.155   13.074   13.125   13.125    0.003    0.107    0.107    0.107
-248.00    1.164   13.126   13.177   13.177    0.003    0.107    0.107    0.107
-247.00    1.174   13.178   13.230   13.230    0.003    0.108    0.108    0.108
-246.00    1.183   13.231   13.284   13.284    0.003    0.109    0.109    0.109
-245.00    1.193   13.284   13.338   13.338    0.003    0.110    0.110    0.110
-244.00    1.203   13.338   13.392   13.392    0.003    0.111    0.111    0.111
-243.00    1.212   13.392   13.446   13.446    0.003    0.112    0.112    0.112
-242.00    1.222   13.446   13.502   13.502    0.003    0.113    0.113    0.113
-241.00    1.232   13.501   13.557   13.557    0.003    0.114    0.114    0.114
-240.00    1.243   13.556   13.613   13.613    0.003    0.115    0.115    0.115
-239.00    1.253   13.612   13.670   13.670    0.003    0.116    0.116    0.116
-238.00    1.263   13.668   13.727   13.727    0.003    0.117    0.117    0.117
-237.00    1.274   13.725   13.784   13.784    0.003    0.118    0.118    0.118
-236.00    1.285   13.782   13.842   13.842    0.003    0.119    0.119    0.119
-235.00    1.296   13.840   13.900   13.900    0.003    0.120    0.120    0.120
-234.00    1.307   13.898   13.959   13.959    0.003    0.121    0.121    0.121
-233.00    1.318   13.956   14.019   14.019    0.003    0.122    0.122    0.122
-232.00    1.329   14.016   14.078   14.078    0.003    0.123    0.123    0.123
-231.00    1.340   14.075   14.139   14.139    0.003    0.124    0.124    0.124
-230.00    1.352   14.135   14.200   14.200    0.003    0.125    0.125    0.125
-229.00    1.364   14.196   14.261   14.261    0.003    0.126    0.126    0.126
-228.00    1.376   14.257   14.323   14.323    0.003    0.127    0.127    0.127
-227.00    1.388   14.319   14.386   14.386    0.003    0.128    0.128    0.128
-226.00    1.400   14.381   14.449   14.449    0.003    0.129    0.129    0.129
-225.00    1.412   14.443   14.512   14.512    0.003    0.130    0.130    0.130
-224.00    1.425   14.507   14.576   14.576    0.003    0.131    0.131    0.131
-223.00    1.437   14.570   14.641   14.641    0.004    0.133    0.133    0.133
-222.00    1.450   14.635   14.707   14.707    0.004    0.134    0.134    0.134
-221.00    1.463   14.700   14.772   14.772    0.004    0.135    0.135    0.135
-220.00    1.477   14.765   14.839   14.839    0.004    0.136    0.136    0.136
-219.00    1.490   14.831   14.906   14.906    0.004    0.137    0.137    0.137
-218.00    1.503   14.898   14.974   14.974    0.004    0.139    0.139    0.139
-217.00    1.517   14.965   15.042   15.042    0.004    0.140    0.140    0.140
-216.00    1.531   15.033   15.111   15.111    0.004    0.141    0.141    0.141
-215.00    1.545   15.102   15.180   15.180    0.004    0.142    0.143    0.143
-214.00    1.560   15.171   15.251   15.251    0.004    0.144    0.144    0.144
-213.00    1.574   15.240   15.321   15.321    0.004    0.145    0.145    0.145
-212.00    1.589   15.311   15.393   15.393    0.004    0.146    0.147    0.147
-211.00    1.604   15.382   15.465   15.465    0.004    0.148    0.148    0.148
-210.00    1.619   15.453   15.538   15.538    0.004    0.149    0.149    0.149
-209.00    1.634   15.526   15.612   15.612    0.004    0.151    0.151    0.151
-208.00    1.650   15.599   15.686   15.686    0.004    0.152    0.152    0.152
-207.00    1.666   15.672   15.761   15.761    0.004    0.154    0.154    0.154
-206.00    1.682   15.747   15.836   15.836    0.004    0.155    0.155    0.155
-205.00    1.698   15.822   15.913   15.913    0.005    0.157    0.157    0.157
-204.00    1.714   15.898   15.990   15.990    0.005    0.158    0.158    0.158
-203.00    1.731   15.974   16.068   16.068    0.005    0.160    0.160    0.160
-202.00    1.748   16.051   16.146   16.146    0.005    0.161    0.161    0.161
-201.00    1.765   16.129   16.226   16.226    0.005    0.163    0.163    0.163
-200.00    1.783   16.208   16.306   16.306    0.005    0.164    0.164    0.164
-199.00    1.801   16.288   16.387   16.387    0.005    0.166    0.166    0.166
-198.00    1.819   16.368   16.469   16.469    0.005    0.168    0.168    0.168
-197.00    1.837   16.449   16.551   16.551    0.005    0.169    0.169    0.169
-196.00    1.855   16.531   16.635   16.635    0.005    0.171    0.171    0.171
-195.00    1.874   16.613   16.719   16.719    0.005    0.173    0.173    0.173
-194.00    1.893   16.697   16.804   16.804    0.005    0.174    0.175    0.175
-193.00    1.913   16.781   16.890   16.890    0.005    0.176    0.176    0.176
-192.00    1.933   16.866   16.977   16.977    0.005    0.178    0.178    0.178
-191.00    1.953   16.952   17.064   17.064    0.006    0.180    0.180    0.180
-190.00    1.973   17.039   17.153   17.153    0.006    0.182    0.182    0.182
-189.00    1.994   17.127   17.243   17.243    0.006    0.184    0.184    0.184
-188.00    2.015   17.216   17.333   17.333    0.006    0.186    0.186    0.186
-187.00    2.036   17.305   17.424   17.424    0.006    0.188    0.188    0.188
-186.00    2.058   17.396   17.517   17.517    0.006    0.189    0.190    0.190
-185.00    2.080   17.487   17.610   17.610    0.006    0.192    0.192    0.192
-184.00    2.102   17.579   17.705   17.705    0.006    0.194    0.194    0.194
-183.00    2.125   17.673   17.800   17.800    0.006    0.196    0.196    0.196
-182.00    2.148   17.767   17.896   17.896    0.006    0.198    0.198    0.198
-181.00    2.171   17.862   17.994   17.994    0.007    0.200    0.200    0.200
-180.00    2.195   17.959   18.092   18.092    0.007    0.202    0.202    0.202
-179.00    2.219   18.056   18.192   18.192    0.007    0.204    0.204    0.204
-178.00    2.244   18.154   18.292   18.292    0.007    0.207    0.207    0.207
-177.00    2.269   18.254   18.394   18.394    0.007    0.209    0.209    0.209
-176.00    2.294   18.354   18.497   18.497    0.007    0.211    0.211    0.211
-175.00    2.320   18.456   18.601   18.601    0.007    0.214    0.214    0.214
