und_E
Underground Lines, Existing
UND_E.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-150.00   10.736    1.685   10.867   10.736    0.012    0.262    0.262    0.262
-149.00   10.876    1.720   11.012   10.877    0.013    0.266    0.266    0.266
-148.00   11.020    1.756   11.159   11.021    0.013    0.270    0.271    0.271
-147.00   11.166    1.793   11.309   11.167    0.013    0.275    0.275    0.275
-146.00   11.314    1.832   11.462   11.316    0.013    0.279    0.279    0.279
-145.00   11.466    1.872   11.618   11.469    0.014    0.284    0.284    0.284
-144.00   11.621    1.914   11.777   11.624    0.014    0.288    0.289    0.289
-143.00   11.778    1.958   11.940   11.783    0.014    0.293    0.293    0.293
-142.00   11.939    2.004   12.106   11.945    0.015    0.298    0.298    0.298
-141.00   12.103    2.052   12.276   12.110    0.015    0.303    0.303    0.303
-140.00   12.270    2.101   12.449   12.278    0.015    0.308    0.308    0.308
-139.00   12.441    2.153   12.626   12.451    0.016    0.313    0.313    0.313
-138.00   12.615    2.207   12.806   12.626    0.016    0.318    0.318    0.318
-137.00   12.792    2.263   12.991   12.806    0.016    0.323    0.324    0.324
-136.00   12.973    2.322   13.179   12.989    0.017    0.329    0.329    0.329
-135.00   13.158    2.383   13.372   13.176    0.017    0.335    0.335    0.335
-134.00   13.346    2.446   13.568   13.367    0.017    0.340    0.341    0.341
-133.00   13.538    2.512   13.770   13.563    0.018    0.346    0.347    0.347
-132.00   13.735    2.581   13.975   13.762    0.018    0.352    0.353    0.353
-131.00   13.935    2.652   14.185   13.966    0.019    0.358    0.359    0.359
-130.00   14.140    2.727   14.400   14.175    0.019    0.365    0.365    0.365
-129.00   14.349    2.805   14.620   14.388    0.020    0.371    0.371    0.371
-128.00   14.562    2.885   14.845   14.606    0.020    0.378    0.378    0.378
-127.00   14.780    2.970   15.075   14.829    0.020    0.384    0.385    0.385
-126.00   15.003    3.057   15.311   15.057    0.021    0.391    0.392    0.392
-125.00   15.230    3.148   15.552   15.291    0.021    0.398    0.399    0.399
-124.00   15.462    3.243   15.799   15.529    0.022    0.405    0.406    0.406
-123.00   15.699    3.342   16.051   15.774    0.022    0.413    0.413    0.413
-122.00   15.942    3.445   16.310   16.024    0.023    0.420    0.421    0.421
-121.00   16.190    3.553   16.575   16.280    0.024    0.428    0.429    0.429
-120.00   16.443    3.664   16.846   16.542    0.024    0.436    0.437    0.437
-119.00   16.702    3.781   17.124   16.810    0.025    0.444    0.445    0.445
-118.00   16.966    3.902   17.409   17.085    0.025    0.452    0.453    0.453
-117.00   17.237    4.028   17.701   17.366    0.026    0.461    0.462    0.462
-116.00   17.514    4.160   18.001   17.655    0.027    0.470    0.470    0.470
-115.00   17.797    4.296   18.308   17.951    0.027    0.478    0.479    0.479
-114.00   18.086    4.439   18.623   18.254    0.028    0.488    0.488    0.488
-113.00   18.382    4.588   18.946   18.564    0.029    0.497    0.498    0.498
-112.00   18.685    4.743   19.278   18.883    0.029    0.507    0.507    0.507
-111.00   18.995    4.904   19.618   19.210    0.030    0.516    0.517    0.517
-110.00   19.312    5.072   19.967   19.545    0.031    0.526    0.527    0.527
-109.00   19.636    5.247   20.325   19.889    0.032    0.537    0.538    0.538
-108.00   19.968    5.430   20.694   20.242    0.032    0.547    0.548    0.548
-107.00   20.308    5.620   21.072   20.604    0.033    0.558    0.559    0.559
-106.00   20.656    5.819   21.460   20.976    0.034    0.569    0.570    0.570
-105.00   21.013    6.026   21.860   21.358    0.035    0.581    0.582    0.582
-104.00   21.377    6.242   22.270   21.750    0.036    0.592    0.593    0.593
-103.00   21.751    6.467   22.692   22.153    0.037    0.604    0.605    0.605
-102.00   22.133    6.702   23.126   22.567    0.038    0.616    0.618    0.618
-101.00   22.525    6.948   23.572   22.993    0.039    0.629    0.630    0.630
-100.00   22.926    7.204   24.031   23.430    0.040    0.642    0.643    0.643
 -99.00   23.337    7.471   24.504   23.880    0.041    0.655    0.656    0.656
 -98.00   23.759    7.750   24.991   24.343    0.042    0.669    0.670    0.670
 -97.00   24.190    8.041   25.492   24.819    0.043    0.683    0.684    0.684
 -96.00   24.632    8.345   26.008   25.309    0.044    0.697    0.698    0.698
 -95.00   25.086    8.663   26.539   25.813    0.045    0.712    0.713    0.713
 -94.00   25.550    8.995   27.087   26.333    0.047    0.727    0.728    0.728
 -93.00   26.026    9.342   27.652   26.867    0.048    0.742    0.743    0.743
 -92.00   26.514    9.705   28.234   27.418    0.049    0.758    0.759    0.759
 -91.00   27.014   10.085   28.835   27.986    0.051    0.774    0.776    0.775
 -90.00   27.527   10.481   29.455   28.571    0.052    0.791    0.792    0.792
 -89.00   28.052   10.896   30.094   29.174    0.053    0.808    0.809    0.809
 -88.00   28.591   11.331   30.755   29.796    0.055    0.825    0.827    0.827
 -87.00   29.144   11.785   31.437   30.438    0.056    0.843    0.845    0.845
 -86.00   29.710   12.261   32.141   31.100    0.058    0.861    0.863    0.863
 -85.00   30.291   12.759   32.869   31.783    0.060    0.880    0.882    0.882
 -84.00   30.887   13.281   33.621   32.489    0.062    0.900    0.902    0.901
 -83.00   31.498   13.828   34.399   33.217    0.063    0.919    0.922    0.921
 -82.00   32.124   14.400   35.204   33.970    0.065    0.940    0.942    0.942
 -81.00   32.766   15.001   36.037   34.748    0.067    0.961    0.963    0.963
 -80.00   33.424   15.630   36.899   35.552    0.069    0.982    0.984    0.984
 -79.00   34.099   16.291   37.791   36.384    0.071    1.004    1.007    1.006
 -78.00   34.791   16.983   38.715   37.244    0.074    1.027    1.029    1.029
 -77.00   35.501   17.710   39.673   38.134    0.076    1.050    1.052    1.052
 -76.00   36.228   18.473   40.666   39.055    0.078    1.073    1.076    1.076
