Envsmpl3
Enviro Comparison 3
ENVSMPL3.FLD

 DIST    B Horz   B Vert   B PROD    B MAX   E Horz   E Vert   E PROD    E MAX
 (Ft)     (mG)     (mG)     (mG)      (mG)   (kV/m)   (kV/m)   (kV/m)   (V/m)
 ----    ------   ------   ------    -----   ------   ------   ------   ------
-150.00    0.865    0.609    1.058    1.055    0.001    0.023    0.023    0.023
-149.00    0.874    0.620    1.072    1.069    0.001    0.024    0.024    0.024
-148.00    0.884    0.631    1.086    1.083    0.001    0.024    0.024    0.024
-147.00    0.895    0.642    1.101    1.098    0.001    0.024    0.024    0.024
-146.00    0.905    0.653    1.116    1.112    0.001    0.024    0.024    0.024
-145.00    0.915    0.665    1.131    1.128    0.001    0.024    0.024    0.024
-144.00    0.926    0.677    1.147    1.143    0.001    0.025    0.025    0.025
-143.00    0.936    0.689    1.162    1.159    0.001    0.025    0.025    0.025
-142.00    0.947    0.701    1.179    1.175    0.001    0.025    0.025    0.025
-141.00    0.958    0.714    1.195    1.192    0.001    0.025    0.025    0.025
-140.00    0.970    0.727    1.212    1.208    0.001    0.026    0.026    0.026
-139.00    0.981    0.741    1.229    1.226    0.001    0.026    0.026    0.026
-138.00    0.993    0.755    1.247    1.243    0.001    0.026    0.026    0.026
-137.00    1.004    0.769    1.265    1.261    0.001    0.026    0.027    0.027
-136.00    1.016    0.783    1.283    1.279    0.001    0.027    0.027    0.027
-135.00    1.028    0.798    1.302    1.298    0.001    0.027    0.027    0.027
-134.00    1.041    0.814    1.321    1.317    0.001    0.027    0.027    0.027
-133.00    1.053    0.830    1.341    1.337    0.001    0.028    0.028    0.028
-132.00    1.066    0.846    1.361    1.357    0.001    0.028    0.028    0.028
-131.00    1.079    0.862    1.381    1.377    0.001    0.028    0.028    0.028
-130.00    1.092    0.879    1.402    1.398    0.001    0.028    0.028    0.028
-129.00    1.105    0.897    1.424    1.419    0.001    0.029    0.029    0.029
-128.00    1.119    0.915    1.445    1.441    0.001    0.029    0.029    0.029
-127.00    1.133    0.934    1.468    1.463    0.001    0.029    0.029    0.029
-126.00    1.147    0.953    1.491    1.486    0.001    0.030    0.030    0.030
-125.00    1.161    0.972    1.514    1.509    0.001    0.030    0.030    0.030
-124.00    1.175    0.992    1.538    1.533    0.001    0.030    0.030    0.030
-123.00    1.190    1.013    1.563    1.558    0.001    0.030    0.030    0.030
-122.00    1.204    1.034    1.588    1.583    0.001    0.031    0.031    0.031
-121.00    1.219    1.056    1.613    1.608    0.001    0.031    0.031    0.031
-120.00    1.235    1.079    1.640    1.635    0.001    0.031    0.031    0.031
-119.00    1.250    1.102    1.667    1.661    0.001    0.032    0.032    0.032
-118.00    1.266    1.126    1.694    1.689    0.001    0.032    0.032    0.032
-117.00    1.282    1.151    1.722    1.717    0.001    0.032    0.032    0.032
-116.00    1.298    1.176    1.751    1.746    0.001    0.032    0.032    0.032
-115.00    1.314    1.202    1.781    1.776    0.001    0.033    0.033    0.033
-114.00    1.331    1.229    1.811    1.806    0.001    0.033    0.033    0.033
-113.00    1.348    1.257    1.843    1.837    0.001    0.033    0.033    0.033
-112.00    1.365    1.285    1.875    1.869    0.001    0.034    0.034    0.034
-111.00    1.382    1.315    1.907    1.902    0.001    0.034    0.034    0.034
-110.00    1.399    1.345    1.941    1.935    0.001    0.034    0.034    0.034
-109.00    1.417    1.376    1.976    1.970    0.001    0.035    0.035    0.035
-108.00    1.435    1.409    2.011    2.005    0.001    0.035    0.035    0.035
-107.00    1.453    1.442    2.047    2.041    0.001    0.035    0.035    0.035
-106.00    1.472    1.477    2.085    2.078    0.001    0.035    0.035    0.035
-105.00    1.490    1.512    2.123    2.117    0.001    0.036    0.036    0.036
-104.00    1.509    1.549    2.162    2.156    0.001    0.036    0.036    0.036
-103.00    1.528    1.587    2.203    2.196    0.001    0.036    0.036    0.036
-102.00    1.547    1.626    2.244    2.238    0.001    0.036    0.036    0.036
-101.00    1.566    1.666    2.287    2.280    0.001    0.037    0.037    0.037
-100.00    1.586    1.708    2.331    2.324    0.001    0.037    0.037    0.037
 -99.00    1.606    1.751    2.376    2.369    0.001    0.037    0.037    0.037
 -98.00    1.625    1.796    2.422    2.415    0.001    0.037    0.037    0.037
 -97.00    1.645    1.842    2.470    2.463    0.001    0.037    0.037    0.037
 -96.00    1.665    1.890    2.519    2.512    0.001    0.038    0.038    0.038
 -95.00    1.686    1.939    2.569    2.562    0.001    0.038    0.038    0.038
 -94.00    1.706    1.990    2.621    2.614    0.001    0.038    0.038    0.038
 -93.00    1.726    2.043    2.675    2.667    0.001    0.038    0.038    0.038
 -92.00    1.746    2.098    2.730    2.722    0.001    0.038    0.038    0.038
 -91.00    1.767    2.155    2.787    2.779    0.001    0.038    0.038    0.038
 -90.00    1.787    2.214    2.845    2.837    0.001    0.038    0.038    0.038
 -89.00    1.807    2.275    2.905    2.897    0.001    0.038    0.038    0.038
 -88.00    1.827    2.338    2.967    2.959    0.001    0.038    0.038    0.038
 -87.00    1.847    2.403    3.031    3.023    0.001    0.038    0.038    0.038
 -86.00    1.867    2.471    3.097    3.089    0.001    0.038    0.038    0.038
 -85.00    1.887    2.541    3.165    3.157    0.001    0.038    0.038    0.038
 -84.00    1.906    2.614    3.235    3.227    0.002    0.038    0.038    0.038
 -83.00    1.925    2.690    3.307    3.299    0.002    0.038    0.038    0.038
 -82.00    1.943    2.768    3.382    3.373    0.002    0.037    0.037    0.037
 -81.00    1.961    2.850    3.459    3.450    0.002    0.037    0.037    0.037
 -80.00    1.978    2.934    3.539    3.530    0.002    0.037    0.037    0.037
 -79.00    1.995    3.022    3.621    3.612    0.002    0.036    0.036    0.036
 -78.00    2.011    3.113    3.706    3.697    0.003    0.036    0.036    0.036
 -77.00    2.026    3.207    3.794    3.785    0.003    0.035    0.035    0.035
 -76.00    2.040    3.306    3.885    3.876    0.003    0.035    0.035    0.035
