group,sequence,tower x,tower y,rotation,h,v,I,phase
Line 2 Tap,1,282.7,229.5,30,-10,12,120,0
,,,,,0,12,120,-120
,,,,,10,12,120,120
Line 2 Tap,2,267.7,248.39,30,-15,16.32,120,0
,,,,,0,16.32,120,-120
,,,,,15,16.32,120,120
Line 2 Tap,3,232.3,300.7,-15,-20,50,120,0
,,,,,0,40,120,-120
,,,,,20,30,120,120
,,,,,,,,
,,,,,,,,
,,,,,,,,
Line 1,1,384.4,285.8,30,-10,12,199,0
,,,,,0,12,199,-120
,,,,,10,12,199,120
Line 1,2,375,303.5,30,-15,16.32,199,0
,,,,,0,16.32,199,-120
,,,,,15,16.32,199,120
Line 1,3,348.9,355.7,-60,7.5,60,199,0
,,,,,9.5,50,199,-120
,,,,,7.5,40,199,120
Line 1,4,635.83,495.5,-60,7.5,60,199,0
,,,,,9.5,50,199,-120
,,,,,7.5,40,199,120
,,,,,,,,
,,,,,,,,
,,,,,,,,
Line 2,1,232.3,300.7,-60,-20,50,200,0
,,,,,0,40,200,-120
,,,,,20,30,200,120
Line 2,2,348.9,355.7,-60,-7.5,50,200,0
,,,,,-9.5,40,200,-120
,,,,,-7.5,30,200,120
Line 2,3,635.83,495.5,-60,-7.5,50,200,0
,,,,,-9.5,40,200,-120
,,,,,-7.5,30,200,120
